date,open,high,low,close,volume,middle_band,std_dev,upper_band,lower_band,MACD,signal_line,macd_histogram,signal,position,strategy_returns,cumulative_returns,benchmark_returns,benchmark_cumulative,drawdown
2021-04-05,4202.5166241435945,4235.129737892889,4195.763419016809,4195.763419016809,31864581,,,,,0.0,0.0,0.0,0,0.0,0.0,1.0,,,0.0
2021-04-06,4181.892612467382,4242.0425442290625,4155.1641617325895,4193.19496672441,44777477,,,,,-0.20489078115951997,-0.040978156231904,-0.163912624927616,0,0.0,0.0,1.0,-0.0006121537455515691,0.9993878462544484,0.0
2021-04-07,4247.534898845706,4280.767301883585,4191.987618426188,4247.175827854569,51849877,,,,,3.9430827514615885,0.7558340253067946,3.187248726154794,0,0.0,0.0,1.0,0.01287344412996072,1.0122534098573668,0.0
2021-04-08,4364.016787246573,4364.136176876028,4344.274693816379,4364.136176876028,38070760,,,,,16.478154441108018,3.9002981084670396,12.577856332640978,0,0.0,0.0,1.0,0.027538381682808755,1.0401292306177436,0.0
2021-04-09,4368.714156396651,4368.714156396651,4334.82591529925,4354.528466936051,62268631,,,,,25.34486731452398,8.189211949678429,17.15565536484555,0,0.0,0.0,1.0,-0.0022015146985754352,1.0378393708281208,0.0
2021-04-12,4351.05281470126,4362.0747708818735,4341.7801033675505,4344.865315039808,17297881,,,,,31.23204200921373,12.797777961585489,18.43426404762824,0,0.0,0.0,1.0,-0.0022191040820184194,1.0355362972438367,0.0
2021-04-13,4465.365702676876,4499.608015580739,4465.365702676876,4465.700991420317,67454535,,,,,45.127893324476645,19.26380103416372,25.864092290312925,0,0.0,0.0,1.0,0.027811144332192672,1.0643357466677095,0.0
2021-04-14,4539.129178090235,4564.290229493684,4508.2943088223665,4528.020590168061,38854322,,,,,60.47204233683078,27.505449294697137,32.966593042133645,0,0.0,0.0,1.0,0.013955166023760901,1.0791887287174808,0.0
2021-04-15,4519.9818574128385,4519.9818574128385,4501.209013163425,4501.209013163425,10499964,,,,,69.66585616281463,35.93753066832063,33.728325494494,0,0.0,0.0,1.0,-0.005921257748441655,1.0727985740955315,0.0
2021-04-16,4554.793971619346,4567.610404225505,4535.1136546974885,4547.184572361304,51133161,,,,,79.74263973841335,44.69855248233918,35.044087256074164,0,0.0,0.0,1.0,0.010214046729095871,1.0837561888622507,0.0
