date,open,high,low,close,volume,volume_ma5,volume_ma10,volume_ma20,volume_ratio_5,volume_ratio_20,volume_change,obv,turnover
2021-04-02,4147.296038420894,4173.18357444878,4133.471739122816,4139.868566120449,22146039,,,,,,,0,0.044292078
2021-04-05,4149.968981995571,4149.968981995571,4116.502670976544,4139.414509508213,17626435,,,,,,-0.20408182248753381,-17626435,0.03525287
2021-04-06,4175.813073439017,4175.813073439017,4147.151948051492,4170.378886325699,94607830,,,,,,4.367383137883525,76981395,0.18921566
2021-04-07,4226.695763398655,4247.098577692771,4198.230194803897,4236.334998644809,176024991,,,,,,0.860575292763823,253006386,0.352049982
2021-04-08,4230.274216402493,4242.82544878295,4230.274216402493,4231.979632538082,35128299,69106718.8,,,0.5083195904824236,,-0.8004357290380433,217878087,0.070256598
2021-04-09,4227.543409446,4251.871720404635,4215.200066515944,4227.598548451596,32877976,71253106.2,,,0.46142516099880565,,-0.06406011859555172,185000111,0.065755952
2021-04-12,4300.867372298504,4329.006006941193,4278.006162148648,4295.722862799789,179225153,103572849.8,,,1.7304260078397495,,4.451222210272311,364225264,0.358450306
2021-04-13,4337.1348792944955,4343.0525499296,4298.236620868577,4331.345252488785,106375686,105926421.0,,,1.004241293114208,,-0.4064689904323865,470600950,0.212751372
2021-04-14,4311.118748459236,4370.465943514166,4311.118748459236,4317.458277949215,58709097,82463242.2,,,0.7119426235705294,,-0.4480966543426098,411891853,0.117418194
2021-04-15,4344.72987441489,4361.9199448996305,4307.67266292473,4344.017494151884,84476415,92332865.4,80719792.1,,0.9149116583140287,,0.4388982170855056,496368268,0.16895283
2021-04-16,4334.260563424597,4335.7904873425605,4308.024138433789,4330.300240532405,52945668,96346403.8,83799755.0,,0.5495344497746578,,-0.3732491133767928,443422600,0.10589133599999999
2021-04-19,4329.01895573869,4329.01895573869,4312.476328001289,4316.450984347758,48185400,70138453.2,86855651.5,,0.687004029909231,,-0.08990854549233374,395237200,0.09637079999999999
2021-04-20,4336.969993988462,4338.172629702167,4330.867744689963,4330.867744689963,50496423,58962600.6,82444510.8,,0.8564144472284352,,0.047961062894569695,445733623,0.10099284599999998
2021-04-21,4265.75224604771,4265.75224604771,4259.031012243809,4259.031012243809,189036840,85028149.2,83745695.7,,2.223226564127071,,2.743568925664299,256696783,0.37807368
2021-04-22,4195.386126656811,4227.407793454772,4194.68287441562,4194.68287441562,172674057,102667677.6,97500271.5,,1.681873604590039,,-0.08655869935193583,84022726,0.345348114
2021-04-23,4188.574345119306,4198.980821568055,4174.832156545412,4176.791956294569,63913182,104861180.4,100603792.1,,0.6095027898427128,,-0.6298622786166425,20109544,0.127826364
2021-04-26,4144.222747480032,4144.222747480032,4106.542528225102,4140.829231952681,109020911,117028282.6,93583367.9,,0.9315774663858906,,0.7057656587963341,-88911367,0.218041822
2021-04-27,4150.736904021771,4173.952307666161,4140.082084504134,4157.897534619374,65231906,119975379.2,89468989.9,,0.5437107716180488,,-0.4016569353378454,-23679461,0.130463812
2021-04-28,4137.601511648546,4152.252664743671,4119.993395545992,4126.020844150961,99155397,101999090.6,93513619.9,,0.9721204024146467,,0.520044454932836,-122834858,0.198310794
2021-04-29,4079.603229938628,4117.263944013606,4073.9168301629825,4073.9168301629825,152138413,97891961.8,100279819.7,90499805.9,1.55414612397726,1.6810910419864225,0.5343432390271203,-274973271,0.304276826
2021-04-30,4133.207166509296,4167.640873543398,4095.549464312521,4136.872800029741,174851523,120079630.0,112470405.2,98135080.1,1.4561297615590587,1.781743315660676,0.1492924078286526,-100121748,0.34970304599999996
2021-05-03,4128.149065069988,4160.227553998332,4128.149065069988,4132.111702073293,26145910,103504629.8,110266456.2,98561053.85,0.25260618824994824,0.26527628285906363,-0.8504679310113873,-126267658,0.05229182
2021-05-04,4141.475861415967,4152.681345014368,4130.327080913448,4139.020796717697,35574420,97573132.6,108774255.9,95609383.35,0.3645923734542474,0.37208084346461795,0.3606112772513943,-90693238,0.07114883999999999
2021-05-05,4089.9602624519507,4106.367033050386,4086.1749542327425,4086.1749542327425,151503893,108042831.8,105020961.2,94383328.45,1.4022577016534659,1.6051976073323149,3.2587874377150774,-242197131,0.303007786
2021-05-06,4070.08334310982,4106.101334486256,4054.1977343814983,4068.477984631302,61522555,89919660.2,93905811.0,95703041.25,0.6841947007268606,0.6428484841906735,-0.5939209628098467,-303719686,0.12304511000000001
2021-05-07,4079.464013460035,4079.464013460035,4047.5221958967604,4076.9256488291107,46094677,64168291.0,92123960.5,96363876.3,0.718340418322813,0.47833979671488164,-0.2507678362837824,-257625009,0.092189354
2021-05-10,4048.5453551823994,4048.5453551823994,4034.827286381148,4034.827286381148,133544436,85647996.2,94576313.0,94079840.45,1.5592242892426245,1.4194798307611287,1.8971769560290008,-391169445,0.267088872
2021-05-11,4062.4129231544466,4062.4129231544466,4053.725439682582,4053.725439682582,74686857,93470483.6,95521808.1,92495399.0,0.799042158801883,0.8074656448587243,-0.440734041514092,-316482588,0.14937371400000002
2021-05-12,4035.0350988396895,4053.24429959849,4033.497242576281,4033.497242576281,72596832,77689071.4,92865951.6,93189785.75,0.9344535942026976,0.7790213424758303,-0.027983839244969166,-389079420,0.145193664
