date,open,high,low,close,volume,trendline,channel_upper,channel_lower,uptrend_line,downtrend_line,bb_middle,bb_std,bb_upper,bb_lower
2021-04-05,4207.055051616816,4237.959501511599,4186.30528036635,4195.763419016809,58047647,2737.55289877932,2963.7949136199213,2898.742206063328,4160.5343930074205,4369.739339453867,,,,
2021-04-06,4209.232365543287,4209.232365543287,4163.666269908691,4193.19496672441,36584233,2740.992154437293,2966.926790521192,2901.8916873225016,4163.666269908691,4372.88882071304,,,,
2021-04-07,4255.4772132133685,4255.4772132133685,4217.091366626618,4247.175827854569,51693699,2744.4314100952656,2970.0586674224633,2905.0411685816753,4166.798146809962,4376.038301972214,,,,
2021-04-08,4349.2411312993845,4379.187783231388,4315.285309146717,4364.136176876028,52543249,2747.8706657532384,2973.190544323734,2908.190649840849,4169.930023711233,4379.187783231388,,,,
2021-04-09,4351.896265074788,4369.662143034738,4351.896265074788,4354.528466936051,66509070,2751.3099214112112,2976.322421225005,2911.3401311000225,4173.061900612504,4382.337264490561,,,,
2021-04-12,4344.780312330761,4376.53902588787,4327.836493915902,4344.865315039808,57342877,2754.749177069184,2979.4542981262757,2914.4896123591952,4176.193777513775,4385.486745749734,,,,
2021-04-13,4473.7231015176885,4509.007427898737,4441.813428369514,4465.700991420317,52330456,2758.188432727157,2982.586175027547,2917.639093618369,4179.325654415046,4388.636227008908,,,,
2021-04-14,4537.099368650536,4544.518473543711,4484.674969794578,4528.020590168061,63642804,2761.6276883851297,2985.7180519288177,2920.7885748775425,4182.457531316317,4391.785708268081,,,,
2021-04-15,4491.295004002554,4569.325898683118,4491.295004002554,4501.209013163425,71448766,2765.066944043102,2988.849928830088,2923.938056136716,4185.589408217587,4394.935189527255,,,,
2021-04-16,4548.303119148682,4571.491131276379,4499.712110056617,4547.184572361304,59378232,2768.506199701075,2991.9818057313596,2927.0875373958897,4188.721285118859,4398.084670786428,,,,
2021-04-19,4526.846420961343,4529.330966221517,4490.930219930294,4520.644814092214,50742368,2771.9454553590476,2995.11368263263,2930.2370186550634,4191.853162020129,4401.234152045602,,,,
2021-04-20,4513.474872820232,4513.474872820232,4487.084992519135,4493.8481395186855,30918753,2775.3847110170204,2998.2455595339015,2933.386499914237,4194.985038921401,4404.383633304776,,,,
2021-04-21,4527.458060342562,4528.860976282403,4516.107979461023,4517.909370249534,34555869,2778.8239666749932,3001.377436435172,2936.5359811734106,4198.116915822671,4407.533114563949,,,,
2021-04-22,4397.075851781626,4397.075851781626,4386.691806266057,4386.691806266057,48412894,2782.263222332966,3004.5093133364426,2939.6854624325842,4201.248792723942,4410.682595823123,,,,
2021-04-23,4270.003203419213,4310.602213827385,4268.929653486055,4268.929653486055,43615904,2785.702477990939,3007.641190237714,2942.834943691758,4204.380669625213,4413.832077082297,,,,
2021-04-26,4252.683808520634,4263.4550360361445,4230.686612214109,4234.764919793904,48002198,2789.1417336489117,3010.7730671389845,2945.9844249509306,4207.512546526484,4416.981558341469,,,,
2021-04-27,4173.167605584186,4173.167605584186,4124.962205872213,4168.043877645229,52450524,2792.5809893068845,3013.904944040256,2949.133906210104,4210.644423427755,4420.131039600643,,,,
2021-04-28,4185.908872070293,4217.874637114502,4173.493176862081,4196.750184608248,58629404,2796.0202449648573,3017.0368209415265,2952.283387469278,4213.776300329026,4423.2805208598165,,,,
2021-04-29,4154.7441985196765,4170.544964068064,4128.417917121464,4137.325602996052,50378822,2799.45950062283,3020.168697842798,2955.4328687284515,4216.908177230297,4426.43000211899,,,,
2021-04-30,4049.92222534281,4094.6792929888907,4041.4605796496853,4041.4605796496853,59669563,2802.898756280803,3023.3005747440684,2958.582349987625,4220.040054131568,4429.579483378164,4335.407414393322,155.25618466273778,4645.919783718798,4024.8950450678467
2021-05-03,4147.1515063232355,4191.394709939788,4101.232513358482,4152.670954437468,53645160,2806.3380119387757,3026.432451645339,2961.7318312467987,4223.171931032838,4432.728964637337,4333.252791164356,157.57779949363666,4648.408390151629,4018.0971921770824
2021-05-04,4135.998650623672,4177.432958816152,4135.998650623672,4141.956768048324,20626676,2809.7772675967485,3029.5643285466103,2964.8813125059723,4226.3038079341095,4435.878445896511,4330.690881230551,160.36655406563833,4651.423989361828,4009.957773099274
2021-05-05,4155.90820735123,4170.31966696372,4140.087274231079,4152.213872073276,36156996,2813.216523254721,3032.696205447881,2968.030793765146,4229.43568483538,4439.027927155685,4325.942783441486,164.32631073566642,4654.5954049128195,3997.2901619701533
2021-05-06,4060.510337441285,4080.5427122418464,4054.875866896554,4054.875866896554,50239204,2816.6557789126937,3035.8280823491523,2971.1802750243196,4232.567561736651,4442.177408414858,4310.479767942512,174.76239999324852,4660.004567929009,3960.954967956015
2021-05-07,4023.14829698876,4066.9953910518093,4002.2248405585137,4020.768497409463,32702858,2820.0950345706665,3038.959959250423,2974.329756283493,4235.699438637922,4445.326889674032,4293.791769466183,185.91432366104547,4665.620416788273,3921.963122144092
2021-05-10,4037.450236522369,4037.450236522369,3997.159705189647,4033.683074940922,59319099,2823.5342902286393,3042.091836151694,2977.479237542666,4238.831315539193,4448.476370933205,4278.232657461239,194.24955269027453,4666.731762841788,3889.73355208069
2021-05-11,3975.748337729462,3975.748337729462,3955.5754089679576,3955.5754089679576,74935884,2826.973545886612,3045.2237130529647,2980.6287188018396,4241.963192440464,4451.625852192378,4252.726378338621,201.6871997035991,4656.100777745819,3849.3519789314223
2021-05-12,4000.0385709051684,4000.0385709051684,3986.9284151987945,3987.221132402552,69075106,2830.412801544585,3048.3555899542353,2983.778200061013,4245.095069341734,4454.775333451552,4225.686405450346,199.0714938801899,4623.829393210725,3827.543417689966
2021-05-13,3950.656318426304,3973.1740805147747,3948.398202748512,3948.398202748512,47781614,2833.8520572025577,3051.4874668555067,2986.927681320187,4248.226946243006,4457.9248147107255,4198.0458649296,197.17155023630144,4592.388965402202,3803.7027644569966
2021-05-14,3942.745710481393,3976.3903576086,3915.602592424068,3931.643018960748,72787054,2837.2913128605305,3054.619343756777,2990.0771625793604,4251.358823144276,4461.074295969899,4167.2687872595725,187.6143655907297,4542.497518441032,3792.040056078113
2021-05-17,3880.329920319368,3894.0144859945103,3862.80888409713,3892.3868677676082,53238548,2840.7305685185033,3057.7512206580486,2993.226643838534,4254.490700045548,4464.223777229073,4135.855889943342,177.66525358718732,4491.186397117716,3780.525382768967
2021-05-18,4034.4444617093427,4034.4444617093427,3975.8273787284093,4029.6339606463666,48349654,2844.169824176476,3060.883097559319,2996.3761250977077,4257.622576946818,4467.373258488246,4112.645180999725,157.62777801317506,4427.900737026075,3797.3896249733752
2021-05-19,4054.2453906643746,4054.2453906643746,4032.3580774426314,4032.3580774426314,40866516,2847.609079834449,3064.0149744605897,2999.5256063568813,4260.754453848089,4470.52273974742,4088.367616359381,126.17923021972562,4340.726076798832,3836.0091559199295
2021-05-20,3957.1181188680475,3997.24968373917,3953.9403522941675,3959.7083133020474,47297679,2851.0483354924218,3067.146851361861,3002.675087616055,4263.88633074936,4473.672221006594,4067.0184417111805,107.83586783786062,4282.690177386901,3851.346706035459
2021-05-21,4012.0150989203826,4051.307111133618,3982.846619273696,4022.2432685110316,45732076,2854.4875911503946,3070.2787282631316,3005.8245688752286,4267.018207650631,4476.821702265767,4054.6841224624286,97.09921229087234,4248.882547044173,3860.485697880684
2021-05-24,3929.754765714446,3963.323103337758,3908.9839869664006,3937.457482535453,54709556,2857.9268468083674,3073.410605164403,3008.9740501344013,4270.150084551902,4479.97118352494,4039.818750599506,90.62075092070636,4221.060252440919,3858.5772487580934
2021-05-25,3942.4810968484353,3964.587648480194,3928.5119549447127,3955.4109361453034,52862505,2861.3661024663397,3076.5424820656735,3012.123531393575,4273.281961453173,4483.120664784114,4029.1871035245103,87.19386959248678,4203.574842709484,3854.7993643395366
2021-05-26,3808.0411379838156,3817.027511363396,3767.7958470631397,3817.027511363396,53671114,2864.8053581243125,3079.674358966945,3015.2730126527485,4276.413838354444,4486.270146043287,4010.200969862268,90.08110029319084,4190.36317044865,3830.038769275886
2021-05-27,3719.766660142096,3750.314940782569,3690.7404148371384,3723.9058719939785,59054716,2868.2446137822853,3082.8062358682155,3018.422493911922,4279.545715255715,4489.419627302461,3989.5299833121635,105.49031010265469,4200.510603517473,3778.549363106854
2021-05-28,3724.60804061087,3740.380105356714,3699.9728458785994,3740.380105356714,68300136,2871.683869440258,3085.938112769486,3021.571975171096,4282.677592156985,4492.5691085616345,3974.4759595975156,118.38436668544257,4211.244692968401,3737.7072262266306
2021-05-31,3795.817928452045,3860.562914711581,3771.063792166676,3795.6400837289043,65699192,2875.123125098231,3089.0699896707574,3024.7214564302694,4285.809469058257,4495.718589820808,3956.624416062087,117.01047398338042,4190.645364028848,3722.603468095326
2021-06-01,3820.1696357090887,3838.1377279524368,3777.7315757392475,3809.8569947039505,28099691,2878.5623807562038,3092.201866572028,3027.870937689443,4288.941345959527,4498.868071079982,3940.019427394869,112.81462478006966,4165.648676955008,3714.39017783473
2021-06-02,3792.837612378477,3805.1576004838653,3750.855054742968,3803.194732947884,11866358,2882.0016364141766,3095.3337434732994,3031.0204189486167,4292.0732228607985,4502.017552339155,3922.568470438599,104.98607637141653,4132.540623181432,3712.5963176957657
2021-06-03,3800.2060612832875,3800.2060612832875,3782.96387269677,3782.96387269677,64549587,2885.4408920721494,3098.46562037457,3034.1699002077903,4295.205099762069,4505.167033598329,3908.97287072861,104.55591259908554,4118.084695926781,3699.861045530439
2021-06-04,3683.377104932485,3690.4014384014768,3677.741421267584,3677.741421267584,32357881,2888.880147730122,3101.5974972758413,3037.319381466964,4298.3369766633405,4508.316514857503,3891.821516921516,113.04241883276573,4117.906354587048,3665.7366792559847
