日期,开盘,收盘,最高,最低,成交量,成交额,fast_ma,medium_ma,slow_ma,ultra_slow_ma,ultra_slow_slope,slow_slope,medium_slow_diff,fast_medium_diff,price_above_all,signal,returns,strategy_returns,cum_returns,benchmark_returns
2023-04-03 18:39:20.609287,4007.662671747264,4006.363653518108,4011.679930468152,4009.235142184254,4243637,683614.6441998326,,,,,,,,,False,0,,0.0,1.0,
2023-04-04 18:39:20.609287,3977.3613725139435,3976.094121483845,4006.936194390371,3979.2261339608976,3903648,1050800.1663786897,,,,,,,,,False,0,-0.007555363080354094,-0.0,1.0,0.9924446369196459
2023-04-05 18:39:20.609287,3965.5672456756224,3967.1686156474498,3985.4877430578567,3975.3563251397154,1510090,1490904.8111813606,,,,,,,,,False,0,-0.002244792392656958,-0.0,1.0,0.9902168047485554
2023-04-06 18:39:20.609287,3966.9609301278642,3969.238444166513,3977.7325155156504,3966.376227254561,3331430,413048.08174838894,,,,,,,,,False,0,0.0005217394871745995,0.0,1.0,0.9907334399564566
2023-04-07 18:39:20.609287,3975.881031640325,3972.901619433106,4001.12218233262,3983.0567530544313,3813966,1653408.8236020668,3978.3532908498046,,,,,,,,False,0,0.0009228912090117891,0.0,1.0,0.9916477791386664
2023-04-10 18:39:20.609287,4015.0607884623414,4016.4341896946653,4005.1693193188676,3988.892747555974,4090278,1789759.2228356502,3980.3673980851154,,,,,,,,False,0,0.010957374340362147,0.0,1.0,1.0025136350684776
2023-04-11 18:39:20.609287,4033.9596669115745,4034.345810611368,4062.6089107947246,4020.911650159525,2228962,1387477.2841059624,3992.017735910621,,,,,,,,False,0,0.004459582821663144,0.0,1.0,1.006984427653912
2023-04-12 18:39:20.609287,4029.2333218352774,4029.109436042327,4036.356737303625,4009.6662820623205,2846601,1302119.1264103435,4004.405899989596,,,,,,,,False,0,-0.0012979488657783866,-0.0,1.0,1.005677413358182
2023-04-13 18:39:20.609287,4070.5545223197396,4058.4755040935224,4040.869635958154,4014.154741841861,2860418,963607.4915648786,4022.253311974998,,,,,,,,False,0,0.00728847615517747,0.0,1.0,1.0130072692052436
2023-04-14 18:39:20.609287,4049.8128836228175,4055.354246886834,4082.147981949787,4022.142615806652,2307199,467303.74182929087,4038.743837465743,,,,,,,,False,0,-0.0007690713430548168,-0.0,1.0,1.0122281943441918
2023-04-17 18:39:20.609287,4062.7381127864255,4060.98222931315,4068.6093468179465,4029.7569304990675,2596385,1121041.0480716848,4047.6534453894405,,,,,,,,False,0,0.0013877905809673852,0.0,1.0,1.0136329550980923
2023-04-18 18:39:20.609287,4064.065339484862,4067.29451247241,4049.8978516795833,4062.6585607862467,1787605,1972757.8237372367,4054.243185761649,,,,,,,,False,0,0.00155437349951848,0.0,1.0,1.0152085193017353
2023-04-19 18:39:20.609287,4095.609047304601,4083.4220229672796,4123.483890225149,4090.640855030355,3548217,1944791.806452916,4065.1057031466394,,,,,,,,False,0,0.00396516909346345,0.0,1.0,1.0192339927458913
2023-04-20 18:39:20.609287,4068.861140991177,4067.8734564785536,4080.319275605671,4079.580221777175,4509725,1091988.899978707,4066.9852936236457,,,,,,,,False,0,-0.0038077294977773013,-0.0,1.0,1.0153530254065755
2023-04-21 18:39:20.609287,4078.5268560520317,4082.4693952780776,4084.9588816244136,4089.136057989876,4051024,686292.0908789514,4072.4083233018946,,,,,,,,False,0,0.0035881005040308,0.0,1.0,1.018996214108806
2023-04-24 18:39:20.609287,4086.991944732671,4097.70365292319,4123.664713156102,4097.848743809016,3595462,1022012.3657792257,4079.7526080239027,,,,,,,,False,0,0.0037316281324075717,0.0,1.0,1.0227987290481912
2023-04-25 18:39:20.609287,4089.589380530642,4081.053073000669,4082.928405841766,4071.288640399081,1176581,1785410.1143796875,4082.5043201295543,,,,,,,,False,0,-0.004063392898274398,-0.0,1.0,1.0186426959562127
2023-04-26 18:39:20.609287,4065.636414141142,4071.3596123510956,4046.730322013096,4043.821830023798,2106427,1435212.0766602566,4080.091838006317,,,,,,,,False,0,-0.00237523513568183,-0.0,1.0,1.0162231800340717
2023-04-27 18:39:20.609287,4072.9190942695677,4060.9472201339654,4057.532912801261,4034.7975007797304,2055544,1947710.6935312084,4078.7065907373994,,,,,,,,False,0,-0.002557472984096698,-0.0,1.0,1.0136242167053218
2023-04-28 18:39:20.609287,4070.4056612264403,4080.0430818234286,4118.176579528326,4078.6631898055934,3168987,1596326.647866813,4078.22132804647,4041.931694915978,,,,,,36.28963313049189,False,0,0.004702317133004508,0.0,1.0,1.0183905992259634
2023-05-01 18:39:20.609287,4076.5741013427278,4082.734979742872,4051.082347671706,4114.7000041600795,1611940,774930.8617530594,4075.227593410406,4045.750261227216,,,,,,29.4773321831899,False,0,0.0006597719351140174,0.0,1.0,1.0190625047623167
2023-05-02 18:39:20.609287,4108.031820842053,4103.181683009805,4073.9048058566327,4077.7270651190784,1552192,559796.256376691,4079.6533154122335,4052.104639303514,,,,,,27.54867610871952,False,0,0.00500808976541034,0.0,1.0,1.0241660612627304
2023-05-03 18:39:20.609287,4096.20634985217,4099.705502578611,4083.3082273041396,4095.7980772585897,1059820,1433361.9961623487,4085.3224934577365,4058.7314836500723,,,,,,26.59100980766425,False,0,-0.000847191447940987,-0.0,1.0,1.0232983965343572
2023-05-04 18:39:20.609287,4127.0473751482805,4128.734455811425,4144.353920165639,4133.62379727806,1653179,1864013.7824623338,4098.879940593228,4066.7062842323176,,,,,,32.17365636091017,False,0,0.007080741095806697,0.0,1.0,1.0305441075439712
2023-05-05 18:39:20.609287,4109.734718829718,4119.849454974462,4144.746745780782,4067.0194566815785,4216501,1736312.6127237144,4106.841215223435,4074.0536760093855,,,,,,32.7875392140495,False,0,-0.0021519913503897925,-0.0,1.0,1.0283263855383413
2023-05-08 18:39:20.609287,4129.366997665327,4114.537553901087,4106.366657496535,4097.301577856658,1594453,1247924.8392167613,4113.201730055078,4078.958844219707,,,,,,34.242885835371,False,0,-0.001289343489714323,-0.0,1.0,1.027000519607846
2023-05-09 18:39:20.609287,4104.761904732915,4119.843821571112,4138.122941554134,4113.435909677701,1011760,1547620.9795107169,4116.53415776734,4083.2337447676937,,,,,,33.30041299964614,False,0,0.0012896388963550276,0.0,1.0,1.028324979424509
2023-05-10 18:39:20.609287,4122.83314595484,4114.736345214265,4146.0933684483,4100.888264918889,3537651,1352903.5022038207,4119.54032629447,4087.5150902262912,,,,,,32.025236068178856,False,0,-0.0012397257221510305,-0.0,1.0,1.027050138496786
2023-05-11 18:39:20.609287,4110.742102779273,4108.296521679416,4086.456699324739,4096.1506182061485,2938488,642931.1507974375,4115.452739468068,4090.0061411055854,,,,,,25.446598362482746,False,0,-0.0015650634681220188,-0.0,1.0,1.0254427398450952
2023-05-12 18:39:20.609287,4135.413458365933,4127.606354732109,4150.906531116727,4116.652205354086,1506758,714571.6248918582,4117.004119419597,4093.6187464978493,,,,,,23.385372921748058,False,0,0.004700204318455414,0.0,1.0,1.0302625302392439
2023-05-15 18:39:20.609287,4129.125508103984,4124.364510361413,4150.434576645374,4131.618230105439,2479344,610044.6532023815,4118.969510711663,4096.787860550262,,,,,,22.181650161401194,False,0,-0.0007854054122626852,-0.0,1.0,1.0294533564719426
2023-05-16 18:39:20.609287,4125.269451575062,4123.360424375702,4109.028307411911,4135.732965421792,2996814,1398645.0929563653,4119.672831272581,4099.591156145427,,,,,,20.081675127154085,False,0,-0.00024345229021061066,-0.0,1.0,1.0292027336946445
2023-05-17 18:39:20.609287,4115.928409765929,4122.477088556593,4135.163160710592,4127.586486251842,2661248,884967.6218756464,4121.220979941047,4101.543909424892,,,,,,19.677070516154345,False,0,-0.00021422716624208693,-0.0,1.0,1.0289822505095165
2023-05-18 18:39:20.609287,4101.7943515475745,4100.118520492118,4092.067463085445,4084.9177495263693,1701233,1355368.7991057425,4119.585379703587,4103.156162625571,,,,,,16.429217078016336,False,-1,-0.005423576064628621,-0.0,1.0,1.0234014870047254
2023-05-19 18:39:20.609287,4087.0262713865163,4090.4653847721556,4059.023952827821,4090.591935503023,4704744,1055908.6439596994,4112.157185711597,4103.555962100274,,,,,,8.601223611322894,False,-1,-0.0023543552879548013,-0.0,1.0,1.020992036302095
2023-05-22 18:39:20.609287,4091.490814712993,4097.835052161366,4105.635547762044,4101.74321558613,2931060,1575535.6208550017,4106.851294071586,4103.562532062184,,,,,,3.2887620094024896,False,-1,0.0018016696624900685,0.0,1.0,1.0228315266795445
