date,open,high,low,close,volume,k,d,j,ma,kdj_momentum,signal,position,strategy_returns,stop_loss_level,take_profit_level,returns,cumulative_returns,benchmark_returns
2021-04-02,4073.7834008505956,4073.7834008505956,4068.1773322744357,4068.1773322744357,4605875,0.0,0.0,0.0,,0.0,0,0,,0.0,0.0,,,
2021-04-05,4073.8172991803062,4082.908215772589,4038.309957318631,4065.412079581825,3952168,0.0,0.0,0.0,,0.0,0,0,-0.0,0.0,0.0,-0.0006797276683769837,1.0,0.999320272331623
2021-04-06,4101.928994806591,4124.64751254632,4101.928994806591,4103.049225077686,2353644,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.009257891883799552,1.0,1.0085718713701584
2021-04-07,4138.824354496946,4183.497848461656,4129.18684794014,4143.687830391018,4088823,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.00990448885305839,1.0,1.0185612602276524
2021-04-08,4158.179563042934,4183.278149945936,4137.581788408139,4164.478127810813,3399597,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.005017341621951665,1.0,1.0236717300331002
2021-04-09,4190.270182014878,4190.270182014878,4186.466753794607,4186.466753794607,2439976,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.005280043575436766,1.0,1.0290767613746177
2021-04-12,4230.221954003966,4230.221954003966,4201.581134370654,4227.348724647835,3602434,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.009765268245871761,1.0,1.0391259719950339
2021-04-13,4198.927252824413,4254.871786512104,4198.927252824413,4205.4668360160595,1009020,0.0,0.0,0.0,,0.0,0,0,-0.0,0.0,0.0,-0.005176267693316139,1.0,1.0337471777969103
2021-04-14,4195.059678515232,4195.059678515232,4157.072210233956,4179.317329875907,1866513,50.0,50.0,50.0,,0.0,0,0,-0.0,0.0,0.0,-0.006217979396771267,1.0,1.0273193591438987
2021-04-15,4195.413123808597,4211.0103173701755,4195.343596940366,4195.343596940366,1716916,57.50405018381511,52.501350061271694,67.50945042890194,,15.008100367630249,0,0,0.0,0.0,0.0,0.0038346614529354284,1.0,1.0312587810902623
2021-04-16,4228.280255257841,4230.724382349552,4220.538925073978,4224.494582466381,1066308,65.04876403376635,56.68382138543657,81.77864933042588,,25.094827944989305,0,0,0.0,0.0,0.0,0.006948414319931873,1.0,1.0384243943723452
