date,open,high,low,close,volume,k,d,j,ma,kdj_momentum,signal,position,strategy_returns,stop_loss_level,take_profit_level,returns,cumulative_returns,benchmark_returns
2021-04-02,4150.792842039873,4152.945669136068,4139.213208578201,4139.213208578201,3706375,0.0,0.0,0.0,,0.0,0,0,,0.0,0.0,,,
2021-04-05,4035.094226888636,4040.670633812257,4010.279469552226,4040.670633812257,4478924,0.0,0.0,0.0,,0.0,0,0,-0.0,0.0,0.0,-0.02380707873702237,1.0,0.9761929212629776
2021-04-06,4064.2232514464795,4083.2554738272643,4064.2232514464795,4066.159498751113,1360582,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0063080778536031,1.0,0.9823508222104408
2021-04-07,4197.015510558703,4219.738809393959,4155.661085006358,4190.980050389343,2841072,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.03069740665032139,1.0,1.0125064448731123
2021-04-08,4168.789637082642,4214.206419847969,4168.789637082642,4171.764783975234,3303707,0.0,0.0,0.0,,0.0,0,0,-0.0,0.0,0.0,-0.004584910017007449,1.0,1.007864193931729
2021-04-09,4277.533249796578,4281.320965297253,4277.533249796578,4281.320965297253,1873561,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.026261351489146767,1.0,1.0343320697818956
2021-04-12,4344.5904006819865,4344.5904006819865,4330.79551916175,4335.707027653211,4960811,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.012703103270413685,1.0,1.0474712968802358
2021-04-13,4393.98252025435,4422.162862159738,4393.98252025435,4398.3789871383005,3538424,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.014454841871317958,1.0,1.062612328841384
2021-04-14,4496.859142654474,4496.859142654474,4461.221834934011,4490.152639915487,3181295,50.0,50.0,50.0,,0.0,0,0,0.0,0.0,0.0,0.020865335398688956,1.0,1.0847840914814415
2021-04-15,4433.785779694685,4452.7812156250575,4433.785779694685,4442.578574602962,3178787,62.94815484136169,54.316051613787224,80.21236129651064,,25.896309682723412,0,0,-0.0,0.0,0.0,-0.01059520001382852,1.0,1.0732905870603764
2021-04-16,4384.485839745522,4456.014164979046,4356.955729792195,4379.286264505765,2623271,66.24012261616274,58.290741947912394,82.1388839526634,,23.84814200475101,0,0,-0.0,0.0,0.0,-0.014246750852989432,1.0,1.0579996834736685
2021-04-19,4425.56236524947,4431.467040344932,4411.817315109574,4423.171208812634,2168268,70.29447473667392,62.291986210832896,86.29945178835597,,24.00746557752307,0,0,0.0,0.0,0.0,0.010021026636819252,1.0,1.0686019264835045
2021-04-20,4293.6927193689635,4295.42243301074,4289.55752837615,4289.55752837615,3154980,59.13354262180095,61.239171681155575,54.92228450309169,,-6.316887178063887,0,0,-0.0,0.0,0.0,-0.03020766642952344,1.0,1.0363219559423447
2021-04-21,4333.658614571488,4376.309517914431,4306.166221096593,4342.110416781917,4670631,49.236853802570984,57.23839905496071,33.23376329779154,,-24.00463575716917,0,0,0.0,0.0,0.0,0.012251354145065285,1.0,1.049018303232901
2021-04-22,4393.061426519307,4420.2081325882755,4393.061426519307,4399.8240998339925,1521208,50.55502631717698,55.01060814236613,41.64386266679868,,-13.366745475567448,0,0,0.0,0.0,0.0,0.013291620321080888,1.0,1.0629614562293372
2021-04-23,4433.452985193955,4438.927322812566,4396.0235978954515,4438.927322812566,3246894,57.72146171248755,55.91422599907327,61.335933139316126,,5.421707140242859,0,0,0.0,0.0,0.0,0.00888745142789893,1.0,1.0724084745413043
2021-04-26,4508.0419285848375,4508.0419285848375,4485.844150718036,4507.4230072593755,3461252,71.71988133746932,61.182777778538615,92.79408845533074,,31.611310676792122,0,0,0.0,0.0,0.0,0.015430683916539012,1.0,1.0889564707413688
2021-04-27,4551.044868566543,4588.777994234436,4551.044868566543,4554.639238740783,4194840,77.34351040852313,66.56968865520011,98.89115391516918,,32.321465259969074,0,0,0.0,0.0,0.0,0.010475216416423239,1.0,1.1003635254404491
2021-04-28,4608.896365368359,4621.313093412502,4568.381557602629,4599.863145561352,1900362,82.74047762087125,71.95995164375715,104.30152957509944,,32.341577931342286,0,0,0.0,0.0,0.0,0.009929196243668281,1.0,1.111289250823922
2021-04-29,4572.066884282941,4632.316592694808,4546.682675704414,4570.638266414121,2549156,82.49543193811404,75.47177840854278,96.54273899725655,,21.070960588713774,0,0,-0.0,0.0,0.0,-0.00635342361770741,1.0,1.104228759451633
