date,open,high,low,close,volume,dif,dea,macd_hist,macd_hist_change,signal,position,capital,shares,total_value,daily_return,cumulative_return
2021-04-02,4144.310726594072,4170.856852569921,4139.868566120449,4139.868566120449,4187436,0.0,0.0,0.0,,0,0,100000.0,0.0,100000.0,,
2021-04-05,4133.245271007885,4179.502160740869,4110.770575653562,4140.6858182686265,2950500,0.06519390355697396,0.013038780711394794,0.052155122845579174,0.052155122845579174,1,1,0.0,24.150588667896976,100000.0,0.0,1.0
2021-04-06,4173.156138781544,4199.033454941253,4129.125804989392,4172.92094329796,1893061,2.6869917630601776,0.5478293771811513,2.1391623858790263,2.0870072630334473,0,1,0.0,24.150588667896976,100778.49724524167,0.007784972452416605,1.0077849724524166
2021-04-07,4240.069351290876,4240.146683057623,4225.479066644195,4240.146683057623,2223045,10.073222981241997,2.452908097993321,7.6203148832486765,5.48115249736965,0,1,0.0,24.150588667896976,102402.03843407237,0.01610999601313612,1.0240203843407236
2021-04-08,4246.261271782912,4246.261271782912,4222.49574290777,4237.059264048919,1647601,15.499071872498462,5.062140852894349,10.436931019604113,2.816616136355437,0,1,0.0,24.150588667896976,102327.47544754774,-0.0007281396705069998,1.0232747544754772
2021-04-09,4237.963579487054,4246.5076653740225,4232.849829138186,4233.943888123444,3904936,19.324945467063117,7.914701775728103,11.410243691335014,0.9733126717309002,0,1,0.0,24.150588667896976,102252.2372850257,-0.0007352684329695602,1.0225223728502568
2021-04-12,4303.11571582209,4329.1251603844885,4303.11571582209,4303.331114402624,2936983,27.637360830181024,11.859233586618688,15.778127243562336,4.3678835522273225,0,1,0.0,24.150588667896976,103927.97964570047,0.01638831975875199,1.0392797964570046
2021-04-13,4347.311624075353,4367.737403919437,4325.903052202767,4340.213064124973,2404568,36.777131125801134,16.842813094455177,19.934318031345956,4.15619078778362,0,1,0.0,24.150588667896976,104818.700442715,0.00857055818895991,1.0481870044271497
2021-04-14,4339.614217620929,4339.614217620929,4327.581744001926,4327.581744001926,1760956,42.51118053704613,21.97648658297337,20.53469395407276,0.6003759227268048,0,1,0.0,24.150588667896976,104513.64662609076,-0.0029102995489908023,1.0451364662609073
2021-04-15,4360.251122822753,4370.243948044833,4347.209132321713,4355.392157555377,4554382,48.737706022632665,27.32873047090523,21.408975551727433,0.8742815976546723,0,1,0.0,24.150588667896976,105185.28448450424,0.006426317328839692,1.051852844845042
2021-04-16,4343.011016585071,4365.8795222274375,4322.369817172112,4342.921095362851,4103577,52.0657799344699,32.27614036361817,19.789639570851733,-1.6193359808757002,0,1,0.0,24.150588667896976,104884.10099124079,-0.0028633614933828433,1.0488410099124075
2021-04-19,4318.951157119118,4374.82424401137,4282.42859006971,4330.312478733118,3928583,53.07408745693374,36.435729782281285,16.638357674652454,-3.1512818961992792,0,1,0.0,24.150588667896976,104579.5954773449,-0.0029032571287550546,1.0457959547734486
2021-04-20,4336.705893225994,4374.310474927801,4327.218348870967,4345.963784037212,4688498,54.50777625284354,40.050139076393734,14.457637176449808,-2.1807204982026462,0,1,0.0,24.150588667896976,104957.58371385974,0.0036143593287920606,1.049575837138597
2021-04-21,4272.745074872584,4305.048514791416,4255.338029910899,4275.3549627816365,1163543,49.37725294431948,41.915561849978886,7.461691094340594,-6.995946082109214,0,1,0.0,24.150588667896976,103252.33911539128,-0.016246987955795378,1.0325233911539125
2021-04-22,4207.092758849774,4226.629733916789,4207.092758849774,4212.227567050552,4979439,39.759104790212405,41.48427043802559,-1.725165647813185,-9.186856742153779,-1,0,101727.77534741432,0.0,101727.77534741432,-0.014765416270842602,1.0172777534741428
2021-04-23,4193.980795993409,4237.724597003164,4192.664906835643,4195.549690778259,1371557,30.43999454187906,39.275415258796286,-8.835420716917227,-7.110255069104042,0,0,101727.77534741432,0.0,101727.77534741432,0.0,1.0172777534741428
2021-04-26,4161.2631984418085,4181.798845070703,4123.7738592715,4160.791781357956,1499964,20.01909209108817,35.42415062525467,-15.4050585341665,-6.569637817249273,0,0,101727.77534741432,0.0,101727.77534741432,0.0,1.0172777534741428
2021-04-27,4183.483381647976,4183.483381647976,4170.118285436652,4179.056150122436,3151365,13.083416259389196,30.95600375208158,-17.872587492692382,-2.4675289585258824,0,0,101727.77534741432,0.0,101727.77534741432,0.0,1.0172777534741428
2021-04-28,4147.781350612392,4189.919822069945,4147.781350612392,4148.366260116952,3997493,5.052187088709616,25.775240419407186,-20.72305333069757,-2.8504658380051886,0,0,101727.77534741432,0.0,101727.77534741432,0.0,1.0172777534741428
2021-04-29,4101.426091412179,4124.029668716746,4097.4392695319675,4097.4392695319675,1799458,-5.3602132151963815,19.548149692486476,-24.908362907682857,-4.185309576985286,0,0,101727.77534741432,0.0,101727.77534741432,0.0,1.0172777534741428
2021-04-30,4162.098608546697,4164.82789017101,4161.561979999983,4161.561979999983,4384425,-8.34178967562093,13.970161818864995,-22.311951494485925,2.5964114131969325,0,0,101727.77534741432,0.0,101727.77534741432,0.0,1.0172777534741428
