date,open,high,low,close,volume,volume_ma,volume_ratio,resistance,support,price_breakout,price_breakdown,volume_breakout,signal,position,strategy_returns,stop_loss_level,take_profit_level,returns,cumulative_returns,benchmark_returns
2021-04-02,4147.296038420894,4173.18357444878,4133.471739122816,4139.868566120449,22146039,,,,,False,False,False,0,0,,0.0,0.0,,,
2021-04-05,4149.968981995571,4149.968981995571,4116.502670976544,4139.414509508213,17626435,,,,,False,False,False,0,0,-0.0,0.0,0.0,-0.00010967899221536737,1.0,0.9998903210077846
2021-04-06,4175.813073439017,4175.813073439017,4147.151948051492,4170.378886325699,94607830,,,,,False,False,False,0,0,0.0,0.0,0.0,0.007480375967751085,1.0,1.0073698765354382
2021-04-07,4226.695763398655,4247.098577692771,4198.230194803897,4236.334998644809,176024991,,,,,False,False,False,0,0,0.0,0.0,0.0,0.01581537652019449,1.0,1.0233018104279479
2021-04-08,4230.274216402493,4242.82544878295,4230.274216402493,4231.979632538082,35128299,,,,,False,False,False,0,0,-0.0,0.0,0.0,-0.0010280976618044502,1.0,1.0222497562293267
2021-04-09,4227.543409446,4251.871720404635,4215.200066515944,4227.598548451596,32877976,,,,,False,False,False,0,0,-0.0,0.0,0.0,-0.0010352327910091441,1.0,1.021191489761077
2021-04-12,4300.867372298504,4329.006006941193,4278.006162148648,4295.722862799789,179225153,,,,,False,False,False,0,0,0.0,0.0,0.0,0.01611418718391433,1.0,1.0376471605777073
2021-04-13,4337.1348792944955,4343.0525499296,4298.236620868577,4331.345252488785,106375686,,,,,False,False,False,0,0,0.0,0.0,0.0,0.00829252510618872,1.0,1.0462518757081634
2021-04-14,4311.118748459236,4370.465943514166,4311.118748459236,4317.458277949215,58709097,,,,,False,False,False,0,0,-0.0,0.0,0.0,-0.0032061573783782604,1.0,1.0428974275372196
2021-04-15,4344.72987441489,4361.9199448996305,4307.67266292473,4344.017494151884,84476415,,,,,False,False,False,0,0,0.0,0.0,0.0,0.006151586070516801,1.0,1.0493129008254354
2021-04-16,4334.260563424597,4335.7904873425605,4308.024138433789,4330.300240532405,52945668,,,,,False,False,False,0,0,-0.0,0.0,0.0,-0.0031577344331477075,1.0,1.0459994493473528
2021-04-19,4329.01895573869,4329.01895573869,4312.476328001289,4316.450984347758,48185400,,,,,False,False,False,0,0,-0.0,0.0,0.0,-0.0031982207734732038,1.0,1.0426541121794086
2021-04-20,4336.969993988462,4338.172629702167,4330.867744689963,4330.867744689963,50496423,,,,,False,False,False,0,0,0.0,0.0,0.0,0.0033399569216661096,1.0,1.0461365319982858
2021-04-21,4265.75224604771,4265.75224604771,4259.031012243809,4259.031012243809,189036840,,,,,False,False,False,0,0,-0.0,0.0,0.0,-0.016587145274577497,1.0,1.0287841133649875
2021-04-22,4195.386126656811,4227.407793454772,4194.68287441562,4194.68287441562,172674057,,,,,False,False,False,0,0,-0.0,0.0,0.0,-0.015108633311943787,1.0,1.0132405914390028
2021-04-23,4188.574345119306,4198.980821568055,4174.832156545412,4176.791956294569,63913182,,,,,False,False,False,0,0,-0.0,0.0,0.0,-0.004265142003981315,1.0,1.0089189764323174
2021-04-26,4144.222747480032,4144.222747480032,4106.542528225102,4140.829231952681,109020911,,,,,False,False,False,0,0,-0.0,0.0,0.0,-0.00861013062613547,1.0,1.0002320522540482
2021-04-27,4150.736904021771,4173.952307666161,4140.082084504134,4157.897534619374,65231906,,,,,False,False,False,0,0,0.0,0.0,0.0,0.004121952804763129,1.0,1.0043549615672507
2021-04-28,4137.601511648546,4152.252664743671,4119.993395545992,4126.020844150961,99155397,,,,,False,False,False,0,0,-0.0,0.0,0.0,-0.007666540650172804,1.0,0.9966550334271926
2021-04-29,4079.603229938628,4117.263944013606,4073.9168301629825,4073.9168301629825,152138413,90499805.9,1.6810910419864225,,,False,False,False,0,0,-0.0,0.0,0.0,-0.012628150936716986,1.0,0.9840691232332354
2021-04-30,4133.207166509296,4167.640873543398,4095.549464312521,4136.872800029741,174851523,98135080.1,1.781743315660676,4370.465943514166,4073.9168301629825,False,False,False,0,0,0.0,0.0,0.0,0.015453425411298793,1.0,0.9992763620286824
2021-05-03,4128.149065069988,4160.227553998332,4128.149065069988,4132.111702073293,26145910,98561053.85,0.26527628285906363,4370.465943514166,4073.9168301629825,False,False,False,0,0,-0.0,0.0,0.0,-0.0011508930021763009,1.0,0.9981263018563834
2021-05-04,4141.475861415967,4152.681345014368,4130.327080913448,4139.020796717697,35574420,95609383.35,0.37208084346461795,4370.465943514166,4073.9168301629825,False,False,False,0,0,0.0,0.0,0.0,0.0016720493400352865,1.0,0.9997952182806742
2021-05-05,4089.9602624519507,4106.367033050386,4086.1749542327425,4086.1749542327425,151503893,94383328.45,1.6051976073323149,4370.465943514166,4073.9168301629825,False,False,False,0,0,-0.0,0.0,0.0,-0.01276771610494487,1.0,0.9870301167705852
2021-05-06,4070.08334310982,4106.101334486256,4054.1977343814983,4068.477984631302,61522555,95703041.25,0.6428484841906735,4370.465943514166,4073.9168301629825,False,True,False,0,0,-0.0,0.0,0.0,-0.004330937808501911,1.0,0.9827553507197334
2021-05-07,4079.464013460035,4079.464013460035,4047.5221958967604,4076.9256488291107,46094677,96363876.3,0.47833979671488164,4370.465943514166,4054.1977343814983,False,False,False,0,0,0.0,0.0,0.0,0.002076369647253662,1.0,0.984795914100644
2021-05-10,4048.5453551823994,4048.5453551823994,4034.827286381148,4034.827286381148,133544436,94079840.45,1.4194798307611287,4370.465943514166,4047.5221958967604,False,True,False,0,0,-0.0,0.0,0.0,-0.010326006916523855,1.0,0.9746269046802764
2021-05-11,4062.4129231544466,4062.4129231544466,4053.725439682582,4053.725439682582,74686857,92495399.0,0.8074656448587243,4370.465943514166,4034.827286381148,False,False,False,0,0,0.0,0.0,0.0,0.004683757682818701,1.0,0.9791918209329544
2021-05-12,4035.0350988396895,4053.24429959849,4033.497242576281,4033.497242576281,72596832,93189785.75,0.7790213424758303,4370.465943514166,4034.827286381148,False,True,False,0,0,-0.0,0.0,0.0,-0.0049900264355063895,1.0,0.9743056278610673
2021-05-13,4033.130852039368,4062.39053726102,4013.2078128520334,4025.5522621637533,49105718,91421250.9,0.5371367982452316,4361.9199448996305,4033.497242576281,False,True,False,0,0,-0.0,0.0,0.0,-0.001969749806362442,1.0,0.9723864895392501
2021-05-14,3996.859737682611,4005.1911155705684,3981.1033046445673,4005.1305236875214,75095224,92528728.7,0.8115881959588622,4338.172629702167,4013.2078128520334,False,True,False,0,0,-0.0,0.0,0.0,-0.005073027785075901,1.0,0.9674535458599851
2021-05-17,4086.0396134416364,4086.0396134416364,4038.7209349339932,4082.79030803598,212479734,100743445.4,2.109117205157647,4338.172629702167,3981.1033046445673,False,False,True,0,0,0.0,0.0,0.0,0.019390075776346327,1.0,0.9862125434243052
2021-05-18,4100.5243289187065,4100.5243289187065,4085.739619644349,4085.739619644349,28483186,99642783.55,0.28585297384538993,4338.172629702167,3981.1033046445673,False,False,False,0,0,0.0,0.0,0.0,0.000722376459688423,1.0,0.9869249601499244
2021-05-19,4045.0745850656754,4077.4633039825085,4043.275923610196,4046.8393784972623,118734761,96127679.6,1.235177645960779,4265.75224604771,3981.1033046445673,False,False,False,0,0,-0.0,0.0,0.0,-0.009520979007094255,1.0,0.9775284683227596
2021-05-20,4076.1449662283317,4106.291953000388,4051.1008823548364,4083.066858232047,111093159,93048634.7,1.1939257288210376,4227.407793454772,3981.1033046445673,False,False,False,0,0,0.0,0.0,0.0,0.00895204290224072,1.0,0.9862793451093467
2021-05-21,4032.209230573747,4058.23119590999,4014.490002846421,4037.474815504076,137622266,96734088.9,1.4226863307956374,4198.980821568055,3981.1033046445673,False,False,False,0,0,-0.0,0.0,0.0,-0.011166126911698937,1.0,0.9752664247714684
2021-05-24,4040.1618401397373,4055.464169874023,4027.389201572882,4048.9856572194008,53186993,93942393.0,0.566166043907355,4173.952307666161,3981.1033046445673,False,False,False,0,0,0.0,0.0,0.0,0.0028510002517223576,1.0,0.9780469095939882
2021-05-25,3967.431595024272,3973.6683621565776,3932.2829154754113,3973.6683621565776,213764786,101369037.0,2.1087779101620545,4173.952307666161,3981.1033046445673,False,True,True,-1,0,-0.0,0.0,0.0,-0.018601521822763534,1.0,0.9598537486614892
2021-05-26,3920.6149093774143,3945.4017136801576,3895.7107604459734,3923.5223029539,153862590,104104396.65,1.4779643795188355,4167.640873543398,3932.2829154754113,False,True,False,0,0,-0.0,0.0,0.0,-0.01261958840859645,1.0,0.9477407894209329
2021-05-27,3923.228900336058,3934.288713254613,3900.1817672372053,3934.288713254613,56527160,99323834.0,0.569119794550017,4167.640873543398,3895.7107604459734,False,False,False,0,0,0.0,0.0,0.0,0.0027440675671976944,1.0,0.9503414541832932
2021-05-28,3966.7525701079658,4021.846055401222,3946.5480244850423,3966.6286658456515,109818690,96072192.35,1.1430850833498234,4167.640873543398,3895.7107604459734,False,False,False,0,0,0.0,0.0,0.0,0.00822002525693799,1.0,0.958153284939395
2021-05-31,3983.3680673750328,3999.463623087986,3949.578214503366,3976.1928113505205,42694185,96899606.1,0.44060225545127374,4160.227553998332,3895.7107604459734,False,False,False,0,0,0.0,0.0,0.0,0.0024111522178065226,1.0,0.9604635383573752
2021-06-01,3966.968083354379,3974.5677981493814,3929.9306337823505,3974.183262188956,19509340,96096352.1,0.2030185285253924,4152.681345014368,3895.7107604459734,False,False,False,0,0,-0.0,0.0,0.0,-0.0005053953007077006,1.0,0.9599781245985883
2021-06-02,3976.708247290066,3976.708247290066,3964.661354772088,3964.661354772088,52509394,91146627.15,0.5760980481876229,4106.367033050386,3895.7107604459734,False,False,False,0,0,-0.0,0.0,0.0,-0.002395940697415999,1.0,0.9576780739412335
2021-06-03,3911.9398096505834,3917.855249439075,3907.9475123072484,3907.9475123072484,164497022,96295350.5,1.7082550834061299,4106.291953000388,3895.7107604459734,False,False,False,0,0,-0.0,0.0,0.0,-0.014304839024038118,1.0,0.9439786432566533
2021-06-04,3889.484930343552,3889.484930343552,3854.7213520734117,3881.484565071228,92201816,98600707.45,0.9351029864238565,4106.291953000388,3895.7107604459734,False,True,False,0,0,-0.0,0.0,0.0,-0.006771571816837518,1.0,0.93758642408028
2021-06-07,3860.207209720687,3898.472980779682,3858.9617200115795,3865.2926558602385,62215176,95034244.45,0.6546606053435089,4106.291953000388,3854.7213520734117,False,False,False,0,0,-0.0,0.0,0.0,-0.004171576349085049,1.0,0.9336752107283635
2021-06-08,3916.3949905577565,3925.086401598988,3906.1447979777336,3909.7130936195754,131492680,97874535.6,1.343482032317301,4106.291953000388,3854.7213520734117,False,False,False,0,0,0.0,0.0,0.0,0.011492127948446562,1.0,0.9444051257123466
2021-06-09,3916.92165724632,3925.49441810821,3916.92165724632,3925.49441810821,67531125,97621250.25,0.691766647395504,4106.291953000388,3854.7213520734117,False,False,False,0,0,0.0,0.0,0.0,0.004036440554778586,1.0,0.9482171608619127
2021-06-10,3863.7768455449145,3904.936660611386,3829.552480220323,3856.90963721395,206099261,105470927.4,1.9540859844567935,4106.291953000388,3854.7213520734117,False,False,False,0,0,-0.0,0.0,0.0,-0.017471628689084362,1.0,0.9316502627107155
2021-06-11,3873.039917509586,3884.2789590795287,3871.7092935718265,3871.7092935718265,61233116,104777822.0,0.5844091319248839,4106.291953000388,3829.552480220323,False,False,False,0,0,0.0,0.0,0.0,0.0038371799575183108,1.0,0.9352251724262057
2021-06-14,3862.30999601847,3884.4462625682145,3835.8977351604362,3858.041064167466,50450473,96676358.95,0.5218491216254064,4106.291953000388,3829.552480220323,False,False,False,0,0,-0.0,0.0,0.0,-0.0035302829752877907,1.0,0.9319235629219289
2021-06-15,3823.5861931985123,3832.597354750065,3795.5004491031814,3832.597354750065,89660254,99735212.35,0.8989829357895783,4106.291953000388,3829.552480220323,False,False,False,0,0,-0.0,0.0,0.0,-0.006594981492995533,1.0,0.9257775442715723
2021-06-16,3851.687659065651,3877.1764493798855,3851.687659065651,3858.5950832508,94469925,98521970.55,0.9588716554553324,4106.291953000388,3795.5004491031814,False,False,False,0,0,0.0,0.0,0.0,0.006783318489878454,1.0,0.9320573882051439
2021-06-17,3905.9225867812615,3919.035095553723,3901.2626984406056,3901.2626984406056,129046706,99419647.9,1.298000030434628,4106.291953000388,3795.5004491031814,False,False,False,0,0,0.0,0.0,0.0,0.011057811008730933,1.0,0.9423639026532078
2021-06-18,3932.3653246150993,3939.837999622918,3932.3653246150993,3939.837999622918,124303078,98753688.5,1.2587183313157968,4058.23119590999,3795.5004491031814,False,False,False,0,0,0.0,0.0,0.0,0.00988790147295937,1.0,0.9516819040743162
