date,open,high,low,close,volume,ma5,ma20,ma50,volume_ma,volume_ratio,price_change,volume_change,price_volume_rise,price_volume_fall,price_rise_volume_fall,price_fall_volume_fall,ma_ascending,ma_descending,signal,position,strategy_returns,stop_loss_level,take_profit_level,returns,cumulative_returns,benchmark_returns
2021-04-02,4147.296038420894,4173.18357444878,4133.471739122816,4139.868566120449,22146039,,,,,,,,False,False,False,False,False,False,0,0,,0.0,0.0,,,
2021-04-05,4149.968981995571,4149.968981995571,4116.502670976544,4139.414509508213,17626435,,,,,,-0.00010967899221536737,-0.20408182248753381,False,False,False,True,False,False,0,0,-0.0,0.0,0.0,-0.00010967899221536737,1.0,0.9998903210077846
2021-04-06,4175.813073439017,4175.813073439017,4147.151948051492,4170.378886325699,94607830,,,,,,0.007480375967751085,4.367383137883525,True,False,False,False,False,False,0,0,0.0,0.0,0.0,0.007480375967751085,1.0,1.0073698765354382
2021-04-07,4226.695763398655,4247.098577692771,4198.230194803897,4236.334998644809,176024991,,,,,,0.01581537652019449,0.860575292763823,True,False,False,False,False,False,0,0,0.0,0.0,0.0,0.01581537652019449,1.0,1.0233018104279479
2021-04-08,4230.274216402493,4242.82544878295,4230.274216402493,4231.979632538082,35128299,4183.595318627451,,,,,-0.0010280976618044502,-0.8004357290380433,False,False,False,True,False,False,0,0,-0.0,0.0,0.0,-0.0010280976618044502,1.0,1.0222497562293267
2021-04-09,4227.543409446,4251.871720404635,4215.200066515944,4227.598548451596,32877976,4201.14131509368,,,,,-0.0010352327910091441,-0.06406011859555172,False,False,False,True,False,False,0,0,-0.0,0.0,0.0,-0.0010352327910091441,1.0,1.021191489761077
2021-04-12,4300.867372298504,4329.006006941193,4278.006162148648,4295.722862799789,179225153,4232.402985751995,,,,,0.01611418718391433,4.451222210272311,True,False,False,False,False,False,0,0,0.0,0.0,0.0,0.01611418718391433,1.0,1.0376471605777073
2021-04-13,4337.1348792944955,4343.0525499296,4298.236620868577,4331.345252488785,106375686,4264.596258984612,,,,,0.00829252510618872,-0.4064689904323865,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.00829252510618872,1.0,1.0462518757081634
2021-04-14,4311.118748459236,4370.465943514166,4311.118748459236,4317.458277949215,58709097,4280.8209148454935,,,,,-0.0032061573783782604,-0.4480966543426098,False,False,False,True,False,False,0,0,-0.0,0.0,0.0,-0.0032061573783782604,1.0,1.0428974275372196
2021-04-15,4344.72987441489,4361.9199448996305,4307.67266292473,4344.017494151884,84476415,4303.228487168254,,,,,0.006151586070516801,0.4388982170855056,True,False,False,False,False,False,0,0,0.0,0.0,0.0,0.006151586070516801,1.0,1.0493129008254354
2021-04-16,4334.260563424597,4335.7904873425605,4308.024138433789,4330.300240532405,52945668,4323.768825584416,,,,,-0.0031577344331477075,-0.3732491133767928,False,False,False,True,False,False,0,0,-0.0,0.0,0.0,-0.0031577344331477075,1.0,1.0459994493473528
2021-04-19,4329.01895573869,4329.01895573869,4312.476328001289,4316.450984347758,48185400,4327.9144498940095,,,,,-0.0031982207734732038,-0.08990854549233374,False,False,False,True,False,False,0,0,-0.0,0.0,0.0,-0.0031982207734732038,1.0,1.0426541121794086
2021-04-20,4336.969993988462,4338.172629702167,4330.867744689963,4330.867744689963,50496423,4327.818948334245,,,,,0.0033399569216661096,0.047961062894569695,True,False,False,False,False,False,0,0,0.0,0.0,0.0,0.0033399569216661096,1.0,1.0461365319982858
2021-04-21,4265.75224604771,4265.75224604771,4259.031012243809,4259.031012243809,189036840,4316.133495193164,,,,,-0.016587145274577497,2.743568925664299,False,True,False,False,False,False,0,0,-0.0,0.0,0.0,-0.016587145274577497,1.0,1.0287841133649875
2021-04-22,4195.386126656811,4227.407793454772,4194.68287441562,4194.68287441562,172674057,4286.266571245911,,,,,-0.015108633311943787,-0.08655869935193583,False,False,False,True,False,False,0,0,-0.0,0.0,0.0,-0.015108633311943787,1.0,1.0132405914390028
2021-04-23,4188.574345119306,4198.980821568055,4174.832156545412,4176.791956294569,63913182,4255.564914398344,,,,,-0.004265142003981315,-0.6298622786166425,False,False,False,True,False,False,0,0,-0.0,0.0,0.0,-0.004265142003981315,1.0,1.0089189764323174
2021-04-26,4144.222747480032,4144.222747480032,4106.542528225102,4140.829231952681,109020911,4220.440563919328,,,,,-0.00861013062613547,0.7057656587963341,False,True,False,False,False,False,0,0,-0.0,0.0,0.0,-0.00861013062613547,1.0,1.0002320522540482
2021-04-27,4150.736904021771,4173.952307666161,4140.082084504134,4157.897534619374,65231906,4185.8465219052105,,,,,0.004121952804763129,-0.4016569353378454,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.004121952804763129,1.0,1.0043549615672507
2021-04-28,4137.601511648546,4152.252664743671,4119.993395545992,4126.020844150961,99155397,4159.244488286641,,,,,-0.007666540650172804,0.520044454932836,False,True,False,False,False,False,0,0,-0.0,0.0,0.0,-0.007666540650172804,1.0,0.9966550334271926
2021-04-29,4079.603229938628,4117.263944013606,4073.9168301629825,4073.9168301629825,152138413,4135.091279436114,4227.045414119432,,90499805.9,1.6810910419864225,-0.012628150936716986,0.5343432390271203,False,True,False,False,False,False,0,0,-0.0,0.0,0.0,-0.012628150936716986,1.0,0.9840691232332354
2021-04-30,4133.207166509296,4167.640873543398,4095.549464312521,4136.872800029741,174851523,4127.107448183147,4226.895625814896,,98135080.1,1.781743315660676,0.015453425411298793,0.1492924078286526,True,False,False,False,False,False,0,0,0.0,0.0,0.0,0.015453425411298793,1.0,0.9992763620286824
2021-05-03,4128.149065069988,4160.227553998332,4128.149065069988,4132.111702073293,26145910,4125.36394220727,4226.530485443151,,98561053.85,0.26527628285906363,-0.0011508930021763009,-0.8504679310113873,False,False,False,True,False,False,0,0,-0.0,0.0,0.0,-0.0011508930021763009,1.0,0.9981263018563834
2021-05-04,4141.475861415967,4152.681345014368,4130.327080913448,4139.020796717697,35574420,4121.588594626935,4224.9625809627505,,95609383.35,0.37208084346461795,0.0016720493400352865,0.3606112772513943,True,False,False,False,False,False,0,0,0.0,0.0,0.0,0.0016720493400352865,1.0,0.9997952182806742
2021-05-05,4089.9602624519507,4106.367033050386,4086.1749542327425,4086.1749542327425,151503893,4113.619416643291,4217.4545787421475,,94383328.45,1.6051976073323149,-0.01276771610494487,3.2587874377150774,False,True,False,False,False,False,0,0,-0.0,0.0,0.0,-0.01276771610494487,1.0,0.9870301167705852
2021-05-06,4070.08334310982,4106.101334486256,4054.1977343814983,4068.477984631302,61522555,4112.531647536955,4209.279496346809,,95703041.25,0.6428484841906735,-0.004330937808501911,-0.5939209628098467,False,False,False,True,False,False,0,0,-0.0,0.0,0.0,-0.004330937808501911,1.0,0.9827553507197334
2021-05-07,4079.464013460035,4079.464013460035,4047.5221958967604,4076.9256488291107,46094677,4100.542217296829,4201.745851365684,,96363876.3,0.47833979671488164,0.002076369647253662,-0.2507678362837824,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.002076369647253662,1.0,0.984795914100644
2021-05-10,4048.5453551823994,4048.5453551823994,4034.827286381148,4034.827286381148,133544436,4081.0853341583997,4188.701072544753,,94079840.45,1.4194798307611287,-0.010326006916523855,1.8971769560290008,False,True,False,False,False,False,0,0,-0.0,0.0,0.0,-0.010326006916523855,1.0,0.9746269046802764
2021-05-11,4062.4129231544466,4062.4129231544466,4053.725439682582,4053.725439682582,74686857,4064.0262627513775,4174.820081904441,,92495399.0,0.8074656448587243,0.004683757682818701,-0.440734041514092,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.004683757682818701,1.0,0.9791918209329544
2021-05-12,4035.0350988396895,4053.24429959849,4033.497242576281,4033.497242576281,72596832,4053.490720420085,4160.622030135795,,93189785.75,0.7790213424758303,-0.0049900264355063895,-0.027983839244969166,False,False,False,True,False,False,0,0,-0.0,0.0,0.0,-0.0049900264355063895,1.0,0.9743056278610673
2021-05-13,4033.130852039368,4062.39053726102,4013.2078128520334,4025.5522621637533,49105718,4044.905575926575,4144.698768536389,,91421250.9,0.5371367982452316,-0.001969749806362442,-0.323583183354337,False,False,False,True,False,False,0,0,-0.0,0.0,0.0,-0.001969749806362442,1.0,0.9723864895392501
2021-05-14,3996.859737682611,4005.1911155705684,3981.1033046445673,4005.1305236875214,75095224,4030.5465508982575,4128.440282694145,,92528728.7,0.8115881959588622,-0.005073027785075901,0.5292562059677042,False,True,False,False,False,False,0,0,-0.0,0.0,0.0,-0.005073027785075901,1.0,0.9674535458599851
2021-05-17,4086.0396134416364,4086.0396134416364,4038.7209349339932,4082.79030803598,212479734,4040.1391552292234,4116.757248878555,,100743445.4,2.109117205157647,0.019390075776346327,1.8294706731282937,True,False,False,False,False,False,0,0,0.0,0.0,0.0,0.019390075776346327,1.0,0.9862125434243052
2021-05-18,4100.5243289187065,4100.5243289187065,4085.739619644349,4085.739619644349,28483186,4046.5419912215775,4104.500842626275,,99642783.55,0.28585297384538993,0.000722376459688423,-0.865948693252788,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.000722376459688423,1.0,0.9869249601499244
2021-05-19,4045.0745850656754,4077.4633039825085,4043.275923610196,4046.8393784972623,118734761,4049.210418405773,4093.891260938947,,96127679.6,1.235177645960779,-0.009520979007094255,3.1685912875055484,False,True,False,False,False,False,0,0,-0.0,0.0,0.0,-0.009520979007094255,1.0,0.9775284683227596
2021-05-20,4076.1449662283317,4106.291953000388,4051.1008823548364,4083.066858232047,111093159,4060.7133376194324,4088.3104601297687,,93048634.7,1.1939257288210376,0.00895204290224072,-0.06435859166802893,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.00895204290224072,1.0,0.9862793451093467
2021-05-21,4032.209230573747,4058.23119590999,4014.490002846421,4037.474815504076,137622266,4067.182195982743,4081.344603090244,,96734088.9,1.4226863307956374,-0.011166126911698937,0.2388005457653788,False,True,False,False,False,False,0,0,-0.0,0.0,0.0,-0.011166126911698937,1.0,0.9752664247714684
2021-05-24,4040.1618401397373,4055.464169874023,4027.389201572882,4048.9856572194008,53186993,4060.4212658194274,4076.75242435358,,93942393.0,0.566166043907355,0.0028510002517223576,-0.6135291581378264,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0028510002517223576,1.0,0.9780469095939882
2021-05-25,3967.431595024272,3973.6683621565776,3932.2829154754113,3973.6683621565776,213764786,4038.0070143218727,4067.540965730441,,101369037.0,2.1087779101620545,-0.018601521822763534,3.0191177192513967,False,True,False,False,False,False,0,0,-0.0,0.0,0.0,-0.018601521822763534,1.0,0.9598537486614892
2021-05-26,3920.6149093774143,3945.4017136801576,3895.7107604459734,3923.5223029539,153862590,4013.3435992132,4057.416038670587,,104104396.65,1.4779643795188355,-0.01261958840859645,-0.2802248074666517,False,False,False,True,False,False,0,0,-0.0,0.0,0.0,-0.01261958840859645,1.0,0.9477407894209329
2021-05-27,3923.228900336058,3934.288713254613,3900.1817672372053,3934.288713254613,56527160,3983.587970217713,4050.434632825169,,99323834.0,0.569119794550017,0.0027440675671976944,-0.6326127098211463,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0027440675671976944,1.0,0.9503414541832932
2021-05-28,3966.7525701079658,4021.846055401222,3946.5480244850423,3966.6286658456515,109818690,3969.4187402860284,4041.9224261159643,,96072192.35,1.1430850833498234,0.00822002525693799,0.9427597282439097,True,False,False,False,False,False,0,0,0.0,0.0,0.0,0.00822002525693799,1.0,0.958153284939395
2021-05-31,3983.3680673750328,3999.463623087986,3949.578214503366,3976.1928113505205,42694185,3954.8601711122524,4034.1264815798263,,96899606.1,0.44060225545127374,0.0024111522178065226,-0.6112302468732782,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0024111522178065226,1.0,0.9604635383573752
2021-06-01,3966.968083354379,3974.5677981493814,3929.9306337823505,3974.183262188956,19509340,3954.963151118728,4025.8846048533887,,96096352.1,0.2030185285253924,-0.0005053953007077006,-0.5430445621575866,False,False,False,True,False,False,0,0,-0.0,0.0,0.0,-0.0005053953007077006,1.0,0.9599781245985883
2021-06-02,3976.708247290066,3976.708247290066,3964.661354772088,3964.661354772088,52509394,3963.1909614823658,4019.8089248803562,,91146627.15,0.5760980481876229,-0.002395940697415999,1.6915002762779263,False,True,False,False,False,False,0,0,-0.0,0.0,0.0,-0.002395940697415999,1.0,0.9576780739412335
