date,open,high,low,close,volume,k,d,j,ma,kdj_momentum,signal,position,strategy_returns,stop_loss_level,take_profit_level,returns,cumulative_returns,benchmark_returns
2021-04-02,4144.310726594072,4170.856852569921,4139.868566120449,4139.868566120449,4187436,0.0,0.0,0.0,,0.0,0,0,,0.0,0.0,,,
2021-04-05,4133.245271007885,4179.502160740869,4110.770575653562,4140.6858182686265,2950500,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.00019741016776841924,1.0,1.0001974101677684
2021-04-06,4173.156138781544,4199.033454941253,4129.125804989392,4172.92094329796,1893061,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.007784972452416605,1.0,1.007983919452903
2021-04-07,4240.069351290876,4240.146683057623,4225.479066644195,4240.146683057623,2223045,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.01610999601313634,1.0,1.0242225363765949
2021-04-08,4246.261271782912,4246.261271782912,4222.49574290777,4237.059264048919,1647601,0.0,0.0,0.0,,0.0,0,0,-0.0,0.0,0.0,-0.0007281396705071108,1.0,1.0234767593164316
2021-04-09,4237.963579487054,4246.5076653740225,4232.849829138186,4233.943888123444,3904936,0.0,0.0,0.0,,0.0,0,0,-0.0,0.0,0.0,-0.0007352684329694492,1.0,1.0227242291634284
2021-04-12,4303.11571582209,4329.1251603844885,4303.11571582209,4303.331114402624,2936983,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.016388319758751768,1.0,1.0394849608559815
2021-04-13,4347.311624075353,4367.737403919437,4325.903052202767,4340.213064124973,2404568,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.00857055818895991,1.0,1.0483939271995464
2021-04-14,4339.614217620929,4339.614217620929,4327.581744001926,4327.581744001926,1760956,50.0,50.0,50.0,,0.0,0,0,-0.0,0.0,0.0,-0.0029102995489908023,1.0,1.0453427868260528
2021-04-15,4360.251122822753,4370.243948044833,4347.209132321713,4355.392157555377,4554382,64.75872644752405,54.91957548250801,84.43702837755615,,29.517452895048137,0,0,0.0,0.0,0.0,0.0064263173288399145,1.0,1.0520604912916107
2021-04-16,4343.011016585071,4365.8795222274375,4322.369817172112,4342.921095362851,4103577,72.72857488866498,60.85590861789366,96.47390743020762,,35.61799881231396,0,0,-0.0,0.0,0.0,-0.0028633614933829543,1.0,1.0490480617921367
2021-04-19,4318.951157119118,4374.82424401137,4282.42859006971,4330.312478733118,3928583,72.07874854733683,64.59685526104138,87.04253511992772,,22.445679858886336,0,0,-0.0,0.0,0.0,-0.0029032571287550546,1.0,1.0460024055283321
2021-04-20,4336.705893225994,4374.310474927801,4327.218348870967,4345.963784037212,4688498,75.07043291237724,68.08804781148666,89.0352031141584,,20.947155302671746,0,0,0.0,0.0,0.0,0.0036143593287920606,1.0,1.0497830340806924
2021-04-21,4272.745074872584,4305.048514791416,4255.338029910899,4275.3549627816365,1163543,60.02648425822538,65.40085996039957,49.27773285387701,,-16.12312710652256,0,0,-0.0,0.0,0.0,-0.016246987955795267,1.0,1.0327272217697852
2021-04-22,4207.092758849774,4226.629733916789,4207.092758849774,4212.227567050552,4979439,41.03809829841157,57.279939406403564,8.55441608242758,,-48.725523323975985,0,0,-0.0,0.0,0.0,-0.014765416270842713,1.0,1.0174785744461234
2021-04-23,4193.980795993409,4237.724597003164,4192.664906835643,4195.549690778259,1371557,27.88661875279422,47.48216585520044,-11.304475452018224,,-58.786641307218666,0,0,-0.0,0.0,0.0,-0.003959395831971024,1.0,1.0134499740193417
2021-04-26,4161.2631984418085,4181.798845070703,4123.7738592715,4160.791781357956,1499964,23.50615124656572,39.490160985655535,-8.461868231613906,,-47.95202921726944,0,0,-0.0,0.0,0.0,-0.00828447092325002,1.0,1.00505407717741
2021-04-27,4183.483381647976,4183.483381647976,4170.118285436652,4179.056150122436,3151365,23.010899759502863,33.99707391027131,1.0385514579659656,,-32.958522452305345,0,0,0.0,0.0,0.0,0.004389637771904598,1.0,1.0094659005173945
2021-04-28,4147.781350612392,4189.919822069945,4147.781350612392,4148.366260116952,3997493,18.605867469900534,28.86667176348105,-1.9157411172604952,,-30.782412880741546,0,0,-0.0,0.0,0.0,-0.007343737174860587,1.0,1.0020526482570107
2021-04-29,4101.426091412179,4124.029668716746,4097.4392695319675,4097.4392695319675,1799458,12.403911646600356,23.37908505785415,-9.546435175907234,,-32.92552023376139,0,0,-0.0,0.0,0.0,-0.012276396873295514,1.0,0.9897510522590708
2021-04-30,4162.098608546697,4164.82789017101,4161.561979999983,4161.561979999983,4384425,15.989194887263801,20.915788334324034,6.136007993143338,,-14.779780341180697,0,0,0.0,0.0,0.0,0.015649459638077845,1.0,1.0052401214031441
2021-05-03,4141.5290306346615,4160.462155280896,4141.5290306346615,4157.9568400784965,3444480,20.376045720724747,20.735874129790936,19.65638890259237,,-1.0794852271985675,0,0,-0.0,0.0,0.0,-0.0008662949005235898,1.0,1.0043692870121708
2021-05-04,4158.184054248189,4184.686332893387,4154.764179302084,4166.010616694761,1005435,29.877335085431387,23.783027781671088,42.06594969295199,,18.2829219112809,0,0,0.0,0.0,0.0,0.0019369553186878719,1.0,1.0063147054445758
2021-05-05,4113.112054980144,4136.168986929334,4109.942956037588,4114.297693176386,1139565,23.923969856747753,23.830008473363307,24.11189262351664,,0.28188415015333135,0,0,-0.0,0.0,0.0,-0.012413056104836007,1.0,0.9938232645467707
2021-05-06,4087.807415362688,4114.056807324119,4087.807415362688,4097.721399431728,4349027,19.18561082684145,22.281875924522687,12.993080631478975,,-9.288795293043712,0,0,-0.0,0.0,0.0,-0.00402894855473146,1.0,0.9898192017414165
2021-05-07,4112.205170365523,4125.992009266989,4067.5847624087883,4107.277023388755,3942905,23.60558456495683,22.723112138000733,25.37052941886902,,2.647417280868286,0,0,0.0,0.0,0.0,0.0023319359774804926,1.0,0.9921273967491583
2021-05-10,4078.7223419089623,4113.034716921804,4046.9700394153188,4066.2734390063706,1920267,20.238264011137467,21.89482942904631,16.92513317531978,,-4.969696253726532,0,0,-0.0,0.0,0.0,-0.009983155299457702,1.0,0.9822228348705647
2021-05-11,4096.213068635257,4120.4044695979,4058.209416757293,4086.2527307460023,4428261,23.000296007507963,22.263318288533526,24.474251445456844,,2.2109331569233177,0,0,0.0,0.0,0.0,0.004913415696046641,1.0,0.9870489039644332
2021-05-12,4065.3553990379155,4083.1695192353804,4062.6005599861105,4067.0915824453023,3128650,20.203819321331757,21.5768186327996,17.45782069839607,,-4.118997934403531,0,0,-0.0,0.0,0.0,-0.004689173568860894,1.0,0.9824204603327901
2021-05-13,4072.3044092868486,4091.489258704365,4060.199119390667,4060.199119390667,4995915,16.67122566655603,19.941620977385078,10.130435044897936,,-9.811185932487142,0,0,-0.0,0.0,0.0,-0.0016946908902629731,1.0,0.9807555613282561
