日期,开盘,收盘,最高,最低,成交量,成交额,ma,ma_slope,price_above_ma,price_below_ma,signal,returns,strategy_returns,cum_returns,benchmark_returns
2023-04-03 08:55:06.768514,3965.760904770152,3978.534950458683,3976.3013315149497,3975.7606836181494,1111166,1259416.3784655572,,,False,False,0,,0.0,1.0,
2023-04-04 08:55:06.768514,3989.5955782483775,3983.6726522152335,3945.886198189342,4005.3690878495368,2213055,483357.32778747444,,,False,False,0,0.0012913551899194076,0.0,1.0,1.0012913551899194
2023-04-05 08:55:06.768514,3978.959690822841,3977.1574117099194,3928.330284096282,3978.1729699723433,4881374,880151.6963790051,,,False,False,0,-0.001635485913153767,-0.0,1.0,0.9996537572835437
2023-04-06 08:55:06.768514,3991.7869601756215,3991.975814002876,3997.0667216453785,3939.335501089737,4773377,723182.346488947,,,False,False,0,0.003725877746082462,0.0,1.0,1.003378344971594
2023-04-07 08:55:06.768514,3973.830633221555,3971.7297673236,3983.429471323126,3945.377007076937,4244322,616494.2775218296,,,False,False,0,-0.00507168570717742,-0.0,1.0,0.9982895253605103
2023-04-10 08:55:06.768514,3983.3693588401466,3982.0989232854563,3979.118787025048,3974.9962319283686,1748755,489915.24127245566,,,False,False,0,0.00261074055117394,0.0,1.0,1.0008958003061812
2023-04-11 08:55:06.768514,3968.525806899763,3979.960672164376,3973.3104429767814,3961.0100781510473,1135678,1666197.7995274651,,,False,False,0,-0.000536965846975046,-0.0,1.0,1.000358353445036
2023-04-12 08:55:06.768514,3972.061197097204,3964.327342714707,3952.04418453338,3967.636313817061,4925411,1707611.4062085066,,,False,False,0,-0.0039280110376486155,-0.0,1.0,0.9964289347910998
2023-04-13 08:55:06.768514,3980.808913389135,3964.0446023515738,3956.6093574543797,3970.0705579230917,1644742,592764.2024215631,,,False,False,0,-7.132114446928295e-05,-0.0,1.0,0.9963578683390882
2023-04-14 08:55:06.768514,3965.849679984048,3957.525265330186,3982.491370027361,3945.2270874771293,1337046,878310.9952458956,,,False,False,0,-0.0016446174741627795,-0.0,1.0,0.9947192407782982
2023-04-17 08:55:06.768514,3952.540877849664,3963.4090636239057,3965.9993511790367,3972.7002113493722,3313753,669935.8267061615,,,False,False,0,0.0014867367607895865,0.0,1.0,0.996198126440228
2023-04-18 08:55:06.768514,3973.669731107359,3973.189302497235,3946.385537834531,3984.6539725172092,3089623,477409.68557160225,,,False,False,0,0.0024676329685704435,0.0,1.0,0.99865637778026
2023-04-19 08:55:06.768514,3940.0102301794323,3948.4989041659555,3977.5606690670625,3966.566593288275,2946670,1145998.5021989625,,,False,False,0,-0.006214251688375638,-0.0,1.0,0.9924504756985318
2023-04-20 08:55:06.768514,3969.193942445197,3962.9804511282696,3959.8984481091447,3947.5186260883397,2540899,1300883.2073108244,,,False,False,0,0.003667608200938144,0.0,1.0,0.9960903952022288
2023-04-21 08:55:06.768514,3970.6079764120996,3971.5413511373017,4001.398644980019,3986.210066549192,1146615,397782.83010961517,,,False,False,0,0.002160217572255485,0.0,1.0,0.9982421671774995
2023-04-24 08:55:06.768514,4009.930498563286,3994.1933466309347,4018.707215243347,4017.7396600627735,3557507,810161.4086252163,,,False,False,0,0.0057035779036131995,0.0,1.0,1.003935719144668
2023-04-25 08:55:06.768514,4035.371422461067,4023.3597657584196,4024.9314452803046,3995.0281253323674,3105343,931747.3573373042,,,False,False,0,0.007302205125369499,0.0,1.0,1.0112666636985477
2023-04-26 08:55:06.768514,4010.029475354368,4008.8694802882,4027.4470743079655,4022.1791940503854,2138818,1332404.6977204033,,,False,False,0,-0.003601538593078879,-0.0,1.0,1.0076245477813432
2023-04-27 08:55:06.768514,4013.7180823203994,3998.2213206982137,4008.4081556260007,4027.067030829307,1109548,792399.0872844055,,,False,False,0,-0.002656150229470855,-0.0,1.0,1.0049481456075333
2023-04-28 08:55:06.768514,3995.1162291863134,4006.0767314566897,4012.534727440023,3987.14812863162,2383169,1750050.2134524502,3980.0683559470867,,True,False,0,0.001964726344139578,0.0,1.0,1.0069225937037027
2023-05-01 08:55:06.768514,3992.298965513854,3986.7304587982435,4005.5921817008007,3977.8436512809144,3130258,671691.9224861998,3980.4781313640647,,True,False,0,-0.004829231678598278,-0.0,1.0,1.0020599312162926
2023-05-02 08:55:06.768514,3997.4601245101658,3995.1235664016303,4019.921702104044,3997.024657273282,1860325,1397105.0984919227,3981.0506770733846,,True,False,0,0.002105260862284908,0.0,1.0,1.004169528771146
2023-05-03 08:55:06.768514,3995.5061621930186,4002.7889450202465,4032.259170077073,3991.7584846028903,2440227,487157.0268803221,3982.332253738901,,True,False,0,0.0019186837381153232,0.0,1.0,1.0060962125163102
2023-05-04 08:55:06.768514,3986.221892534418,3986.800681755239,3980.2167152719403,3988.528242157812,4095956,926064.0293598115,3982.073497126519,,True,False,0,-0.00399428085882414,-0.0,1.0,1.002077581672521
2023-05-05 08:55:06.768514,4007.693246531142,4010.3913041771193,3961.497731328063,4019.3179106368275,4238367,806398.6553874139,3984.0065739691954,,True,False,0,0.005917181295227003,0.0,1.0,1.00800705639516
2023-05-08 08:55:06.768514,4021.7879854202897,4025.738496419718,4034.0112168467876,4015.1729574520105,3402834,1032942.0992346052,3986.188552625908,,True,False,0,0.0038268565530286125,0.0,1.0,1.011864554804425
2023-05-09 08:55:06.768514,4031.237371756289,4035.598441466503,4023.0094612276057,4049.756581536965,2395353,1838217.511447057,3988.970441091014,,True,False,0,0.002449226410397465,0.0,1.0,1.014342840195797
2023-05-10 08:55:06.768514,4052.565711467431,4053.195867541052,4060.9463467923306,4066.622697804177,1592106,775673.0633981072,3993.4138673323314,,True,False,0,0.0043605493286280606,0.0,1.0,1.0187659321866114
2023-05-11 08:55:06.768514,4079.8886140466075,4072.6067059759544,4071.221547269975,4047.97126593152,1814739,1600885.494146605,3998.841972513551,,True,False,0,0.004789020582584902,0.0,1.0,1.0236448232046893
2023-05-12 08:55:06.768514,4043.2363399967967,4060.853647485574,4053.4824550323883,4073.8857455456005,2870811,574966.9279840932,4004.0083916213202,2.3940035674233515,True,False,1,-0.00288588104349341,-0.00288588104349341,0.9971141189565066,1.0206907060141328
2023-05-15 08:55:06.768514,4048.331566137986,4050.9022286577647,4032.884905063019,4050.260516101852,2991257,853490.6669092474,4008.383049873013,2.790491850894841,True,False,1,-0.0024505731286256216,-0.0024505731286256216,0.9946706178904186,1.0181894287973368
2023-05-16 08:55:06.768514,4057.726685148451,4059.874615600491,4010.9723782736646,4075.3605432299664,2670788,1185558.0894482704,4012.7173155281766,3.1666638454792064,True,False,1,0.0022149107621634023,0.0022149107621634023,0.9968737245467918,1.020444627521101
2023-05-17 08:55:06.768514,4052.115007659089,4057.293289063409,4080.1655551466733,4036.634944583601,2549794,1896862.5126682937,4018.1570347730494,3.58247810341486,True,False,1,-0.0006358143493306878,-0.0006358143493306878,0.9962398979282542,1.0197958141842256
2023-05-18 08:55:06.768514,4094.223695888547,4088.6652171535648,4079.6766000391,4088.565852868777,3260691,1212779.4678455687,4024.4412730743134,4.236777594779414,True,False,1,0.00773223078911256,0.00773223078911256,1.0039430547403574,1.027681110777269
2023-05-19 08:55:06.768514,4087.86102637243,4080.246433305047,4061.5289595322,4095.9845972799285,4726406,1857312.6715040107,4029.8765271827006,4.586995321350514,True,False,1,-0.002059054337145927,-0.002059054337145927,1.0018758814392468,1.02556505952892
2023-05-22 08:55:06.768514,4054.2456279983726,4056.552291934635,4039.3490298760325,4072.3796171224812,2446608,707030.6968943094,4032.994474447886,4.680592182197825,True,False,1,-0.0058070368439044895,-0.0058070368439044895,0.9960579512827098,1.0196095654424144
