日期,开盘,收盘,最高,最低,成交量,成交额,fast_ma,slow_ma,ma_diff,signal,returns,strategy_returns,cum_returns,benchmark_returns
2023-04-03 17:52:58.527861,3985.1932766709797,3994.2547052279574,3977.552968345554,4049.654261077332,4228557,1210573.1241039021,,,,0,,0.0,1.0,
2023-04-04 17:52:58.527861,3968.7775539587633,3981.5143273858785,3995.364654029514,3963.1315070671267,3092071,891253.2228538085,,,,0,-0.003189675867541264,-0.0,1.0,0.9968103241324587
2023-04-05 17:52:58.527861,3989.6506007779694,3985.7480030728184,4008.540927441437,3976.262251571714,2025115,1288718.2790303393,,,,0,0.0010633330282951992,0.0,1.0,0.9978702654730545
2023-04-06 17:52:58.527861,3994.873378087981,3995.269974870849,4009.7612171179567,4002.601705669315,3939189,555630.1859452388,,,,0,0.0023890049723891416,0.0,1.0,1.000254182499069
2023-04-07 17:52:58.527861,3981.957961784868,3975.9750851104473,3953.264769271282,3952.511638155497,4109251,1747728.5129046952,3986.55241913359,,,0,-0.004829433275288397,-0.0,1.0,0.9954235216663615
2023-04-10 17:52:58.527861,3987.2969409266593,3979.7874626867615,4003.726829990868,3974.490698344775,1201534,1128190.9458799358,3983.658970625351,,,0,0.0009588534874354071,0.0,1.0,0.9963779869815865
2023-04-11 17:52:58.527861,3987.833823960609,3995.7581006941114,3981.8514978431676,3995.6378939416504,2529305,1534860.9906096838,3986.5077252869974,,,0,0.004012937413639728,0.0,1.0,1.000376389483672
2023-04-12 17:52:58.527861,4005.8559716553304,4013.4814541468436,4038.310450166959,4005.571779066789,4536832,1126806.1897034333,3992.0544155018024,,,0,0.004435542143968574,0.0,1.0,1.0048136011190578
2023-04-13 17:52:58.527861,4009.4561181378303,4014.6012573387097,4024.936899081794,4017.797515845645,4584686,1944581.3161462035,3995.920671995375,,,0,0.0002790104313823427,0.0,1.0,1.005093954595365
2023-04-14 17:52:58.527861,4015.9607893944,4013.5472094223096,4031.324075831144,4022.713269069114,4268478,424357.965418314,4003.435096857747,,,0,-0.00026255357601789875,-0.0,1.0,1.004830063583352
2023-04-17 17:52:58.527861,4022.100618918804,4031.3136839562208,4009.0315572673494,4045.0825988277193,3848818,929505.6399489433,4013.7403411116393,,,0,0.0044266265243380065,0.0,1.0,1.0092780709952622
2023-04-18 17:52:58.527861,4017.8068938374618,4023.1759165354865,4022.517199003443,4022.5915585512653,4440526,1059625.2798498916,4019.223904279914,,,0,-0.002018639098495534,-0.0,1.0,1.007240702819897
2023-04-19 17:52:58.527861,4075.827853721127,4054.4690143027224,4033.8746399803936,4070.8181949773493,3670831,1387947.3216618837,4027.4214163110896,,,0,0.007778207668876602,0.0,1.0,1.0150752301789754
2023-04-20 17:52:58.527861,4048.6278181436205,4059.0834616957773,4089.6889054429334,4080.0153295436453,2607318,1882045.1914668644,4036.3178571825033,,,0,0.0011381138631907373,0.0,1.0,1.0162305013706237
2023-04-21 17:52:58.527861,4072.1170790437727,4065.2355438657564,4074.714659210513,4061.2947241247653,2718917,1564398.5768383783,4046.6555240711923,,,0,0.0015156333265955446,0.0,1.0,1.0177707341860038
2023-04-24 17:52:58.527861,4069.6930905970557,4062.972656008226,4066.0209303330353,4088.875185661707,1458864,743759.6484635539,4052.987318481594,,,0,-0.000556643725342143,-0.0,1.0,1.0172041984929823
2023-04-25 17:52:58.527861,4061.7964648370307,4063.5138624175297,4025.760043957932,4070.840893734338,3485330,852231.416282945,4061.054907658002,,,0,0.0001332045413851013,0.0,1.0,1.0173396947117375
2023-04-26 17:52:58.527861,4058.3960015664425,4048.459207146573,4024.6104723292074,4049.196463044894,2359782,1130292.9696565382,4059.8529462267725,,,0,-0.003704836695696656,-0.0,1.0,1.0135706172787806
2023-04-27 17:52:58.527861,4056.2162957384758,4043.8739188075033,4033.2321869019866,4062.2233548178006,1743255,1685618.4796487205,4056.811037649118,,,0,-0.0011326008499666917,-0.0,1.0,1.0124226463361494
2023-04-28 17:52:58.527861,4041.01284349774,4037.2690999821934,4018.145976059931,4029.463335685192,2136724,548966.8584162587,4051.2177488724046,,,0,-0.001633289998135612,-0.0,1.0,1.0107690665540026
2023-05-01 17:52:58.527861,4057.291882084191,4048.9767520589144,4068.510349864949,4064.302400094848,4616210,2023743.7692047535,4048.418568082543,,,0,0.002899893910161433,0.0,1.0,1.013700189614682
