日期,开盘,收盘,最高,最低,成交量,成交额,fast_ma,medium_ma,slow_ma,volume_ma,volume_ratio,high_50,fast_medium_diff,medium_slow_diff,price_above_medium,price_above_slow,volume_above_ma,price_break_high,signal,returns,strategy_returns,cum_returns,benchmark_returns
2023-04-03 08:49:40.545902,3999.9586180141664,4005.8631250450326,3989.970935527481,4030.296208162185,4312698,1764700.0783719006,,,,,,,,,False,False,False,False,0,,0.0,1.0,
2023-04-04 08:49:40.545902,4014.497036847927,4012.646011166263,4009.474854547187,3988.2646512987317,2375745,1480184.8605990112,,,,,,,,,False,False,False,False,-1,0.0016932396114144321,0.0,1.0,1.0016932396114144
2023-04-05 08:49:40.545902,4012.699025007602,4006.476736906095,4029.787898006876,3991.7361992438873,1075884,1454159.946556562,,,,,,,,,False,False,False,False,-1,-0.0015374578876383715,-0.0,1.0,1.0001531784391797
2023-04-06 08:49:40.545902,4007.4054863506312,4008.635450677677,4025.3319333043873,4005.181002888505,4430844,1852590.8735306885,,,,,,,,,False,False,False,False,-1,0.0005388060166919839,0.0,1.0,1.0006920669893364
2023-04-07 08:49:40.545902,3977.517501376881,3987.5023367903545,3990.910166416526,3970.185785580294,4423883,943214.9677509335,4004.2247321170844,,,,,,,,False,False,False,False,-1,-0.0052718971698336725,-0.0,1.0,0.9954165213135003
2023-04-10 08:49:40.545902,3992.8237484339415,4007.766674032761,3982.892388156556,3998.786194848962,4858954,976425.4204246257,4004.60544191463,,,,,,,,False,False,False,False,-1,0.005081962474464019,0.0,1.0,1.000475190721277
2023-04-11 08:49:40.545902,4005.556448754308,4008.633790686699,4036.6048905005914,4018.3620297917455,3755064,1817782.3374345673,4003.8029978187174,,,,,,,,False,False,False,False,-1,0.0002163590658996739,0.0,1.0,1.0006916525989973
2023-04-12 08:49:40.545902,3992.44411248599,3998.4066693737727,4012.3083487781664,3989.7014532877433,1316735,710344.9336609363,4002.188984312253,,,,,,,,False,False,False,False,-1,-0.002551273537804044,-0.0,1.0,0.9981386144662201
2023-04-13 08:49:40.545902,3996.020883813355,4003.2073062306235,4028.2627096536316,3961.169387983827,1919369,1535491.8116972717,4001.1033554228425,,,,,,,,False,False,False,False,-1,0.0012006374673245723,0.0,1.0,0.9993370170843316
2023-04-14 08:49:40.545902,4011.8753599016995,4006.3947156367185,3994.804801137783,3995.3902361893925,2108667,993180.8429721554,4004.8818311921145,,,,,,,,False,False,False,False,-1,0.000796213926052225,0.0,1.0,1.0001327031341536
2023-04-17 08:49:40.545902,4033.363504563645,4021.4102855404317,4011.264772709483,4043.8841977994944,3201049,1687582.011339842,4007.610553493649,,,,,,,,False,False,False,False,-1,0.0037479007859879676,0.0,1.0,1.0038811012783224
2023-04-18 08:49:40.545902,4009.047460961616,4008.7488725392245,4009.37897241216,4029.1155499978477,4253230,1254654.213378454,4007.6335698641537,,,,,,,,False,False,False,False,-1,-0.003148500675679178,-0.0,1.0,1.0007203809526461
2023-04-19 08:49:40.545902,3986.823869745361,3985.482049319031,3968.631933299746,4009.414668854589,4281396,672281.8728806673,4005.0486458532055,,,,,,,,False,False,False,False,-1,-0.005804011166570255,-0.0,1.0,0.9949121886869825
2023-04-20 08:49:40.545902,3992.0771577296046,3988.9346134921284,4014.349138228788,3974.6624050501478,4577277,571005.6186914031,4002.194107305507,,,,,,,,False,False,False,False,-1,0.0008662852147802713,0.0,1.0,0.9957740664060467
2023-04-21 08:49:40.545902,3970.003541047637,3965.1728967052704,3962.294091746506,3992.5386385408992,2640473,1165065.3403052674,3993.949743519217,,,,,,,,False,False,False,False,-1,-0.0059569080692590815,-0.0,1.0,0.9898423318347136
2023-04-24 08:49:40.545902,3954.642478178253,3971.059614341038,3956.505516973268,3981.909201866996,2029946,1036743.1974962023,3983.879609279338,,,,,,,,False,False,False,False,-1,0.0014846055365351774,0.0,1.0,0.9913118572408524
2023-04-25 08:49:40.545902,3968.9123065783183,3970.8318792915393,3951.316148430235,3990.7639980613944,3398936,410820.280815563,3976.2962106298014,,,,,,,,False,False,False,False,-1,-5.7348685644553754e-05,-0.0,1.0,0.9912550068087758
2023-04-26 08:49:40.545902,3966.584360418074,3971.2497275890996,3948.1171621804697,3981.4885622391903,4161203,520690.010907872,3973.4497462838153,,,,,,,,False,False,False,False,-1,0.00010522941042645506,0.0,1.0,0.9913593159887245
2023-04-27 08:49:40.545902,3994.5598692784765,3987.2557581200685,3998.0557575160674,3974.9594093528785,3754199,785030.8499374697,3973.113975209403,,,,,,,,False,False,False,False,-1,0.004030476960381391,0.0,1.0,0.9953549668712766
2023-04-28 08:49:40.545902,3974.0370354843203,3989.268056222921,3980.1282358977373,4007.212906812813,2016794,1632926.2956001172,3977.9330071129334,3995.2473284853377,,3244617.3,0.62158147279804,,-17.314321372404265,,False,False,False,False,-1,0.0005046824745953415,0.0,1.0,0.9958573050790579
2023-05-01 08:49:40.545902,3956.4974803697523,3956.090051703259,3982.460243311382,3985.6369420732044,3399898,1014688.8339632552,3974.9390945853775,3992.758674818249,,3198977.3,1.0628077917276875,,-17.81958023287143,,False,False,True,False,-1,-0.008316815027735958,-0.0,1.0,0.9875749440786957
2023-05-02 08:49:40.545902,3956.3529870588827,3957.270381234483,3992.1083176045213,3987.8053459033017,3584815,738204.6502699673,3972.2267949739667,3989.9898933216596,,3259430.8,1.0998285344790877,,-17.763098347692903,,False,False,True,False,-1,0.0002983575994979226,0.0,1.0,0.9878695945683353
2023-05-03 08:49:40.545902,3961.9254902321895,3952.8589385880887,3981.9779980146286,3964.3112190949396,2945551,467355.60388482845,3968.5486371737643,3987.3090034057595,,3352914.15,0.8785047478773055,,-18.76036623199525,,False,False,False,False,-1,-0.0011147690760059392,-0.0,1.0,0.986768348093184
2023-05-04 08:49:40.545902,3957.7232371288687,3961.1469336715,3945.2428865257953,3953.075498323917,2177981,1829080.986816257,3963.3268722840503,3984.9345775554502,,3240271.0,0.6721601372230903,,-21.607705271399936,,False,False,False,False,-1,0.0020967090432959523,0.0,1.0,0.9888373142122692
2023-05-05 08:49:40.545902,3957.0233151595767,3946.02431869551,3974.359759017682,3954.3659731959274,3598709,1759902.7753898534,3954.678124778568,3982.8606766507087,,3199012.3,1.1249437834296543,,-28.18255187214072,,False,False,True,False,-1,-0.0038177364357381283,-0.0,1.0,0.9850621939687836
2023-05-08 08:49:40.545902,3961.7973818716155,3972.1198522745153,3989.9498339821816,3966.379856383143,4566389,767019.5211700908,3957.8840848928194,3981.0783355627964,,3184384.05,1.4339944329265184,,-23.19425066997701,,False,False,True,False,-1,0.006613120313367027,0.0,1.0,0.9915765287736484
2023-05-09 08:49:40.545902,3989.772318894223,3991.0237701461947,4018.6946808955704,3984.6259085783663,2982982,450580.5971138501,3964.6347626751617,3980.19783453577,,3145779.95,0.9482487800839343,,-15.563071860608488,,True,False,False,False,0,0.004759150925633504,0.0,1.0,0.996295591128398
2023-05-10 08:49:40.545902,3966.7425578498646,3983.349433958025,3985.956988572798,3923.0954454706375,2685636,1825281.0494188878,3970.732861749149,3979.4449727649835,,3214225.0,0.8355469825541149,,-8.71211101583458,,True,False,False,False,0,-0.0019228991432161946,-0.0,1.0,0.9943798151898272
2023-05-11 08:49:40.545902,3989.6382824800367,3983.679352624473,3991.762810403652,3992.514269991797,3960567,1270514.4575645877,3975.239345539743,3978.4685750846766,,3316284.9,1.1942782720507517,,-3.2292295449333324,,True,False,True,False,0,8.282443504326054e-05,0.0,1.0,0.9944621741362387
2023-05-12 08:49:40.545902,3985.064413702998,3979.251088843905,3966.599036003705,3987.164488660888,1408618,1342461.6352882595,3981.884699569423,3977.1113937450355,,3281282.45,0.42928885929950955,,4.773305824387535,,True,False,False,False,-1,-0.0011116014590005774,-0.0,1.0,0.993356728532548
2023-05-15 08:49:40.545902,3994.684694445976,3988.245478880458,4003.807007647341,3998.6697052908876,2408036,1405644.7554704328,3985.1098248906114,3975.453153412037,,3241631.8,0.7428468587950057,,9.65667147857448,,True,False,False,False,0,0.002260322315867258,0.0,1.0,0.995602034913667
2023-05-16 08:49:40.545902,3987.3300838384216,3991.5298604872837,3980.1649180362856,3986.0607446687145,4484603,1176329.7948296957,3985.2110429588292,3974.59220280944,,3253200.45,1.3785203429441306,,10.618840149389143,,True,False,True,False,0,0.0008235154090232566,0.0,1.0,0.9964219285306732
2023-05-17 08:49:40.545902,3990.4760731719794,3977.086447651335,3964.058455710371,3996.0418294945757,3291444,1871465.3552710628,3983.958445697491,3974.172422726055,,3203702.85,1.0273874182806935,,9.786022971435614,,True,False,True,False,0,-0.003618515541854217,-0.0,1.0,0.9928163602960407
2023-05-18 08:49:40.545902,3957.8829608568717,3973.261791890246,3982.0560621291766,3970.8188004598233,4409501,902567.7379505051,3981.874933550646,3973.38878164596,,3195314.05,1.3799898635941592,,8.486151904685812,,False,False,True,False,-1,-0.0009616727751411425,-0.0,1.0,0.9918615958316293
2023-05-19 08:49:40.545902,3946.595448265283,3944.756373872354,3952.5392422443906,3975.2759881353772,3987302,811710.9411491647,3974.9759905563355,3972.367955504315,,3262655.5,1.2221032836595835,,2.6080350520205684,,False,False,True,False,-1,-0.007174311563379554,-0.0,1.0,0.9847456717153823
2023-05-22 08:49:40.545902,3968.807772047953,3954.303875770091,3998.0351576439166,3968.1351285204955,4173086,1122056.2642818552,3968.1876699342624,3971.530168575768,,3369812.5,1.2383733516330657,,-3.342498641505699,,False,False,True,False,-1,0.002420302039683353,0.0,1.0,0.9871290536732044
