日期,开盘,收盘,最高,最低,成交量,成交额,ma,price_above_ma,price_below_ma,breakout_signal,signal,returns,strategy_returns,cum_returns,benchmark_returns
2023-04-03 09:03:17.912750,3979.7012311828585,3982.114180226239,3997.0480298821094,3967.8016695266115,2336927,795048.2102302337,,False,False,0,0,,0.0,1.0,
2023-04-04 09:03:17.912750,3999.801611839862,4000.903268752341,4000.7793899435287,3974.1415286505694,1108284,1007702.7052167295,,False,False,0,0,0.00471837011088283,0.0,1.0,1.0047183701108828
2023-04-05 09:03:17.912750,3988.052352923028,3986.535632769257,3972.2749109231486,4000.7313695050457,2226217,1746453.8209421814,,False,False,0,0,-0.003591098064103959,-0.0,1.0,1.001110327917008
2023-04-06 09:03:17.912750,4010.894107748689,4006.343620963938,4013.5569184394094,4026.209091118023,2938943,1360121.608568289,,False,False,0,0,0.004968722223842592,0.0,1.0,1.0060845670518475
2023-04-07 09:03:17.912750,3999.4903698504622,4007.430714610883,4009.222279055993,3988.6163721056964,1343835,1543168.5958040722,,False,False,0,0,0.00027134308731202594,0.0,1.0,1.0063575611443683
2023-04-10 09:03:17.912750,4020.793359580415,4013.0978049173004,3991.127483630349,4018.0006447594415,3717943,893033.4505989053,,False,False,0,0,0.001414145548606749,0.0,1.0,1.0077806972097674
2023-04-11 09:03:17.912750,4017.0879071148247,4019.625347910285,4031.5290636134578,4001.057673676182,1517951,493243.80485418846,,False,False,0,0,0.0016265596579745356,0.0,1.0,1.0094199126359342
2023-04-12 09:03:17.912750,4001.097463494811,4018.2606511001777,4000.6046311041496,3989.4566005478205,2353217,1289125.5236518756,,False,False,0,0,-0.00033950845961727705,-0.0,1.0,1.0090772060362883
2023-04-13 09:03:17.912750,4015.1466184665687,4005.1933921403133,3999.936079482848,3979.8667163820496,2243495,461279.3245308175,,False,False,0,0,-0.0032519689722683154,-0.0,1.0,1.005795718271635
2023-04-14 09:03:17.912750,3977.0777397873644,3988.0321829876602,3957.7146664626434,4033.661334052596,3556884,1209740.0512711527,,False,False,0,0,-0.00428473920543504,-0.0,1.0,1.0014861459248978
2023-04-17 09:03:17.912750,3967.6470255490435,3977.1224767762014,3975.495350896882,3958.70197782041,2897636,557945.7397199612,,False,False,0,0,-0.0027356113769587687,-0.0,1.0,0.9987464690302391
2023-04-18 09:03:17.912750,3959.012462449232,3953.681445609726,3955.952135630142,3933.96571239017,1719600,547911.849672499,,False,False,0,0,-0.005893967636992792,-0.0,1.0,0.992859889664214
2023-04-19 09:03:17.912750,3930.9147094612313,3924.675775891912,3931.7414125855557,3925.65034759635,3205430,869776.8337637258,,False,False,0,0,-0.007336369941999932,-0.0,1.0,0.9855759022130641
2023-04-20 09:03:17.912750,3926.931840966229,3919.429020822084,3919.357945688405,3930.722594264338,4349573,677216.5836482334,,False,False,0,0,-0.001336863315450687,-0.0,1.0,0.9842583219448032
2023-04-21 09:03:17.912750,3899.75061071631,3913.205639315964,3914.4765281953737,3895.7587219142483,4745516,929018.4980074457,,False,False,0,0,-0.0015878286028546684,-0.0,1.0,0.9826954884286215
2023-04-24 09:03:17.912750,3930.6789885152243,3928.292007557563,3936.6548135835847,3920.2343622610306,4808714,522265.24391717574,,False,False,0,0,0.0038552454514595436,0.0,1.0,0.9864840207405557
2023-04-25 09:03:17.912750,3956.7126620548092,3963.527503744942,3980.8931953878127,3950.830932768759,4907507,678168.2756512678,,False,False,0,0,0.008969673364299213,0.0,1.0,0.9953324601856991
2023-04-26 09:03:17.912750,3946.5229561503356,3948.461337461452,3935.3387513519892,3962.821583293104,2050529,591994.7825562642,,False,False,0,0,-0.003801201396799847,-0.0,1.0,0.991549001047761
2023-04-27 09:03:17.912750,3975.9724105565338,3969.6966797611353,3980.6486954077754,3981.2902473888466,2987881,1423975.8505421365,,False,False,0,0,0.005378130994524666,0.0,1.0,0.9968816814628859
2023-04-28 09:03:17.912750,3979.799057894666,3978.9677748048784,3937.7954455896856,3973.113884145742,2928237,862497.7665313596,3975.229822906213,True,False,1,1,0.002335466860984736,0.002335466860984736,1.0023354668609847,0.9992098655942653
2023-05-01 09:03:17.912750,3975.693047984485,3968.3542348091155,3972.1019993806603,3956.943205655004,2210524,1753467.7167491897,3974.5418256353564,False,True,0,-1,-0.0026674103929588133,-0.0,1.0023354668609847,0.9965445628140321
2023-05-02 09:03:17.912750,3985.1888484309766,3986.5830963668177,3981.6895201249904,3962.434687871421,3768316,528419.9947901831,3973.82581701608,True,False,1,1,0.004593557046345342,0.004593557046345342,1.0069397520075858,1.0011222471125436
2023-05-03 09:03:17.912750,3980.89628453016,3992.057268064307,3966.390068173341,3972.2032528781733,1196211,1430935.7618913983,3974.1018987808325,True,False,0,0,0.0013731487755712646,0.0013731487755712646,1.008322430095129,1.0024969369003633
