日期,收盘,ma,price_above_ma,rsi,rsi_ma,signal,position,strategy_return,benchmark_return,cumulative_strategy,cumulative_benchmark
2023-04-03,4019.868566120449,,False,,,0,0,0.0,,1.0,
2023-04-04,4015.872520927822,,False,,,0,0,0.0,-0.0009940735939244494,1.0,0.9990059264060756
2023-04-05,4043.314589306069,,False,,,0,0,0.0,0.0068334012684017065,1.0,1.0058325347707195
2023-04-06,4105.77031041661,,False,,,0,0,0.0,0.015446663802942018,1.0,1.0213692917773838
2023-04-07,4097.938702281896,,False,,,0,0,0.0,-0.0019074637747865664,1.0,1.0194210668526391
2023-04-10,4090.1077508581498,,False,,,0,0,0.0,-0.0019109488922774975,1.0,1.0174730052941727
2023-04-11,4154.8107903326645,,False,,,0,0,0.0,0.0158193972911691,1.0,1.033568814997961
2023-04-12,4187.042706353001,,False,,,0,0,0.0,0.007757733780641374,1.0,1.0415869667086881
2023-04-13,4169.798257769823,,False,,,0,0,0.0,-0.004118527035086972,1.0,1.037297162626904
2023-04-14,4193.035186367482,,False,,,0,0,0.0,0.005572674542313916,1.0,1.0430776821178895
2023-04-17,4176.033005509204,,False,,,0,0,0.0,-0.00405486243319797,1.0,1.0388481456097625
2023-04-18,4158.938342220613,,False,,,0,0,0.0,-0.004093517284475157,1.0,1.034595602769764
2023-04-19,4170.151359937474,,False,,,0,0,0.0,0.002696125018981199,1.0,1.0373850018589195
2023-04-20,4095.1546770053824,,False,60.249164148867905,,0,0,0.0,-0.01798416327344432,1.0,1.0187285006080664
2023-04-21,4027.6924905590804,,False,50.89983647657932,,0,0,0.0,-0.01647366015870111,1.0,1.001946313495066
2023-04-24,4006.735516243662,,False,48.98860345423786,,-1,0,0.0,-0.005203221041462758,1.0,0.9967329653542724
2023-04-25,3967.7567982845053,,False,41.8446217817161,,0,0,0.0,-0.009728298212131392,1.0,0.9870364498294439
2023-04-26,3981.8612184425365,,False,35.06715416609863,,0,0,0.0,0.003554759244349226,1.0,0.9905451267739848
2023-04-27,3947.074782275907,,False,32.92786477377447,,0,0,0.0,-0.008736225161618205,1.0,0.9818915015137436
2023-04-28,3892.117161076716,,False,29.75428962302236,,0,0,0.0,-0.013923633128506974,1.0,0.9682200044746674
2023-05-01,3952.277638687798,,False,29.09558211666699,,0,0,0.0,0.015457005820050718,1.0,0.9831857867189219
2023-05-02,3944.781113522557,,False,23.649533627803308,,0,0,0.0,-0.0018967607669713171,1.0,0.9813209184920296
2023-05-03,3949.0167685642928,,False,25.28652953658215,37.77631797053491,0,0,0.0,0.0010737363924240295,1.0,0.9823745984748615
2023-05-04,3893.561367969975,,False,18.73322004411817,33.624723560059934,0,0,0.0,-0.014042837456595403,1.0,0.9685792716669909
2023-05-05,3873.320585843188,,False,18.607386291527234,30.39547854155473,0,0,0.0,-0.005198526545207693,1.0,0.9635440866120921
2023-05-08,3879.2920162858027,,False,20.314582596725742,27.528076455803518,0,0,0.0,0.0015416824686393937,1.0,0.9650295656381831
2023-05-09,3834.78680004313,,False,16.750060494961872,25.018620327128094,0,0,0.0,-0.011472509946617526,1.0,0.953958254347619
2023-05-10,3851.3492476311767,,False,22.659846702967457,23.77788958081498,0,0,0.0,0.004319000886271018,1.0,0.958078400893612
2023-05-11,3828.8582268886453,,False,25.201706959114773,23.005273799349006,0,0,0.0,-0.005839776996688806,1.0,0.952483436687049
2023-05-12,3818.725003751134,,False,25.900992856915735,22.619944122738342,0,0,0.0,-0.002646539134395054,1.0,0.9499626519969937
2023-05-15,3796.1912661161773,,False,27.04098779560087,22.41448469063173,0,0,0.0,-0.005900853717620835,1.0,0.9443570613503562
2023-05-16,3871.816920350755,,False,37.35575377758695,23.785106705610094,0,0,0.0,0.019921455198949722,1.0,0.9631700282398592
