date,open,high,low,close,volume,k,d,j
2021-04-02,4144.310726594072,4170.856852569921,4139.868566120449,4139.868566120449,4187436,0.0,0.0,0.0
2021-04-05,4133.245271007885,4179.502160740869,4110.770575653562,4140.6858182686265,2950500,0.0,0.0,0.0
2021-04-06,4173.156138781544,4199.033454941253,4129.125804989392,4172.92094329796,1893061,0.0,0.0,0.0
2021-04-07,4240.069351290876,4240.146683057623,4225.479066644195,4240.146683057623,2223045,0.0,0.0,0.0
2021-04-08,4246.261271782912,4246.261271782912,4222.49574290777,4237.059264048919,1647601,0.0,0.0,0.0
2021-04-09,4237.963579487054,4246.5076653740225,4232.849829138186,4233.943888123444,3904936,0.0,0.0,0.0
2021-04-12,4303.11571582209,4329.1251603844885,4303.11571582209,4303.331114402624,2936983,0.0,0.0,0.0
2021-04-13,4347.311624075353,4367.737403919437,4325.903052202767,4340.213064124973,2404568,0.0,0.0,0.0
2021-04-14,4339.614217620929,4339.614217620929,4327.581744001926,4327.581744001926,1760956,50.0,50.0,50.0
2021-04-15,4360.251122822753,4370.243948044833,4347.209132321713,4355.392157555377,4554382,64.75872644752405,54.91957548250801,84.43702837755615
2021-04-16,4343.011016585071,4365.8795222274375,4322.369817172112,4342.921095362851,4103577,72.72857488866498,60.85590861789366,96.47390743020762
2021-04-19,4318.951157119118,4374.82424401137,4282.42859006971,4330.312478733118,3928583,72.07874854733683,64.59685526104138,87.04253511992772
2021-04-20,4336.705893225994,4374.310474927801,4327.218348870967,4345.963784037212,4688498,75.07043291237724,68.08804781148666,89.0352031141584
2021-04-21,4272.745074872584,4305.048514791416,4255.338029910899,4275.3549627816365,1163543,60.02648425822538,65.40085996039957,49.27773285387701
2021-04-22,4207.092758849774,4226.629733916789,4207.092758849774,4212.227567050552,4979439,41.03809829841157,57.279939406403564,8.55441608242758
2021-04-23,4193.980795993409,4237.724597003164,4192.664906835643,4195.549690778259,1371557,27.88661875279422,47.48216585520044,-11.304475452018224
2021-04-26,4161.2631984418085,4181.798845070703,4123.7738592715,4160.791781357956,1499964,23.50615124656572,39.490160985655535,-8.461868231613906
2021-04-27,4183.483381647976,4183.483381647976,4170.118285436652,4179.056150122436,3151365,23.010899759502863,33.99707391027131,1.0385514579659656
2021-04-28,4147.781350612392,4189.919822069945,4147.781350612392,4148.366260116952,3997493,18.605867469900534,28.86667176348105,-1.9157411172604952
2021-04-29,4101.426091412179,4124.029668716746,4097.4392695319675,4097.4392695319675,1799458,12.403911646600356,23.37908505785415,-9.546435175907234
2021-04-30,4162.098608546697,4164.82789017101,4161.561979999983,4161.561979999983,4384425,15.989194887263801,20.915788334324034,6.136007993143338
2021-05-03,4141.5290306346615,4160.462155280896,4141.5290306346615,4157.9568400784965,3444480,20.376045720724747,20.735874129790936,19.65638890259237
2021-05-04,4158.184054248189,4184.686332893387,4154.764179302084,4166.010616694761,1005435,29.877335085431387,23.783027781671088,42.06594969295199
2021-05-05,4113.112054980144,4136.168986929334,4109.942956037588,4114.297693176386,1139565,23.923969856747753,23.830008473363307,24.11189262351664
2021-05-06,4087.807415362688,4114.056807324119,4087.807415362688,4097.721399431728,4349027,19.18561082684145,22.281875924522687,12.993080631478975
2021-05-07,4112.205170365523,4125.992009266989,4067.5847624087883,4107.277023388755,3942905,23.60558456495683,22.723112138000733,25.37052941886902
2021-05-10,4078.7223419089623,4113.034716921804,4046.9700394153188,4066.2734390063706,1920267,20.238264011137467,21.89482942904631,16.92513317531978
2021-05-11,4096.213068635257,4120.4044695979,4058.209416757293,4086.2527307460023,4428261,23.000296007507963,22.263318288533526,24.474251445456844
2021-05-12,4065.3553990379155,4083.1695192353804,4062.6005599861105,4067.0915824453023,3128650,20.203819321331757,21.5768186327996,17.45782069839607
2021-05-13,4072.3044092868486,4091.489258704365,4060.199119390667,4060.199119390667,4995915,16.67122566655603,19.941620977385078,10.130435044897936
2021-05-14,4042.0164088187967,4042.0164088187967,4016.6311755927045,4040.814933456434,1887977,15.910940230964446,18.598060728578197,10.536699235736947
2021-05-17,4116.719631648451,4140.051667709574,4057.9041332885704,4119.496880861657,1560113,38.38920217595394,25.195107877703443,64.77739077245494
2021-05-18,4118.3938767632,4173.1258523794195,4102.58332925512,4123.452550317899,2327654,48.34573186304024,32.91198253948237,79.21323051015598
2021-05-19,4083.0709497823286,4093.344903825192,4083.0709497823286,4085.5424552734894,3627014,46.90857602767008,37.577513702211604,65.57070067858703
2021-05-20,4119.542765363669,4122.743472253111,4119.542765363669,4122.743472253111,4800714,53.874280951768725,43.00976945206398,75.60330395117822
2021-05-21,4079.49792196352,4079.49792196352,4074.6045952928057,4078.107970453992,2742115,49.01073171286621,45.010090205664724,57.01201472726919
2021-05-24,4091.871653562621,4091.871653562621,4072.5596610906064,4090.557979203749,4016243,48.42021480610732,46.14679840581225,52.96704760669746
2021-05-25,4016.18657642317,4016.18657642317,3978.429649571925,4016.1621098017185,3139934,38.740200751110855,43.67793252091178,28.86473721150901
2021-05-26,3970.385974704644,3971.471257073444,3965.239274735026,3966.9193777197797,4118880,26.096194674523765,37.81735323878244,2.6538775460064272
2021-05-27,3988.044810649505,3988.044810649505,3950.038712245922,3978.570669955192,1447628,21.660663838750928,32.4317901054386,0.11841130537557376
2021-05-28,4019.395521727124,4024.1253398839326,4011.7767233708364,4011.7767233708364,2109137,23.665240111067085,29.509606773981425,11.976506785238413
2021-05-31,4010.2427864086394,4052.4000686640725,4010.2427864086394,4022.1878635833573,3567592,29.70216215791552,29.573791901959456,29.958902669827644
2021-06-01,4000.467225264212,4021.0058891117474,3997.2689202240513,4021.0058891117474,4019065,33.498646785444535,30.882076863121146,38.731786630091314
2021-06-02,4019.7893620549444,4054.807761656165,3987.9896780768413,4012.2918337549845,1464535,36.96305247642327,32.909068734221854,45.071019960826106
2021-06-03,3945.550085221569,3978.339328886784,3942.6581256685004,3956.3658295727323,2540808,27.70424703652066,31.174128168321452,20.764484772919076
2021-06-04,3928.903469891231,3962.71680176428,3914.171400434964,3930.6704273278433,3648191,22.380062534978535,28.242772957207144,10.654641690521316
2021-06-07,3906.0629893788664,3915.2255020987977,3906.0629893788664,3915.2255020987977,2348894,16.97333799067854,24.48629463503094,1.9474247019737376
2021-06-08,3946.0990809400478,3989.17441275647,3946.0990809400478,3960.372107064985,2957686,23.486096792009302,24.152895354023727,22.15249966798045
2021-06-09,3981.1651796676615,3981.1651796676615,3950.3799830660937,3976.858538319975,1056572,31.52250421257937,26.60943164020894,41.34864935732023
2021-06-10,3914.892582953184,3938.0841435935013,3908.9575723283097,3908.9575723283097,2896424,21.663671644524566,24.960844974980812,15.06932498361207
2021-06-11,3919.8945953236093,3939.564639584294,3913.613806977091,3924.4195326784175,4550985,18.55610343832973,22.82593112943045,10.016448056128283
2021-06-14,3891.122726197997,3933.9459771571437,3891.122726197997,3911.3918898133147,3513595,16.49841159352473,20.71675795079521,8.061718878983768
2021-06-15,3882.3208244284115,3886.566855563639,3863.0875900743977,3886.566855563639,4967361,17.20610979201271,19.54654189786771,12.525245580302716
2021-06-16,3916.227551116563,3916.227551116563,3908.5263330462662,3913.1611666787826,3133221,24.7085960039686,21.26722659990134,31.59133481210312
2021-06-17,3944.700762948721,3980.086690782003,3944.700762948721,3956.403103589987,1737550,41.14204203810214,27.892165079301606,67.6417959557032
2021-06-18,3996.9955504352474,3996.9955504352474,3945.7929641592377,3995.53031020094,1812802,60.39662321313118,38.7269844572448,103.73590072490393
2021-06-21,3963.5897058684177,3984.782286272891,3963.5897058684177,3963.711073505819,2798954,65.31233723707092,47.58876871718684,100.75947427683909
2021-06-22,3957.544827241108,3957.544827241108,3952.9649892081698,3952.9649892081698,2960350,65.91448726835412,53.69734156757593,90.3487786699105
2021-06-23,3968.6593562891044,3996.440115419591,3947.9275244260652,3967.7104357377716,1782533,69.98646330720143,59.127048814117764,91.70529229336877
