date,open,high,low,close,volume,tr,atr,ma,price_deviation,trend_strength,signal,position,entry_price,stop_loss,take_profit,strategy_returns,cumulative_returns,drawdown
2021-04-02,4154.255669335599,4180.865497026945,4149.8028491806745,4149.8028491806745,31864581,,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-05,4138.21306475721,4184.525551163659,4115.711356815011,4145.662554894977,14084032,68.81419434864802,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-06,4188.895833383644,4214.870749786413,4144.699432474885,4188.659750824436,44777477,70.17131731152858,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-07,4284.077374222257,4284.1555086216695,4269.335655830487,4284.1555086216695,38070760,95.49575779723364,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-08,4283.478784606162,4283.478784606162,4259.5049562838,4274.196123370437,13554382,24.650552337869158,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-09,4268.2597756784435,4276.864941208371,4263.109468341547,4264.21134849493,17297881,13.755472866824675,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-12,4362.780582312904,4389.150660922769,4362.780582312904,4362.998967503233,38854322,124.93931242783947,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-13,4420.2667857868455,4441.035344387197,4398.498942263631,4413.0491001252485,47912279,78.0363768839643,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-14,4401.0545157083325,4401.0545157083325,4388.85168621694,4388.85168621694,26562351,24.19741390830859,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-15,4430.2781534483065,4440.431466646457,4417.026704399465,4425.34115164129,48120293,51.579780429517086,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-16,4401.5257252737265,4424.702345249835,4380.6064207014615,4401.434592515523,10499964,44.734730939828296,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-19,4365.865057498071,4422.34505665605,4328.945770039052,4377.349789609431,12997493,93.39928661699741,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-20,4386.321035761654,4424.35584186121,4376.724946839142,4395.68484373292,16638784,47.630895022068216,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-21,4282.045985630959,4314.419743672359,4264.601049016738,4284.661554743572,35171259,131.08379471618173,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-22,4179.792620567193,4199.202818747762,4179.792620567193,4184.8941086150835,26916781,104.8689341763793,69.52555855594203,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-23,4153.2828178753725,4196.602133332405,4151.9796979768735,4154.836488259175,29720121,44.62243535553171,67.746764041627,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-26,4098.160458223373,4118.38469566889,4061.239619510212,4097.69618986056,46982693,93.59686874896306,69.59320009215101,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-27,4124.493291942847,4124.493291942847,4111.316653089303,4120.12848752912,33100170,26.797102082286983,66.5363359485893,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-28,4068.5966208235072,4109.930632452051,4068.5966208235072,4069.170363900246,18190219,51.53186670561308,65.46458814551957,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-29,3991.77956338883,4013.7788621529294,3987.899324235522,3987.899324235522,48636713,81.27103966472396,66.59362039689131,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-30,4079.773331998039,4082.4486291098187,4079.2473178306727,4079.2473178306727,48308849,94.54930487429692,68.59045500242028,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-03,4052.973198769305,4071.501487764151,4052.973198769305,4069.049742214456,12627014,26.274119061367855,65.5678595780594,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-04,4068.7302574038113,4094.6624002832737,4065.3839532267416,4076.388449302579,34772234,29.27844705653206,62.97575868366459,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-05,3992.975683538893,4015.3591652868927,3989.8991480963364,3994.126691443318,32713635,86.48930120624254,64.65529743527729,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-06,3955.029153059295,3980.42592445987,3955.029153059295,3964.6211157013363,20528542,39.09753838402321,62.829743217330574,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-07,3979.1349530731563,3992.475652355515,3935.9584534664386,3974.3662800433035,44002060,56.51719888907655,62.37884719388386,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-10,3920.2924443024945,3953.2720230119294,3889.773497161616,3908.327094396856,48857873,84.59278288168753,63.96555688586983,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-11,3943.4070316600237,3966.6959912584016,3906.8210764049536,3933.818256415165,39225143,59.87491485344799,63.673368169268265,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-12,3898.9911992876264,3916.0763224946663,3896.3490949291777,3900.656333860449,24123720,37.469161485987115,61.80163912046247,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-13,3897.5423207243507,3915.9038563578297,3885.956526802018,3885.956526802018,12648191,29.947329555811848,59.52633129441599,4158.574753062838,-4.5797921748688974,4.5797921748688974,-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-14,3853.7252108878124,3853.7252108878124,3829.522510212422,3852.57970443116,11348894,56.43401658959601,59.30545167264313,4148.667314904521,-4.992586720487665,4.992586720487665,-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-17,3963.6900894302935,3986.154810950489,3907.060921351482,3966.3641008197587,49706422,133.57510651932898,64.61042701883498,4142.69069976868,-2.729073418714898,2.729073418714898,-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-18,3963.2544024418407,4015.9246301583325,3948.039436634427,3968.1225162833307,35222396,67.8851935239054,64.8443389120543,4135.33945861731,-2.5787438832674145,2.5787438832674145,-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-19,3904.7835177873185,3914.6088592772126,3904.7835177873185,3907.147104907087,41256552,63.33899849601221,64.73681459662272,4122.772511826824,-3.3308003840365923,3.3308003840365923,-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-20,3955.8310213022114,3958.904531233897,3955.8310213022114,3958.904531233897,13550985,51.75742632681022,63.80971543449326,4112.262792088939,-2.4033685123150046,2.4033685123150046,-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-21,3889.299811766281,3889.299811766281,3884.6346262793963,3887.9746638564693,34938881,74.26990495450082,64.55687182877952,4099.721569267657,-3.28000566651978,3.28000566651978,-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-24,3903.9951834058133,3903.9951834058133,3885.569892493507,3902.7418258218495,37299045,18.425290912306536,61.26175890617431,4084.3796645449447,-2.964946517472399,2.964946517472399,-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-25,3787.3332490776434,3787.3332490776434,3751.727815483951,3787.3101766313926,44291982,151.01401033789853,67.67263400844033,4063.5217004284827,-4.081583757514748,4.081583757514748,-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-26,3712.921245894622,3713.9361517477523,3708.1082902310704,3709.6794448007086,45353386,79.20188640032211,68.49615203643188,4040.8826257146084,-4.835354557402564,4.835354557402564,-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-27,3732.3287807931897,3732.3287807931897,3696.7596581648386,3723.462128168765,27706306,35.569122628351124,66.14422136442612,4017.486658265524,-4.445203587427701,4.445203587427701,-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
