date,open,high,low,close,volume,TP,SMA_TP,MD,CCI,divergence,signal,position,strategy_returns,cumulative_returns,benchmark_returns,benchmark_cumulative,drawdown
2021-04-05,4202.5166241435945,4235.129737892889,4195.763419016809,4195.763419016809,31864581,4208.885525308836,,,,0,0,0.0,0.0,1.0,,,0.0
2021-04-06,4181.892612467382,4242.0425442290625,4155.1641617325895,4193.19496672441,44777477,4196.800557562021,,,,0,0,0.0,0.0,1.0,-0.0006121537455515691,0.9993878462544484,0.0
2021-04-07,4247.534898845706,4280.767301883585,4191.987618426188,4247.175827854569,51849877,4239.976916054781,,,,0,0,0.0,0.0,1.0,0.01287344412996072,1.0122534098573668,0.0
2021-04-08,4364.016787246573,4364.136176876028,4344.274693816379,4364.136176876028,38070760,4357.515682522811,,,,0,0,0.0,0.0,1.0,0.027538381682808755,1.0401292306177436,0.0
2021-04-09,4368.714156396651,4368.714156396651,4334.82591529925,4354.528466936051,62268631,4352.689512877318,,,,0,0,0.0,0.0,1.0,-0.0022015146985754352,1.0378393708281208,0.0
2021-04-12,4351.05281470126,4362.0747708818735,4341.7801033675505,4344.865315039808,17297881,4349.573396429744,,,,0,0,0.0,0.0,1.0,-0.0022191040820184194,1.0355362972438367,0.0
2021-04-13,4465.365702676876,4499.608015580739,4465.365702676876,4465.700991420317,67454535,4476.891569892644,,,,0,0,0.0,0.0,1.0,0.027811144332192672,1.0643357466677095,0.0
2021-04-14,4539.129178090235,4564.290229493684,4508.2943088223665,4528.020590168061,38854322,4533.535042828037,,,,0,0,0.0,0.0,1.0,0.013955166023760901,1.0791887287174808,0.0
2021-04-15,4519.9818574128385,4519.9818574128385,4501.209013163425,4501.209013163425,10499964,4507.46662791323,,,,0,0,0.0,0.0,1.0,-0.005921257748441655,1.0727985740955315,0.0
2021-04-16,4554.793971619346,4567.610404225505,4535.1136546974885,4547.184572361304,51133161,4549.969543761433,,,,0,0,0.0,0.0,1.0,0.010214046729095871,1.0837561888622507,0.0
2021-04-19,4520.785215643836,4551.130607086842,4493.16580770878,4520.644814092214,35171259,4521.647076295946,,,,0,0,0.0,0.0,1.0,-0.005836525403082216,1.0774308183352086,0.0
