date,open,high,low,close,volume,k,d,j,ma,rsi,kdj_momentum,ma_slope,volatility,signal,position,strategy_returns,stop_loss_level,take_profit_level,returns,cumulative_returns,benchmark_returns
2021-04-02,1550.7241189175427,1550.7241189175427,1531.2832300384093,1544.0019104226392,2100734,0.0,0.0,0.0,,,0.0,,,0,0,,0.0,0.0,,,
2021-04-05,1540.368181718202,1546.963708669953,1532.9187410516217,1545.4906247567149,3738170,0.0,0.0,0.0,,,0.0,,,0,0,0.0,0.0,0.0,0.0009641920285372585,1.0,1.0009641920285373
2021-04-06,1537.3533326073461,1541.4559430071665,1537.3533326073461,1541.4559430071665,2342045,0.0,0.0,0.0,,,0.0,,,0,0,-0.0,0.0,0.0,-0.0026106154802352233,1.0,0.9983510594136664
2021-04-07,1512.5813754026312,1535.5794702618252,1512.5813754026312,1513.105925001189,1394224,0.0,0.0,0.0,,,0.0,,,0,0,-0.0,0.0,0.0,-0.01839171475162016,1.0,0.9799896715069525
2021-04-08,1522.074927346336,1522.074927346336,1509.3575462421597,1517.4916868699204,3310835,0.0,0.0,0.0,,,0.0,,,0,0,0.0,0.0,0.0,0.0028985160894985373,1.0,0.9828301873373578
2021-04-09,1526.8181862620452,1534.3970454612336,1526.8181862620452,1527.067376762038,3631881,0.0,0.0,0.0,,,0.0,,,0,0,0.0,0.0,0.0,0.006310209126660249,1.0,0.9890320513554512
2021-04-12,1525.2528664665665,1543.4727606906795,1525.2528664665665,1528.6416956010669,3474140,0.0,0.0,0.0,,,0.0,,,0,0,0.0,0.0,0.0,0.001030942617847641,1.0,0.9900516866476109
2021-04-13,1530.1329346291636,1530.1329346291636,1518.4051341530794,1528.9085792187896,4357192,0.0,0.0,0.0,,,0.0,,,0,0,0.0,0.0,0.0,0.0001745887335735663,1.0,0.990224538517755
2021-04-14,1517.4540207479506,1519.973291037188,1508.6997863402412,1513.939544765026,4023115,0.0,0.0,0.0,,26.748149222708363,0.0,,,0,0,-0.0,0.0,0.0,-0.00979066679147822,1.0,0.9805295800123824
2021-04-15,1468.948779391431,1471.7290363584389,1468.948779391431,1471.7290363584389,1495036,0.0,0.0,0.0,,16.1819939661969,0.0,,,0,0,-0.0,0.0,0.0,-0.02788123776312257,1.0,0.9531912016582825
2021-04-16,1455.1707126498275,1468.2840757586291,1449.2939119545929,1454.493521473482,1867609,0.0,0.0,0.0,,12.889350214327408,0.0,,,0,0,-0.0,0.0,0.0,-0.011711065324635839,1.0,0.9420283172287942
2021-04-19,1444.7305810687342,1444.7305810687342,1434.818496450513,1438.8176431327663,4480451,0.0,0.0,0.0,,11.77162504538424,0.0,,,0,0,-0.0,0.0,0.0,-0.010777551160788268,1.0,0.9318755588449495
