date,open,high,low,close,volume,k,d,j,ma,rsi,kdj_momentum,ma_slope,volatility,signal,position,strategy_returns,stop_loss_level,take_profit_level,returns,cumulative_returns,benchmark_returns
2021-04-02,2646.2690644869963,2646.2690644869963,2640.495709253729,2640.495709253729,3302388,0.0,0.0,0.0,,,0.0,,,0,0,,0.0,0.0,,,
2021-04-05,2578.414045366586,2597.4556154811157,2572.5992618899318,2579.011616818666,1049567,0.0,0.0,0.0,,,0.0,,,0,0,-0.0,0.0,0.0,-0.023285056748848065,1.0,0.9767149432511519
2021-04-06,2532.5602494323844,2546.1764445811714,2532.5602494323844,2546.1764445811714,3842221,0.0,0.0,0.0,,,0.0,,,0,0,-0.0,0.0,0.0,-0.012731688381457662,1.0,0.9642797129561652
2021-04-07,2563.8178461277353,2575.951956969086,2544.167535709146,2564.41935893094,2638942,0.0,0.0,0.0,,,0.0,,,0,0,0.0,0.0,0.0,0.007164827240701888,1.0,0.9711886105112097
2021-04-08,2573.3589167094055,2608.685175063868,2570.438680532747,2576.9551631085174,3791278,0.0,0.0,0.0,,,0.0,,,0,0,0.0,0.0,0.0,0.004888359672500453,1.0,0.9759361297492245
2021-04-09,2580.4933993912355,2580.4933993912355,2569.7330785316717,2569.7330785316717,2361727,0.0,0.0,0.0,,,0.0,,,0,0,-0.0,0.0,0.0,-0.002802565089310205,1.0,0.9732010052225928
2021-04-12,2591.5713316978395,2615.2751535357147,2590.1186849215096,2600.3534642431773,3589984,0.0,0.0,0.0,,,0.0,,,0,0,0.0,0.0,0.0,0.01191578454872122,1.0,0.9847974587234242
2021-04-13,2563.1724234297353,2563.1724234297353,2557.4527552306427,2557.4527552306427,1441672,0.0,0.0,0.0,,,0.0,,,0,0,-0.0,0.0,0.0,-0.01649802982650317,1.0,0.9685502408763406
2021-04-14,2530.904059024161,2539.0098238046617,2503.609621187779,2525.903633672836,4897540,0.0,0.0,0.0,,,0.0,,,0,0,-0.0,0.0,0.0,-0.012336150293795534,1.0,0.9566020595377982
2021-04-15,2574.1542395197566,2605.554034360582,2566.2144291254044,2578.44963962778,3852430,0.0,0.0,0.0,,,0.0,,,0,0,0.0,0.0,0.0,0.020802854572301577,1.0,0.9765021130659272
