date,open,high,low,close,volume,k,d,j,ma,rsi,kdj_momentum,ma_slope,volatility,signal,position,strategy_returns,stop_loss_level,take_profit_level,returns,cumulative_returns,benchmark_returns
2021-04-02,4141.224945706175,4153.647796383727,4110.473173303065,4142.775399411354,2504215,0.0,0.0,0.0,,,0.0,,,0,0,,0.0,0.0,,,
2021-04-05,4181.927415962234,4183.841548566373,4181.927415962234,4183.841548566373,3156168,0.0,0.0,0.0,,,0.0,,,0,0,0.0,0.0,0.0,0.009912714351073548,1.0,1.0099127143510735
2021-04-06,4139.355472688924,4148.173361500577,4139.355472688924,4141.433541724741,3034334,0.0,0.0,0.0,,,0.0,,,0,0,-0.0,0.0,0.0,-0.01013614075709035,1.0,0.9996760969260359
2021-04-07,4211.276505288556,4211.276505288556,4165.1987354139965,4202.414617841574,3786420,0.0,0.0,0.0,,,0.0,,,0,0,0.0,0.0,0.0,0.014724629890218388,1.0,1.0143959574633699
2021-04-08,4243.94962067403,4243.94962067403,4213.803780590492,4241.604513679001,4352009,0.0,0.0,0.0,,,0.0,,,0,0,0.0,0.0,0.0,0.009325566228292725,1.0,1.023855774146407
2021-04-09,4261.703484936261,4261.703484936261,4232.6556376780145,4260.4209770164125,3818866,0.0,0.0,0.0,,,0.0,,,0,0,0.0,0.0,0.0,0.004436166379192086,1.0,1.0283977687088168
2021-04-12,4225.296339131139,4230.58192928723,4225.296339131139,4230.58192928723,4406827,0.0,0.0,0.0,,,0.0,,,0,0,-0.0,0.0,0.0,-0.007003779178197278,1.0,1.0211950978294295
2021-04-13,4209.687465750912,4216.003276324669,4186.226266243661,4204.2178154118055,3195866,0.0,0.0,0.0,,,0.0,,,0,0,-0.0,0.0,0.0,-0.006231793714456368,1.0,1.0148312206375425
2021-04-14,4218.544003858249,4218.544003858249,4191.387855673257,4218.170262240446,2280017,50.0,50.0,50.0,,,0.0,,,0,0,0.0,0.0,0.0,0.0033186783942291687,1.0,1.0181991190832616
2021-04-15,4190.8878319802725,4221.578553530897,4172.503250667385,4188.5681860303475,4350113,46.74118318651436,48.91372772883811,42.39609410186685,,,-6.517633626971261,,,0,0,-0.0,0.0,0.0,-0.007017752809810984,1.0,1.0110536493543678
2021-04-16,4143.481233167972,4180.275665863346,4143.481233167972,4161.389960899316,4290072,37.164016198264676,44.99715721864696,21.497734157500105,,,-23.499423061146857,,,0,0,-0.0,0.0,0.0,-0.006488667230409639,1.0,1.004493258671616
2021-04-19,4166.579023414249,4197.331629564017,4166.579023414249,4175.743401361126,2474168,33.87248451976521,41.28893298568637,19.03958758792288,,,-22.24934539776349,,,0,0,0.0,0.0,0.0,0.003449193802233408,1.0,1.0079579505938114
2021-04-20,4095.866663953889,4101.556044280711,4082.0579840352884,4082.0579840352884,4261955,22.581656346510137,35.05317410596096,-2.3613791723915085,,,-37.41455327835247,,,0,0,-0.0,0.0,0.0,-0.02243562602417104,1.0,0.9853437829661988
2021-04-21,4083.1590385899135,4108.648456240432,4065.8375469351686,4080.0107998165113,2595838,17.466504550223,29.19095092071497,-5.982388190760943,,42.859277601553984,-35.17333911147591,,,0,0,-0.0,0.0,0.0,-0.0005015078734265099,1.0,0.9848496253010094
