日期,开盘,收盘,最高,最低,成交量,成交额,SMA_20,SMA_60,EMA_20,EMA_60,WMA_20,WMA_60
2023-04-03 17:04:30.946723,3974.276720699038,3982.1018189473816,3967.7259617003783,4001.8311110877303,3354008,1024626.6548297128,,,3982.1018189473816,3982.1018189473816,,
2023-04-04 17:04:30.946723,3936.074169576307,3941.024051688959,3946.902733046157,3945.5238294531223,4606912,1140913.8516869883,,,3978.189650637056,3980.7550069061217,,
2023-04-05 17:04:30.946723,3926.168295664875,3935.7859739384057,3954.2879641865106,3946.2044822276625,1318269,958464.2471963373,,,3974.1512052371845,3979.28061238259,,
2023-04-06 17:04:30.946723,3961.6483027078825,3958.083794952682,3903.5875652025643,3953.689576151638,2159878,588338.678874495,,,3972.6209756862795,3978.585634761937,,
2023-04-07 17:04:30.946723,3971.8822437755407,3966.672080138387,3979.6329166146043,4005.649690179397,3117015,823159.42673103,,,3972.0544142055282,3978.195026413624,,
2023-04-10 17:04:30.946723,3978.266514254334,3969.120929529714,3994.9513482738203,3958.2878277730697,4026213,1834035.522633372,,,3971.7750347125934,3977.897515040381,,
2023-04-11 17:04:30.946723,3935.902263904683,3935.70257700904,3933.9811465887256,3923.4103203055784,2162981,1659428.7753464335,,,3968.3395625503504,3976.514074449189,,
2023-04-12 17:04:30.946723,3973.5932670717625,3969.1802457432577,3957.5135744469712,3984.7796194469574,1648014,985818.1531108107,,,3968.4196276163416,3976.2736210489948,,
2023-04-13 17:04:30.946723,3954.969845019475,3954.9068124404444,3957.9417468014644,3934.041225263952,4905683,1137271.0255319679,,,3967.1326928376848,3975.573069947075,,
2023-04-14 17:04:30.946723,3955.291627368238,3962.1187102200556,3984.2902848017725,3970.3929074334833,2453672,1848054.9921266506,,,3966.655170683625,3975.1319433986478,,
2023-04-17 17:04:30.946723,3978.4005891225784,3969.2287296274644,3944.457899311947,3990.8746586021293,4277164,1700238.5755566997,,,3966.900271535419,3974.9383954061495,,
2023-04-18 17:04:30.946723,3980.610276438016,3976.188504270414,3949.854638435622,3980.5866968637183,1088682,1561236.1019231626,,,3967.784865129228,3974.979382582027,,
2023-04-19 17:04:30.946723,3950.9781704136944,3957.7937955856196,3971.8726187748425,3976.3676825013854,3341601,696840.4422217893,,,3966.8333346965032,3974.415920713292,,
2023-04-20 17:04:30.946723,3970.679978348547,3962.166392333351,3966.4165359547274,3983.6577465294013,1611969,1590284.0270415777,,,3966.3888639952506,3974.0142968319824,,
2023-04-21 17:04:30.946723,4000.661264400038,4012.195301404981,3979.596113045657,4023.220790650264,1166821,673922.8277035727,,,3970.7513818437965,3975.2661330474907,,
2023-04-24 17:04:30.946723,3986.175117052257,3993.9594655046344,3993.9803116611397,3952.817923293678,1325487,1204211.5293172644,,,3972.961675525781,3975.879029193626,,
2023-04-25 17:04:30.946723,3997.3983081761844,3995.4327891001717,3976.8558429510217,3992.645636007484,4244157,1704297.8036677528,,,3975.1017815804853,3976.520136075808,,
2023-04-26 17:04:30.946723,4007.3736737495938,4000.2774111424033,4017.7262825678617,4006.8983272006335,3779992,736708.6892565939,,,3977.499460586382,3977.2990631271714,,
2023-04-27 17:04:30.946723,4025.0937080602193,4021.225111235217,4021.2277864316866,3993.102348072149,3526107,1840817.5316632348,,,3981.6638082672234,3978.7392614257956,,
2023-04-28 17:04:30.946723,4005.2190786846268,4006.1103946811677,3991.61369911102,4020.5117895162853,3889063,1891248.2617243878,3973.4637444746877,,3983.992054592361,3979.63667563089,3983.367529166333,
2023-05-01 17:04:30.946723,3995.057784313301,4007.3827481820695,4010.3510336312997,3987.0255822064137,1667713,1881164.4443505437,3974.7277909364216,,3986.219739696143,3980.54638292765,3986.597910471798,
2023-05-02 17:04:30.946723,4039.419090440904,4043.971554116087,4069.107768336628,4014.8338203907365,2150249,1400790.4978359605,3979.8751660577777,,3991.719912498042,3982.625896737107,3993.1925545841477,
2023-05-03 17:04:30.946723,4055.6835219087147,4065.6626795742177,4089.4913372429646,4047.2483717866944,4484252,1410021.0117947615,3986.369001339569,,3998.762080791011,3985.3484142071757,4001.362793966665,
2023-05-04 17:04:30.946723,4059.6597038658215,4053.6417184170905,4067.175164727917,4064.7391332690336,2030845,2005792.1874300847,3991.146897512789,,4003.9887129458757,3987.587538935369,4007.7697194026196,
2023-05-05 17:04:30.946723,4048.4119561644998,4043.084109657268,4037.4967065724727,4063.3754649243024,1979486,585135.3477701481,3994.967498988734,,4007.7120840612465,3989.407098631169,4012.7161205592365,
