日期,开盘,收盘,最高,最低,成交量,成交额,short_ma,long_ma,ma_diff,short_slope,long_slope,signal,returns,strategy_returns,cum_returns,benchmark_returns
2023-04-03 17:13:08.537990,3988.483696030758,3997.891623034154,3968.9785622314675,3997.034790318761,4166994,1805821.6598289777,,,,,,0,,0.0,1.0,
2023-04-04 17:13:08.537990,3994.762845620146,3990.944928639405,3985.0747034151836,3973.037383824991,2592379,1974829.700770808,,,,,,0,-0.001737589472091905,-0.0,1.0,0.9982624105279081
2023-04-05 17:13:08.537990,4024.334677493471,4024.1642182049327,4042.678188092333,4020.3036466742396,4086998,606247.5829681659,,,,,,0,0.008323665237057742,0.0,1.0,1.0065716126518807
2023-04-06 17:13:08.537990,4051.6890217389855,4057.02648910398,4046.171811628494,4058.9132147190194,3487236,1853784.0106113132,,,,,,0,0.008166235053326476,0.0,1.0,1.0147915130388019
2023-04-07 17:13:08.537990,4054.105163189876,4054.3000288568423,4078.6297947795483,4023.623012865265,1963178,1688289.5908665517,,,,,,0,-0.0006720341251061912,-0.0,1.0,1.0141095385121717
2023-04-10 17:13:08.537990,4039.168267163422,4039.974661419289,4020.9125686449916,3993.8473196458876,1054873,1306413.47422008,,,,,,0,-0.0035333762512865796,-0.0,1.0,1.0105263079525895
2023-04-11 17:13:08.537990,4031.975981436908,4018.0798656586776,4020.096111503618,4016.106596056036,2029103,1399662.360291396,,,,,,0,-0.005419537892081605,-0.0,1.0,1.0050497223356951
2023-04-12 17:13:08.537990,4025.9966906395916,4024.9637134401737,4039.427020938116,4021.863989223345,4848761,1014427.7045531807,,,,,,0,0.0017132182563941445,0.0,1.0,1.0067715918685844
2023-04-13 17:13:08.537990,4019.0019712813437,4022.290811842658,4001.6711512576835,4050.748649286989,4527276,1090350.9286309534,,,,,,0,-0.0006640809179447871,-0.0,1.0,1.0061030140656957
2023-04-14 17:13:08.537990,4018.8526696540894,4034.919227992729,4014.6001892475515,4052.707040756422,3441295,952179.6070340185,,,,,,0,0.0031396079350825,0.0,1.0,1.0092617830721669
2023-04-17 17:13:08.537990,4044.3141014933835,4045.085803100299,4064.25222161612,4050.125615805773,1247047,1098334.2370237827,,,,,,0,0.0025196477384326066,0.0,1.0,1.011804767241371
