date,open,high,low,close,volume,rsi
2021-04-02,4144.310726594072,4170.856852569921,4139.868566120449,4139.868566120449,4187436,
2021-04-05,4133.245271007885,4179.502160740869,4110.770575653562,4140.6858182686265,2950500,
2021-04-06,4173.156138781544,4199.033454941253,4129.125804989392,4172.92094329796,1893061,
2021-04-07,4240.069351290876,4240.146683057623,4225.479066644195,4240.146683057623,2223045,
2021-04-08,4246.261271782912,4246.261271782912,4222.49574290777,4237.059264048919,1647601,
2021-04-09,4237.963579487054,4246.5076653740225,4232.849829138186,4233.943888123444,3904936,
2021-04-12,4303.11571582209,4329.1251603844885,4303.11571582209,4303.331114402624,2936983,
2021-04-13,4347.311624075353,4367.737403919437,4325.903052202767,4340.213064124973,2404568,
2021-04-14,4339.614217620929,4339.614217620929,4327.581744001926,4327.581744001926,1760956,
2021-04-15,4360.251122822753,4370.243948044833,4347.209132321713,4355.392157555377,4554382,
2021-04-16,4343.011016585071,4365.8795222274375,4322.369817172112,4342.921095362851,4103577,
2021-04-19,4318.951157119118,4374.82424401137,4282.42859006971,4330.312478733118,3928583,
2021-04-20,4336.705893225994,4374.310474927801,4327.218348870967,4345.963784037212,4688498,
2021-04-21,4272.745074872584,4305.048514791416,4255.338029910899,4275.3549627816365,1163543,68.5836271329509
2021-04-22,4207.092758849774,4226.629733916789,4207.092758849774,4212.227567050552,4979439,58.45989410905356
2021-04-23,4193.980795993409,4237.724597003164,4192.664906835643,4195.549690778259,1371557,56.18505548820049
2021-04-26,4161.2631984418085,4181.798845070703,4123.7738592715,4160.791781357956,1499964,48.64035783456917
2021-04-27,4183.483381647976,4183.483381647976,4170.118285436652,4179.056150122436,3151365,42.307548878415204
2021-04-28,4147.781350612392,4189.919822069945,4147.781350612392,4148.366260116952,3997493,39.55775331271686
2021-04-29,4101.426091412179,4124.029668716746,4097.4392695319675,4097.4392695319675,1799458,35.55491841622961
2021-04-30,4162.098608546697,4164.82789017101,4161.561979999983,4161.561979999983,4384425,34.82878419226053
2021-05-03,4141.5290306346615,4160.462155280896,4141.5290306346615,4157.9568400784965,3444480,29.000504713689807
