日期,开盘,收盘,最高,最低,成交量,成交额,fast_ma,medium_ma,slow_ma,slow_slope,fast_medium_diff,price_medium_diff,signal,returns,strategy_returns,cum_returns,benchmark_returns
2023-04-03 17:16:27.326742,4020.4665840826688,4015.8414070377135,4040.608455437978,4018.0896306561986,1724086,1235647.0932239366,,,,,,,0,,0.0,1.0,
2023-04-04 17:16:27.326742,4009.3673570908877,4015.3119586297016,4029.2413872508096,4002.8735262387786,1266606,1763247.5541738234,,,,,,,0,-0.0001318399693484018,-0.0,1.0,0.9998681600306516
2023-04-05 17:16:27.326742,4027.986601013655,4030.2397021946144,4070.4206140600713,4039.249065221411,3265604,1235975.7757903845,,,,,,,0,0.0037177045566361144,0.0,1.0,1.003585374445233
2023-04-06 17:16:27.326742,4053.3993492434815,4048.9797027540562,4058.511458975421,4036.6552812548484,4635927,2010094.5138398267,,,,,,,0,0.004649847637905324,0.0,1.0,1.0082518935280336
2023-04-07 17:16:27.326742,4047.2476557664363,4056.2653849107883,4038.875824439876,4067.1134337043823,1901930,1239647.0274522023,4033.327631105375,,,,,,0,0.0017993871769168557,0.0,1.0,1.01006612905635
2023-04-10 17:16:27.326742,4068.262063549178,4083.0518387023867,4047.6052048903975,4059.0213203974986,4898662,692591.7511917311,4046.7697174383093,,,,,,0,0.006603723191101807,0.0,1.0,1.0167363261773459
2023-04-11 17:16:27.326742,4118.869371882005,4128.854056014389,4112.95110137898,4135.16732582638,3068015,457571.99304968264,4069.478136915247,,,,,,0,0.011217642861609756,0.0,1.0,1.0281417111688285
2023-04-12 17:16:27.326742,4121.279613572381,4136.792853759582,4123.915984203287,4158.024017362832,2004393,1374188.807711834,4090.7887672282404,,,,,,0,0.001922760562008241,0.0,1.0,1.0301185815032197
2023-04-13 17:16:27.326742,4156.527946615569,4156.214326745041,4114.038728594569,4187.794478468567,1346657,930459.1825142005,4112.235692026437,,,,,,0,0.004694813995293146,0.0,1.0,1.0349547966364725
2023-04-14 17:16:27.326742,4122.626790608895,4136.616748585005,4133.5285807114,4131.827628911202,4246579,1938083.1287686229,4128.305964761281,,,,,,0,-0.0047152472464970785,-0.0,1.0,1.0300747288813834
2023-04-17 17:16:27.326742,4147.05319954096,4124.3985095200605,4115.409519496159,4137.01532180624,4123512,1084727.5314399006,4136.575298924816,,,,,,0,-0.0029536792522835142,-0.0,1.0,1.027032218526385
2023-04-18 17:16:27.326742,4113.057235826145,4122.867039485109,4097.345876115247,4134.046089781815,3227088,428969.47313708346,4135.37789561896,,,,,,0,-0.0003713196073116265,-0.0,1.0,1.0266508613263052
2023-04-19 17:16:27.326742,4099.834128638694,4094.0038232200704,4044.967149953525,4091.454056396265,2342583,1466422.222630786,4126.820089511057,,,,,,0,-0.00700076330102628,-0.0,1.0,1.019463521653365
2023-04-20 17:16:27.326742,4064.330437565739,4070.8459140477685,4064.5460927225568,4075.642034141195,2974991,1251520.1065006843,4109.7464069716025,,,,,,0,-0.005656543123129687,-0.0,1.0,1.0136968822806751
2023-04-21 17:16:27.326742,4079.336290847602,4072.168948097395,4072.8586887635724,4085.8851634386215,3654225,900766.6218374075,4096.8568468740805,,,,,,0,0.0003250022421779075,0.0,1.0,1.014026336040305
2023-04-24 17:16:27.326742,4064.0259320004043,4059.084658293762,4040.57443871104,4050.9842369320886,3787757,1826903.0812016765,4083.7940766288216,,,,,,0,-0.0032131009224817264,-0.0,1.0,1.0107681670845532
2023-04-25 17:16:27.326742,4072.556168135726,4071.833743791981,4080.0844086654047,4020.6496407741924,1051705,1033261.6087072885,4073.5874174901955,,,,,,0,0.0031408769640144385,0.0,1.0,1.0139428655365081
2023-04-26 17:16:27.326742,4067.836768787182,4077.4107580238906,4062.25439181451,4059.321110501409,1151546,1513082.6885254034,4070.2688044509596,,,,,,0,0.001369656666462049,0.0,1.0,1.015331619141702
2023-04-27 17:16:27.326742,4087.1523034707025,4093.607085358273,4111.931190054087,4090.523484587517,1618922,1508643.2182524304,4074.8210387130603,,,,,,0,0.00397220890794725,0.0,1.0,1.019364728443777
2023-04-28 17:16:27.326742,4089.883715164676,4086.4751694219967,4089.756898184775,4097.0824961395465,3414596,1868299.2605356954,4077.6822829779803,4084.043181429679,,,-6.360898451698631,2.4319879923177723,0,-0.0017422082255488247,-0.0,1.0,1.017588782829048
2023-05-01 17:16:27.326742,4100.930384613525,4095.3601559399494,4114.48233951911,4117.172267759808,3353137,482898.6592834408,4084.937382507218,4088.019118874791,,,-3.08173636757283,7.341037065158616,0,0.002174242140130067,0.0,1.0,1.0198012672419985
