日期,开盘,收盘,最高,最低,成交量,成交额,ma,ma_slope,high_50,volume_ma,volume_ratio,price_above_ma,price_below_ma,signal,returns,strategy_returns,cum_returns,benchmark_returns
2023-04-03 17:41:12.460902,4007.617040005132,4004.5818711170286,4002.0661927433653,4021.878340813172,1641787,1930388.668062608,,,,,,False,False,0,,0.0,1.0,
2023-04-04 17:41:12.460902,4008.971111771798,4004.313240764185,4037.349433400826,3998.6638399576386,4988401,1501148.9606374002,,,,,,False,False,0,-6.708074937389341e-05,-0.0,1.0,0.9999329192506261
2023-04-05 17:41:12.460902,4020.772831664034,4019.803846753849,3983.093299819889,4034.342115200205,3040484,1288183.5268680458,,,,,,False,False,0,0.0038684800759263283,0.0,1.0,1.00380113982601
2023-04-06 17:41:12.460902,4026.4049935212847,4035.826432180092,4083.9464180162427,4064.4439449041547,2682736,1220923.4588374833,,,,,,False,False,0,0.003985912257679525,0.0,1.0,1.0078022030935152
2023-04-07 17:41:12.460902,4032.5298570685154,4049.698159566957,4049.3274916170526,4063.5646843836257,3032233,1977546.580430657,,,,,,False,False,0,0.0034371466711891063,0.0,1.0,1.0112661670810952
2023-04-10 17:41:12.460902,4018.4204078455673,4028.831367338577,4035.2863581821252,4008.47382943726,1399709,1680438.8584604326,,,,,,False,False,0,-0.005152678398780086,-0.0,1.0,1.0060554377465594
2023-04-11 17:41:12.460902,4025.1349854375453,4036.7444191164645,4037.0327342167557,4021.991202445951,4828018,424913.3689983858,,,,,,False,False,0,0.0019641059792272486,0.0,1.0,1.0080314372472714
2023-04-12 17:41:12.460902,4029.3829623852075,4028.9510770013994,4042.4651828789206,3999.6436489852176,1289970,1111206.060477694,,,,,,False,False,0,-0.0019306008272802488,-0.0,1.0,1.0060853309205973
2023-04-13 17:41:12.460902,4036.378020584808,4035.9665575607723,4004.5372876120673,4009.721831854158,1509085,717742.5703103121,,,,,,False,False,0,0.0017412672492895798,0.0,1.0,1.0078371943573199
2023-04-14 17:41:12.460902,4046.3158165541327,4048.885359634818,4063.247454259874,4038.799268548044,2170949,685251.5782487149,,,,,,False,False,0,0.0032009190090647177,0.0,1.0,1.0110631995907806
2023-04-17 17:41:12.460902,4065.281752732458,4052.733335049349,4070.1525305739974,4061.9881627843356,2085581,1701184.260733652,,,,,,False,False,0,0.000950378949449382,0.0,1.0,1.0120240927722346
2023-04-18 17:41:12.460902,4087.5673035280197,4074.2962991246295,4063.8899752357133,4063.2747164382927,4174948,1955405.1354833473,,,,,,False,False,0,0.005320597802178861,0.0,1.0,1.0174086659359907
2023-04-19 17:41:12.460902,4069.7174464333575,4079.4242714427655,4045.689276060298,4064.5085263848823,1107426,448085.593744982,,,,,,False,False,0,0.0012586154618252632,0.0,1.0,1.0186891922139327
2023-04-20 17:41:12.460902,4102.743123250429,4088.902488750343,4106.0190780723515,4058.5841610740968,1504248,1416603.5383495472,,,,,,False,False,0,0.0023234203350526172,0.0,1.0,1.021056035398221
2023-04-21 17:41:12.460902,4110.947049782132,4108.416334644161,4113.100072715558,4133.378388634073,2012697,1029964.7739548531,,,,,,False,False,0,0.004772392089932742,0.0,1.0,1.0259289151449336
2023-04-24 17:41:12.460902,4110.007462804502,4111.541748182915,4129.934420260758,4124.451127880395,4953835,1478256.7305207134,,,,,,False,False,0,0.0007607343765039243,0.0,1.0,1.0267093745385336
2023-04-25 17:41:12.460902,4122.268894645976,4117.97593262804,4111.565474890316,4104.49837256946,2652479,496498.18123306386,,,,,,False,False,0,0.0015649079686392842,0.0,1.0,1.0283160802202256
2023-04-26 17:41:12.460902,4097.32676915998,4105.820481561616,4140.276923357115,4108.809071777845,3552713,1471410.6870361515,,,,,,False,False,0,-0.0029518023575884067,-0.0,1.0,1.0252806943902855
2023-04-27 17:41:12.460902,4111.7606000143605,4113.259963702956,4111.840208059554,4131.910815346975,3560225,1797632.3983469757,,,,,,False,False,0,0.0018119355619050648,0.0,1.0,1.0271384369413858
2023-04-28 17:41:12.460902,4107.022710019858,4098.887254471808,4125.782105327345,4107.393620967294,1201074,707312.1824061641,4062.2430220296364,,,2669429.9,0.44993652015361035,True,False,0,-0.0034942379907856314,-0.0,1.0,1.023549370793229
2023-05-01 17:41:12.460902,4112.623002446704,4090.850608419613,4080.6296619371733,4078.0011605594746,3731281,1459536.1345823144,4066.556458894766,,,2773904.6,1.3451367433472659,True,False,0,-0.0019606897075363783,-0.0,1.0,1.0215425080767595
2023-05-02 17:41:12.460902,4081.3140195803153,4094.8433052838127,4078.8714318757884,4071.957845066764,2522636,445248.2824723995,4071.082962120747,,,2650616.35,0.9517167582551129,True,False,0,0.0009760065195199008,0.0,1.0,1.0225395402246091
2023-05-03 17:41:12.460902,4098.96995573497,4116.192198025403,4100.278686432116,4111.569838606678,4827987,1375468.8429882678,4075.902379684324,,,2739991.5,1.7620445172913857,True,False,0,0.005213604318886178,0.0,1.0,1.027870656787756
2023-05-04 17:41:12.460902,4100.220184009563,4106.192919464669,4129.269063185644,4097.5013029959155,2891019,2028667.4861965633,4079.420704048554,,,2750405.65,1.0511245859315335,True,False,0,-0.002429254534210168,-0.0,1.0,1.0253736973341727
2023-05-05 17:41:12.460902,4074.169588217881,4073.460231114437,4100.49732808019,4072.706988941162,1557948,1242990.7267251145,4080.608807625927,,,2676691.4,0.5820424423973567,False,True,0,-0.00797154176440873,-0.0,1.0,1.0171998880817472
2023-05-08 17:41:12.460902,4051.17417967547,4049.65338572159,4098.707124144819,4053.846115504657,4030395,737601.437883299,4081.6499085450787,,,2808225.7,1.4352104960794283,False,True,0,-0.005844378990373489,-0.0,1.0,1.011254986426832
2023-05-09 17:41:12.460902,4047.7085597705404,4055.9237339074944,4078.53992132596,4021.0608133390588,1923257,796036.6828201012,4082.6088742846296,,,2662987.65,0.7222177692036987,False,True,0,0.0015483666350342151,0.0,1.0,1.0128207799073274
2023-05-10 17:41:12.460902,4049.727503086379,4056.232497231299,4057.267392773101,4025.455566458525,2715725,1349186.892591823,4083.9729452961246,,,2734275.4,0.9932156065917866,False,True,0,7.612651126143177e-05,0.0,1.0,1.012897882419835
2023-05-11 17:41:12.460902,4042.939594846933,4036.8890825113267,4056.490044505388,4055.2698301002924,2842540,541142.1556882856,4084.0190715436524,,,2800948.15,1.0148492038312098,False,True,0,-0.00476881311245736,-0.0,1.0,1.0080675617165709
2023-05-12 17:41:12.460902,4045.118419349158,4042.6108530204788,4051.945797629537,4036.155570920615,3344313,1889115.6899662372,4083.7053462129356,2.1462324183299186,,2859616.35,1.1694970900554544,False,True,0,0.0014173712460765486,0.0,1.0,1.0094963676926505
2023-05-15 17:41:12.460902,4044.9420794601247,4040.2139520613136,4015.915906761219,4017.245826039138,4458628,460257.9412476632,4083.0793770635332,1.652291816876732,,2978268.7,1.4970536405932748,False,True,0,-0.0005929091486444049,-0.0,1.0,1.0088978280607221
2023-05-16 17:41:12.460902,4032.852218775228,4032.2601401241614,4032.7706272199166,3999.6477675529327,3483744,1247359.9162727227,4080.97756911351,0.9894606992762874,,2943708.5,1.1834541361687136,False,True,0,-0.0019686610737765786,-0.0,1.0,1.0069116501792013
2023-05-17 17:41:12.460902,4025.661351447656,4038.22618609372,4062.1763403982054,4016.3084105284806,1822847,1545983.6098734173,4078.9176648460584,0.3015285161734482,,2979479.55,0.6118004736766863,False,True,0,0.0014795786388361876,0.0,1.0,1.0084014551480016
2023-05-18 17:41:12.460902,4032.226262421928,4023.1512408272138,4011.597894816719,4033.747742790943,2853176,1866976.3231460433,4075.6301024499016,-0.3790601598652302,,3046925.95,0.9364113361534105,False,True,0,-0.0037330611441279693,-0.0,1.0,1.0046370308581065
