日期,收盘,rsi,overbought,oversold,signal,position,strategy_return,benchmark_return,cumulative_strategy,cumulative_benchmark
2023-04-03,4019.868566120449,,False,False,0,0,0.0,,1.0,
2023-04-04,4015.872520927822,,False,False,0,0,0.0,-0.0009940735939244494,1.0,0.9990059264060756
2023-04-05,4043.314589306069,,False,False,0,0,0.0,0.0068334012684017065,1.0,1.0058325347707195
2023-04-06,4105.77031041661,,False,False,0,0,0.0,0.015446663802942018,1.0,1.0213692917773838
2023-04-07,4097.938702281896,,False,False,0,0,0.0,-0.0019074637747865664,1.0,1.0194210668526391
2023-04-10,4090.1077508581498,,False,False,0,0,0.0,-0.0019109488922774975,1.0,1.0174730052941727
2023-04-11,4154.8107903326645,,False,False,0,0,0.0,0.0158193972911691,1.0,1.033568814997961
2023-04-12,4187.042706353001,,False,False,0,0,0.0,0.007757733780641374,1.0,1.0415869667086881
2023-04-13,4169.798257769823,,False,False,0,0,0.0,-0.004118527035086972,1.0,1.037297162626904
2023-04-14,4193.035186367482,,False,False,0,0,0.0,0.005572674542313916,1.0,1.0430776821178895
2023-04-17,4176.033005509204,,False,False,0,0,0.0,-0.00405486243319797,1.0,1.0388481456097625
2023-04-18,4158.938342220613,,False,False,0,0,0.0,-0.004093517284475157,1.0,1.034595602769764
2023-04-19,4170.151359937474,,False,False,0,0,0.0,0.002696125018981199,1.0,1.0373850018589195
2023-04-20,4095.1546770053824,60.249164148867905,False,False,0,0,0.0,-0.01798416327344432,1.0,1.0187285006080664
2023-04-21,4027.6924905590804,50.89983647657932,False,False,0,0,0.0,-0.01647366015870111,1.0,1.001946313495066
2023-04-24,4006.735516243662,48.98860345423786,False,False,0,0,0.0,-0.005203221041462758,1.0,0.9967329653542724
2023-04-25,3967.7567982845053,41.8446217817161,False,False,0,0,0.0,-0.009728298212131392,1.0,0.9870364498294439
2023-04-26,3981.8612184425365,35.06715416609863,False,False,0,0,0.0,0.003554759244349226,1.0,0.9905451267739848
2023-04-27,3947.074782275907,32.92786477377447,False,False,0,0,0.0,-0.008736225161618205,1.0,0.9818915015137436
2023-04-28,3892.117161076716,29.75428962302236,False,True,0,0,0.0,-0.013923633128506974,1.0,0.9682200044746674
2023-05-01,3952.277638687798,29.09558211666699,False,True,0,0,0.0,0.015457005820050718,1.0,0.9831857867189219
2023-05-02,3944.781113522557,23.649533627803308,False,True,0,0,0.0,-0.0018967607669713171,1.0,0.9813209184920296
2023-05-03,3949.0167685642928,25.28652953658215,False,True,0,0,0.0,0.0010737363924240295,1.0,0.9823745984748615
2023-05-04,3893.561367969975,18.73322004411817,False,True,0,0,0.0,-0.014042837456595403,1.0,0.9685792716669909
2023-05-05,3873.320585843188,18.607386291527234,False,True,0,0,0.0,-0.005198526545207693,1.0,0.9635440866120921
2023-05-08,3879.2920162858027,20.314582596725742,False,True,0,0,0.0,0.0015416824686393937,1.0,0.9650295656381831
2023-05-09,3834.78680004313,16.750060494961872,False,True,0,0,0.0,-0.011472509946617526,1.0,0.953958254347619
2023-05-10,3851.3492476311767,22.659846702967457,False,True,0,0,0.0,0.004319000886271018,1.0,0.958078400893612
2023-05-11,3828.8582268886453,25.201706959114773,False,True,0,0,0.0,-0.005839776996688806,1.0,0.952483436687049
2023-05-12,3818.725003751134,25.900992856915735,False,True,0,0,0.0,-0.002646539134395054,1.0,0.9499626519969937
2023-05-15,3796.1912661161773,27.04098779560087,False,True,0,0,0.0,-0.005900853717620835,1.0,0.9443570613503562
2023-05-16,3871.816920350755,37.35575377758695,False,False,1,1,0.019921455198949722,0.019921455198949722,1.0199214551989497,0.9631700282398592
2023-05-17,3872.811558215458,40.74864018892095,False,False,0,1,0.0002568917604226506,0.0002568917604226506,1.0201834646170687,0.9634174586840001
2023-05-18,3832.037647911442,42.24140002820661,False,False,0,1,-0.010528245356405619,-0.010528245356405619,1.0094427227930323,0.9532743632983302
2023-05-19,3866.473971249789,38.13082700590416,False,False,0,1,0.008986426152967297,0.008986426152967297,1.018514005277062,0.9618408929676275
2023-05-22,3819.1747521051684,34.34845469671373,False,False,0,1,-0.01223316631544058,-0.01223316631544058,1.0060543540559022,0.9500745333549626
2023-05-23,3829.0638227595787,35.26058165210139,False,False,0,1,0.0025893213315151264,0.0025893213315151264,1.0086593520555227,0.9525345816107079
2023-05-24,3752.211544658608,33.499081352653775,False,False,0,1,-0.020070774909566214,-0.020070774909566214,0.9884147772399874,0.9334164744296216
2023-05-25,3700.6186295568896,31.214207369517993,False,False,0,1,-0.013750001695710057,-0.013750001695710057,0.9748240723768726,0.9205819963234106
2023-05-26,3710.027605845875,31.724799066913377,False,False,0,1,0.0025425414588349238,0.0025425414588349238,0.9773026029959612,0.92292261421532
