etf_name,etf_code,pattern_type,start_date,end_date,confidence,effective,return
沪深300ETF,510300,head_shoulder_top,2022-04-12 08:36:26.924288,2022-04-26 08:36:26.924288,0.85,False,0.0079605796997915
沪深300ETF,510300,head_shoulder_top,2022-04-26 08:36:26.924288,2022-05-12 08:36:26.924288,0.85,False,0.006662006984144093
沪深300ETF,510300,head_shoulder_top,2022-07-14 08:36:26.924288,2022-08-09 08:36:26.924288,0.85,False,-0.023008863381854726
沪深300ETF,510300,head_shoulder_top,2022-08-09 08:36:26.924288,2022-08-31 08:36:26.924288,0.85,False,0.0298559786256104
沪深300ETF,510300,head_shoulder_top,2023-02-15 08:36:26.924288,2023-03-07 08:36:26.924288,0.85,True,-0.19528410000015814
沪深300ETF,510300,head_shoulder_top,2023-06-16 08:36:26.924288,2023-07-06 08:36:26.924288,0.85,False,0.0050970803743508415
沪深300ETF,510300,head_shoulder_top,2024-04-16 08:36:26.924288,2024-05-09 08:36:26.924288,0.85,False,0.00915616373878682
沪深300ETF,510300,head_shoulder_top,2025-03-03 08:36:26.924288,2025-03-24 08:36:26.924288,0.85,False,0.02446040519517072
沪深300ETF,510300,head_shoulder_bottom,2021-08-16 08:36:26.924288,2021-09-07 08:36:26.924288,0.85,True,0.1260737426961279
沪深300ETF,510300,head_shoulder_bottom,2021-10-18 08:36:26.924288,2021-11-01 08:36:26.924288,0.85,True,0.07144522241636098
沪深300ETF,510300,head_shoulder_bottom,2022-05-30 08:36:26.924288,2022-06-10 08:36:26.924288,0.85,True,0.07216048431072299
沪深300ETF,510300,head_shoulder_bottom,2022-12-26 08:36:26.924288,2023-01-11 08:36:26.924288,0.85,False,0.014970367562662028
沪深300ETF,510300,head_shoulder_bottom,2023-10-24 08:36:26.924288,2023-11-17 08:36:26.924288,0.85,False,-0.011900687183999089
沪深300ETF,510300,head_shoulder_bottom,2024-01-16 08:36:26.924288,2024-02-08 08:36:26.924288,0.85,True,0.06120700445606569
沪深300ETF,510300,head_shoulder_bottom,2025-01-13 08:36:26.924288,2025-02-06 08:36:26.924288,0.85,True,0.19510752016350444
沪深300ETF,510300,head_shoulder_bottom,2025-10-17 08:36:26.924288,2025-11-20 08:36:26.924288,0.85,True,0.07507825500266378
沪深300ETF,510300,double_top,2021-05-19 08:36:26.924288,2021-06-02 08:36:26.924288,0.75,False,-0.028150834162328442
沪深300ETF,510300,double_top,2021-06-10 08:36:26.924288,2021-06-21 08:36:26.924288,0.75,False,0.0023546041923136053
沪深300ETF,510300,double_top,2021-06-25 08:36:26.924288,2021-07-15 08:36:26.924288,0.75,False,0.00042271160659814204
沪深300ETF,510300,double_top,2021-08-23 08:36:26.924288,2021-09-02 08:36:26.924288,0.75,False,0.010114829199967205
沪深300ETF,510300,double_top,2021-09-02 08:36:26.924288,2021-09-13 08:36:26.924288,0.75,False,0.007355505368493125
沪深300ETF,510300,double_top,2021-11-24 08:36:26.924288,2021-12-10 08:36:26.924288,0.75,False,0.019173126361898846
沪深300ETF,510300,double_top,2022-04-01 08:36:26.924288,2022-04-12 08:36:26.924288,0.75,False,-0.008283754874023651
沪深300ETF,510300,double_top,2022-04-26 08:36:26.924288,2022-05-06 08:36:26.924288,0.75,False,0.0005651394415394175
沪深300ETF,510300,double_top,2022-05-12 08:36:26.924288,2022-05-30 08:36:26.924288,0.75,False,0.014504273893738297
沪深300ETF,510300,double_top,2022-06-03 08:36:26.924288,2022-06-13 08:36:26.924288,0.75,False,0.0301813001976759
沪深300ETF,510300,double_top,2022-06-20 08:36:26.924288,2022-06-30 08:36:26.924288,0.75,False,-0.016746694934441576
沪深300ETF,510300,double_top,2022-07-22 08:36:26.924288,2022-08-09 08:36:26.924288,0.75,False,-0.026268937929994688
沪深300ETF,510300,double_top,2022-08-09 08:36:26.924288,2022-08-26 08:36:26.924288,0.75,False,0.027890820844497295
沪深300ETF,510300,double_top,2022-09-15 08:36:26.924288,2022-09-29 08:36:26.924288,0.75,False,-0.013757473522738308
沪深300ETF,510300,double_top,2023-02-03 08:36:26.924288,2023-02-15 08:36:26.924288,0.75,True,-0.19528410000015814
沪深300ETF,510300,double_top,2023-02-15 08:36:26.924288,2023-02-27 08:36:26.924288,0.75,True,-0.19528410000015814
沪深300ETF,510300,double_top,2023-03-10 08:36:26.924288,2023-03-28 08:36:26.924288,0.75,True,-0.13497025158192652
沪深300ETF,510300,double_top,2023-05-09 08:36:26.924288,2023-05-19 08:36:26.924288,0.75,False,0.05038095129793312
沪深300ETF,510300,double_top,2023-05-19 08:36:26.924288,2023-06-02 08:36:26.924288,0.75,False,-0.015243656928378042
沪深300ETF,510300,double_top,2023-06-02 08:36:26.924288,2023-06-16 08:36:26.924288,0.75,False,0.0018651720530469356
沪深300ETF,510300,double_top,2023-06-16 08:36:26.924288,2023-07-03 08:36:26.924288,0.75,False,0.0050970803743508415
沪深300ETF,510300,double_top,2023-09-19 08:36:26.924288,2023-10-04 08:36:26.924288,0.75,False,0.023257859883177464
