date,open,high,low,close,volume,obv,obv_ma,obv_slope,price_new_high,obv_new_high,price_new_low,obv_new_low,bearish_divergence,bullish_divergence,signal,position,strategy_returns,stop_loss_level,take_profit_level,returns,cumulative_returns,benchmark_returns
2021-04-02,4147.296038420894,4173.18357444878,4133.471739122816,4139.868566120449,22146039,0,,,False,False,False,False,False,False,0,0,,0.0,0.0,,,
2021-04-05,4149.968981995571,4149.968981995571,4116.502670976544,4139.414509508213,17626435,-17626435,,-17626435.0,False,False,False,False,False,False,0,0,-0.0,0.0,0.0,-0.00010967899221536737,1.0,0.9998903210077846
2021-04-06,4175.813073439017,4175.813073439017,4147.151948051492,4170.378886325699,94607830,76981395,,94607830.0,False,False,False,False,False,False,0,0,0.0,0.0,0.0,0.007480375967751085,1.0,1.0073698765354382
2021-04-07,4226.695763398655,4247.098577692771,4198.230194803897,4236.334998644809,176024991,253006386,,176024991.0,False,False,False,False,False,False,0,0,0.0,0.0,0.0,0.01581537652019449,1.0,1.0233018104279479
2021-04-08,4230.274216402493,4242.82544878295,4230.274216402493,4231.979632538082,35128299,217878087,,-35128299.0,False,False,False,False,False,False,0,0,-0.0,0.0,0.0,-0.0010280976618044502,1.0,1.0222497562293267
2021-04-09,4227.543409446,4251.871720404635,4215.200066515944,4227.598548451596,32877976,185000111,,-32877976.0,False,False,False,False,False,False,0,0,-0.0,0.0,0.0,-0.0010352327910091441,1.0,1.021191489761077
2021-04-12,4300.867372298504,4329.006006941193,4278.006162148648,4295.722862799789,179225153,364225264,,179225153.0,False,False,False,False,False,False,0,0,0.0,0.0,0.0,0.01611418718391433,1.0,1.0376471605777073
2021-04-13,4337.1348792944955,4343.0525499296,4298.236620868577,4331.345252488785,106375686,470600950,,106375686.0,False,False,False,False,False,False,0,0,0.0,0.0,0.0,0.00829252510618872,1.0,1.0462518757081634
2021-04-14,4311.118748459236,4370.465943514166,4311.118748459236,4317.458277949215,58709097,411891853,,-58709097.0,False,False,False,False,False,False,0,0,-0.0,0.0,0.0,-0.0032061573783782604,1.0,1.0428974275372196
2021-04-15,4344.72987441489,4361.9199448996305,4307.67266292473,4344.017494151884,84476415,496368268,,84476415.0,False,False,False,False,False,False,0,0,0.0,0.0,0.0,0.006151586070516801,1.0,1.0493129008254354
2021-04-16,4334.260563424597,4335.7904873425605,4308.024138433789,4330.300240532405,52945668,443422600,,-52945668.0,False,False,False,False,False,False,0,0,-0.0,0.0,0.0,-0.0031577344331477075,1.0,1.0459994493473528
2021-04-19,4329.01895573869,4329.01895573869,4312.476328001289,4316.450984347758,48185400,395237200,,-48185400.0,False,False,False,False,False,False,0,0,-0.0,0.0,0.0,-0.0031982207734732038,1.0,1.0426541121794086
2021-04-20,4336.969993988462,4338.172629702167,4330.867744689963,4330.867744689963,50496423,445733623,,50496423.0,False,False,False,False,False,False,0,0,0.0,0.0,0.0,0.0033399569216661096,1.0,1.0461365319982858
2021-04-21,4265.75224604771,4265.75224604771,4259.031012243809,4259.031012243809,189036840,256696783,,-189036840.0,False,False,False,False,False,False,0,0,-0.0,0.0,0.0,-0.016587145274577497,1.0,1.0287841133649875
2021-04-22,4195.386126656811,4227.407793454772,4194.68287441562,4194.68287441562,172674057,84022726,,-172674057.0,False,False,False,False,False,False,0,0,-0.0,0.0,0.0,-0.015108633311943787,1.0,1.0132405914390028
2021-04-23,4188.574345119306,4198.980821568055,4174.832156545412,4176.791956294569,63913182,20109544,,-63913182.0,False,False,False,False,False,False,0,0,-0.0,0.0,0.0,-0.004265142003981315,1.0,1.0089189764323174
