日期,开盘,收盘,最高,最低,成交量,成交额,ma,ma_slope,rsi,price_above_ma,price_below_ma,signal,returns,strategy_returns,cum_returns,benchmark_returns
2023-04-03 18:39:31.456801,4011.238111542564,4013.969832516671,4027.9762708125218,4043.6442150817725,3165833,1019364.8990378884,,,,False,False,0,,0.0,1.0,
2023-04-04 18:39:31.456801,4017.214422367097,4016.06313922852,3994.7030019557233,4011.840735741792,4638302,1519236.123332443,,,,False,False,0,0.0005215053423897054,0.0,1.0,1.0005215053423897
2023-04-05 18:39:31.456801,3989.6553257443993,4007.041300848007,3974.9399391861534,4010.2853588580124,3001522,765823.3291932906,,,,False,False,0,-0.002246438382003668,-0.0,1.0,0.9982738954307685
2023-04-06 18:39:31.456801,4003.469702847182,4006.2089032378262,4013.79232987372,4016.415428964856,4468735,1064345.9447796966,,,,False,False,0,-0.0002077337236340293,-0.0,1.0,0.9980665202772641
2023-04-07 18:39:31.456801,3987.388682912157,3998.510506291894,4022.3677700410253,4011.726920883977,1771053,1139780.2180311119,,,,False,False,0,-0.0019216164538274905,-0.0,1.0,0.996148619229885
2023-04-10 18:39:31.456801,4006.887277642427,4010.170676407867,4010.020828863961,3995.1060097361237,2090334,645349.9496641682,,,,False,False,0,0.002916128417725705,0.0,1.0,0.9990535165266995
2023-04-11 18:39:31.456801,4009.6645422322235,4014.120162545839,4016.1091911128583,4011.3209817909997,4996017,998418.4600214739,,,,False,False,0,0.0009848673427310661,0.0,1.0,1.0000374517087673
2023-04-12 18:39:31.456801,4010.5460617181216,4015.3510359421,3999.510231811724,3993.0746339158686,1084505,1023696.4806039839,,,,False,False,0,0.00030663591183599515,0.0,1.0,1.0003440991046422
2023-04-13 18:39:31.456801,4034.8689745700535,4030.7915969815795,4031.977113758716,4033.846089114063,4609720,1990490.7464505197,,,,False,False,0,0.003845382608212322,0.0,1.0,1.004190804905567
2023-04-14 18:39:31.456801,4011.300465846019,4006.526091346662,4025.6778005128726,4037.095186138555,1769084,1083033.315392383,,,,False,False,0,-0.006020034787481587,-0.0,1.0,0.9981455413267664
2023-04-17 18:39:31.456801,3978.105953442187,3971.6992267745904,4000.9276250215685,3964.5759360016445,1536422,1721952.8384537164,,,,False,False,0,-0.008692534075165681,-0.0,1.0,0.9894691271968088
2023-04-18 18:39:31.456801,3994.6907946877695,3996.550411600645,4013.271698762632,4012.1846230299357,2549821,1016935.4408481425,,,,False,False,0,0.006257066159120139,0.0,1.0,0.9956603009880861
2023-04-19 18:39:31.456801,4022.171785024404,4012.036116418137,4023.6200861160382,3989.7121140545796,4526693,991423.4724111536,,,,False,False,0,0.003874767792880096,0.0,1.0,0.999518253455004
2023-04-20 18:39:31.456801,4005.774894050893,4011.509324365679,3992.785216584011,3993.0946795196214,1436864,1739569.7575117575,,,49.18999926960744,False,False,-1,-0.00013130291881036094,-0.0,1.0,0.9993870137909211
2023-04-21 18:39:31.456801,4017.4212078334904,4013.2308982677296,4023.1241490439475,4009.8109828896945,3669957,1681312.5842744384,,,49.759468798832344,False,False,-1,0.00042915864400305814,0.0,1.0,0.9998159093665939
2023-04-24 18:39:31.456801,3998.2701387214843,4004.040104352812,4006.7090645616363,3962.6249713874895,2943452,1897641.5335241056,,,46.25921763538603,False,False,-1,-0.002290123381359588,-0.0,1.0,0.9975262075754981
2023-04-25 18:39:31.456801,3993.577060259194,4007.2121360902406,3991.4696437897974,3975.66408658336,4423744,1043985.7540155413,,,50.05516069239603,False,False,0,0.0007922077838282693,0.0,1.0,0.9983164556017121
2023-04-26 18:39:31.456801,4022.5761337207923,4014.551297249545,4038.0912561065475,3961.2225330010465,4331498,947634.833715755,,,52.5850398269059,False,False,0,0.0018314880545517997,0.0,1.0,1.000144860264809
2023-04-27 18:39:31.456801,4012.0386939718937,4015.2198629129202,4029.5730320999855,4035.7089770916755,2621483,1593825.4637038321,,,55.41354103877097,False,False,0,0.00016653558863066742,0.0,1.0,1.0003114199778291
2023-04-28 18:39:31.456801,4009.7698175183928,4012.2282969197922,4017.7836351749156,4029.4129855400333,4407337,1501256.264304138,4008.851546014953,,50.7063061651159,True,False,0,-0.0007450565835160905,-0.0,1.0,0.9995661313688083
2023-05-01 18:39:31.456801,4019.574718272477,4003.9271401660517,4002.3835793148546,4005.2967166852345,3761454,402104.7932617402,4008.349411397422,,46.60260526297753,False,True,-1,-0.0020689642112622364,-0.0,1.0,0.9974980648162164
2023-05-02 18:39:31.456801,4014.216015550153,4022.5894709570366,4029.7435577105352,4020.056348570651,3369774,632785.9067562566,4008.675727983847,,52.16145217789611,True,False,0,0.004661006591196504,0.0,1.0,1.0021474098710306
2023-05-03 18:39:31.456801,4056.4500256679416,4051.486668454373,4068.0462376114865,4068.324571694184,3874299,496898.2287905882,4010.8979963641664,,55.720017235760025,True,False,0,0.007183730208109251,0.0,1.0,1.0093465664922996
2023-05-04 18:39:31.456801,4047.03729479675,4061.6439551557355,4057.673210081399,4064.286105952965,2911532,683963.3769792187,4013.6697489600615,,66.52291305539265,True,False,0,0.0025070517399079506,0.0,1.0,1.0118770505579942
2023-05-05 18:39:31.456801,4036.468256692541,4047.1173496296706,4019.92445050272,4044.596525581182,3168850,850631.6234915984,4016.10009112695,,75.74138789449692,True,False,0,-0.003576533464393239,-0.0,1.0,1.0082580384248219
2023-05-08 18:39:31.456801,4016.9308516619835,4028.744520810478,4029.2695707557677,4027.516555143018,4001646,1337075.8465446648,4017.0287833470816,,61.49677969993621,True,False,0,-0.004539732167853638,-0.0,1.0,1.0036808169742877
2023-05-09 18:39:31.456801,4043.6174006278247,4048.241119302296,4044.251701304956,4063.767462442954,4601356,849616.1036072188,4018.734831184903,,62.56904403367248,True,False,0,0.004839373256633195,0.0,1.0,1.0085380030781488
2023-05-10 18:39:31.456801,4062.2369548743277,4055.2890597759624,4073.407507806758,4087.120345988561,1330725,1804452.3693183735,4020.7317323765974,,64.54035339691497,True,False,0,0.0017409883121983771,0.0,1.0,1.0102938559539156
2023-05-11 18:39:31.456801,4061.5169370682056,4061.197449664532,4091.6233032412283,4079.625085318216,2808247,1024182.8257175293,4022.2520250107445,,65.49983547065852,True,False,0,0.0014569589988477905,0.0,1.0,1.0117658126788283
