日期,收盘,ma,price_above_ma,price_below_ma,rsi,overbought,oversold,signal,position,strategy_return,benchmark_return,cumulative_strategy,cumulative_benchmark
2023-04-03,4019.868566120449,,False,False,,False,False,0,0,0,,1,
2023-04-04,4015.872520927822,,False,False,,False,False,0,0,0,-0.0009940735939244494,1,0.9990059264060756
2023-04-05,4043.314589306069,,False,False,,False,False,0,0,0,0.0068334012684017065,1,1.0058325347707195
2023-04-06,4105.77031041661,,False,False,,False,False,0,0,0,0.015446663802942018,1,1.0213692917773838
2023-04-07,4097.938702281896,,False,False,,False,False,0,0,0,-0.0019074637747865664,1,1.0194210668526391
2023-04-10,4090.1077508581498,,False,False,,False,False,0,0,0,-0.0019109488922774975,1,1.0174730052941727
2023-04-11,4154.8107903326645,,False,False,,False,False,0,0,0,0.0158193972911691,1,1.033568814997961
2023-04-12,4187.042706353001,,False,False,,False,False,0,0,0,0.007757733780641374,1,1.0415869667086881
2023-04-13,4169.798257769823,,False,False,,False,False,0,0,0,-0.004118527035086972,1,1.037297162626904
2023-04-14,4193.035186367482,,False,False,,False,False,0,0,0,0.005572674542313916,1,1.0430776821178895
2023-04-17,4176.033005509204,,False,False,,False,False,0,0,0,-0.00405486243319797,1,1.0388481456097625
2023-04-18,4158.938342220613,,False,False,,False,False,0,0,0,-0.004093517284475157,1,1.034595602769764
2023-04-19,4170.151359937474,,False,False,,False,False,0,0,0,0.002696125018981199,1,1.0373850018589195
2023-04-20,4095.1546770053824,,False,False,60.249164148867905,False,False,0,0,0,-0.01798416327344432,1,1.0187285006080664
2023-04-21,4027.6924905590804,,False,False,50.89983647657932,False,False,0,0,0,-0.01647366015870111,1,1.001946313495066
2023-04-24,4006.735516243662,,False,False,48.98860345423786,False,False,0,0,0,-0.005203221041462758,1,0.9967329653542724
2023-04-25,3967.7567982845053,,False,False,41.8446217817161,False,False,0,0,0,-0.009728298212131392,1,0.9870364498294439
2023-04-26,3981.8612184425365,,False,False,35.06715416609863,False,False,0,0,0,0.003554759244349226,1,0.9905451267739848
2023-04-27,3947.074782275907,,False,False,32.92786477377447,False,False,0,0,0,-0.008736225161618205,1,0.9818915015137436
2023-04-28,3892.117161076716,4075.0537366144526,False,True,29.75428962302236,False,True,0,0,0,-0.013923633128506974,1,0.9682200044746674
2023-05-01,3952.277638687798,4071.67419024282,False,True,29.09558211666699,False,True,0,0,0,0.015457005820050718,1,0.9831857867189219
2023-05-02,3944.781113522557,4068.1196198725565,False,True,23.649533627803308,False,True,0,0,0,-0.0018967607669713171,1,0.9813209184920296
2023-05-03,3949.0167685642928,4063.4047288354677,False,True,25.28652953658215,False,True,0,0,0,0.0010737363924240295,1,0.9823745984748615
2023-05-04,3893.561367969975,4052.7942817131357,False,True,18.73322004411817,False,True,0,0,0,-0.014042837456595403,1,0.9685792716669909
2023-05-05,3873.320585843188,4041.563375891201,False,True,18.607386291527234,False,True,0,0,0,-0.005198526545207693,1,0.9635440866120921
2023-05-08,3879.2920162858027,4031.0225891625837,False,True,20.314582596725742,False,True,0,0,0,0.0015416824686393937,1,0.9650295656381831
2023-05-09,3834.78680004313,4015.0213896481064,False,True,16.750060494961872,False,True,0,0,0,-0.011472509946617526,1,0.953958254347619
2023-05-10,3851.3492476311767,3998.236716712015,False,True,22.659846702967457,False,True,0,0,0,0.004319000886271018,1,0.958078400893612
2023-05-11,3828.8582268886453,3981.1897151679564,False,True,25.201706959114773,False,True,0,0,0,-0.005839776996688806,1,0.952483436687049
