date,open,high,low,close,volume,tr,atr,high_rolling,low_rolling,breakout_high,breakout_low,signal,position,entry_price,stop_loss,take_profit,strategy_returns,cumulative_returns,drawdown
2021-04-02,4154.255669335599,4180.865497026945,4149.8028491806745,4149.8028491806745,31864581,,,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-05,4138.21306475721,4184.525551163659,4115.711356815011,4145.662554894977,14084032,68.81419434864802,,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-06,4188.895833383644,4214.870749786413,4144.699432474885,4188.659750824436,44777477,70.17131731152858,,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-07,4284.077374222257,4284.1555086216695,4269.335655830487,4284.1555086216695,38070760,95.49575779723364,,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-08,4283.478784606162,4283.478784606162,4259.5049562838,4274.196123370437,13554382,24.650552337869158,,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-09,4268.2597756784435,4276.864941208371,4263.109468341547,4264.21134849493,17297881,13.755472866824675,,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-12,4362.780582312904,4389.150660922769,4362.780582312904,4362.998967503233,38854322,124.93931242783947,,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-13,4420.2667857868455,4441.035344387197,4398.498942263631,4413.0491001252485,47912279,78.0363768839643,,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-14,4401.0545157083325,4401.0545157083325,4388.85168621694,4388.85168621694,26562351,24.19741390830859,,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-15,4430.2781534483065,4440.431466646457,4417.026704399465,4425.34115164129,48120293,51.579780429517086,,4441.035344387197,4115.711356815011,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-16,4401.5257252737265,4424.702345249835,4380.6064207014615,4401.434592515523,10499964,44.734730939828296,,4441.035344387197,4115.711356815011,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-19,4365.865057498071,4422.34505665605,4328.945770039052,4377.349789609431,12997493,93.39928661699741,,4441.035344387197,4144.699432474885,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-20,4386.321035761654,4424.35584186121,4376.724946839142,4395.68484373292,16638784,47.630895022068216,,4441.035344387197,4259.5049562838,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-21,4282.045985630959,4314.419743672359,4264.601049016738,4284.661554743572,35171259,131.08379471618173,,4441.035344387197,4259.5049562838,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-22,4179.792620567193,4199.202818747762,4179.792620567193,4184.8941086150835,26916781,104.8689341763793,69.52555855594203,4441.035344387197,4179.792620567193,4468.845567809574,4151.982397144816,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-23,4153.2828178753725,4196.602133332405,4151.9796979768735,4154.836488259175,29720121,44.62243535553171,67.746764041627,4441.035344387197,4151.9796979768735,4468.134050003848,4124.880992360223,-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-26,4098.160458223373,4118.38469566889,4061.239619510212,4097.69618986056,46982693,93.59686874896306,69.59320009215101,4441.035344387197,4061.239619510212,4468.872624424058,4033.4023394733517,-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-27,4124.493291942847,4124.493291942847,4111.316653089303,4120.12848752912,33100170,26.797102082286983,66.5363359485893,4440.431466646457,4061.239619510212,4467.046001025893,4034.6250851307764,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-28,4068.5966208235072,4109.930632452051,4068.5966208235072,4069.170363900246,18190219,51.53186670561308,65.46458814551957,4440.431466646457,4061.239619510212,4466.617301904665,4035.053784252004,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-29,3991.77956338883,4013.7788621529294,3987.899324235522,3987.899324235522,48636713,81.27103966472396,66.59362039689131,4424.702345249835,3987.899324235522,4451.3397934085915,3961.2618760767655,-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-30,4079.773331998039,4082.4486291098187,4079.2473178306727,4079.2473178306727,48308849,94.54930487429692,68.59045500242028,4424.35584186121,3987.899324235522,4451.792023862178,3960.4631422345537,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-03,4052.973198769305,4071.501487764151,4052.973198769305,4069.049742214456,12627014,26.274119061367855,65.5678595780594,4424.35584186121,3987.899324235522,4450.582985692434,3961.672180404298,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-04,4068.7302574038113,4094.6624002832737,4065.3839532267416,4076.388449302579,34772234,29.27844705653206,62.97575868366459,4314.419743672359,3987.899324235522,4339.610047145825,3962.709020762056,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-05,3992.975683538893,4015.3591652868927,3989.8991480963364,3994.126691443318,32713635,86.48930120624254,64.65529743527729,4199.202818747762,3987.899324235522,4225.064937721872,3962.0372052614107,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-06,3955.029153059295,3980.42592445987,3955.029153059295,3964.6211157013363,20528542,39.09753838402321,62.829743217330574,4196.602133332405,3955.029153059295,4221.734030619337,3929.8972557723628,-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-07,3979.1349530731563,3992.475652355515,3935.9584534664386,3974.3662800433035,44002060,56.51719888907655,62.37884719388386,4124.493291942847,3935.9584534664386,4149.4448308204,3911.006914588885,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-10,3920.2924443024945,3953.2720230119294,3889.773497161616,3908.327094396856,48857873,84.59278288168753,63.96555688586983,4124.493291942847,3889.773497161616,4150.079514697194,3864.187274407268,-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-11,3943.4070316600237,3966.6959912584016,3906.8210764049536,3933.818256415165,39225143,59.87491485344799,63.673368169268265,4109.930632452051,3889.773497161616,4135.399979719758,3864.3041498939087,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-12,3898.9911992876264,3916.0763224946663,3896.3490949291777,3900.656333860449,24123720,37.469161485987115,61.80163912046247,4094.6624002832737,3889.773497161616,4119.383055931458,3865.052841513431,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-13,3897.5423207243507,3915.9038563578297,3885.956526802018,3885.956526802018,12648191,29.947329555811848,59.52633129441599,4094.6624002832737,3885.956526802018,4118.47293280104,3862.1459942842516,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-14,3853.7252108878124,3853.7252108878124,3829.522510212422,3852.57970443116,11348894,56.43401658959601,59.30545167264313,4094.6624002832737,3829.522510212422,4118.384580952331,3805.8003295433646,-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-17,3963.6900894302935,3986.154810950489,3907.060921351482,3966.3641008197587,49706422,133.57510651932898,64.61042701883498,4094.6624002832737,3829.522510212422,4120.5065710908075,3803.678339404888,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-18,3963.2544024418407,4015.9246301583325,3948.039436634427,3968.1225162833307,35222396,67.8851935239054,64.8443389120543,4015.9246301583325,3829.522510212422,4041.862365723154,3803.5847746476,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-19,3904.7835177873185,3914.6088592772126,3904.7835177873185,3907.147104907087,41256552,63.33899849601221,64.73681459662272,4015.9246301583325,3829.522510212422,4041.819355996982,3803.6277843737726,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-20,3955.8310213022114,3958.904531233897,3955.8310213022114,3958.904531233897,13550985,51.75742632681022,63.80971543449326,4015.9246301583325,3829.522510212422,4041.4485163321297,3803.9986240386247,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
