date,open,high,low,close,volume,volume_ma,volume_ratio,volume_contraction,extremely_low_volume,volume_expansion,price_rebound,support_level,price_above_support,signal,position,strategy_returns,stop_loss_level,take_profit_level,returns,cumulative_returns,benchmark_returns
2021-04-02,4147.296038420894,4173.18357444878,4133.471739122816,4139.868566120449,22146039,,,True,False,False,False,,False,0,0,,0.0,0.0,,,
2021-04-05,4149.968981995571,4149.968981995571,4116.502670976544,4139.414509508213,17626435,,,True,False,False,False,,False,0,0,-0.0,0.0,0.0,-0.00010967899221536737,1.0,0.9998903210077846
2021-04-06,4175.813073439017,4175.813073439017,4147.151948051492,4170.378886325699,94607830,,,True,False,True,True,,False,0,0,0.0,0.0,0.0,0.007480375967751085,1.0,1.0073698765354382
2021-04-07,4226.695763398655,4247.098577692771,4198.230194803897,4236.334998644809,176024991,,,False,False,False,False,,False,0,0,0.0,0.0,0.0,0.01581537652019449,1.0,1.0233018104279479
2021-04-08,4230.274216402493,4242.82544878295,4230.274216402493,4231.979632538082,35128299,,,False,False,False,False,,False,0,0,-0.0,0.0,0.0,-0.0010280976618044502,1.0,1.0222497562293267
2021-04-09,4227.543409446,4251.871720404635,4215.200066515944,4227.598548451596,32877976,,,False,False,False,False,,False,0,0,-0.0,0.0,0.0,-0.0010352327910091441,1.0,1.021191489761077
2021-04-12,4300.867372298504,4329.006006941193,4278.006162148648,4295.722862799789,179225153,,,False,False,True,True,,False,0,0,0.0,0.0,0.0,0.01611418718391433,1.0,1.0376471605777073
2021-04-13,4337.1348792944955,4343.0525499296,4298.236620868577,4331.345252488785,106375686,,,False,False,False,False,,False,0,0,0.0,0.0,0.0,0.00829252510618872,1.0,1.0462518757081634
2021-04-14,4311.118748459236,4370.465943514166,4311.118748459236,4317.458277949215,58709097,,,False,False,False,False,,False,0,0,-0.0,0.0,0.0,-0.0032061573783782604,1.0,1.0428974275372196
2021-04-15,4344.72987441489,4361.9199448996305,4307.67266292473,4344.017494151884,84476415,,,False,False,True,True,,False,0,0,0.0,0.0,0.0,0.006151586070516801,1.0,1.0493129008254354
