date,open,high,low,close,volume,k,d,j,ma,rsi,kdj_momentum,ma_slope,signal,position,strategy_returns,stop_loss_level,take_profit_level,returns,cumulative_returns,benchmark_returns
2021-04-02,2566.8341525871992,2584.891018899968,2566.8341525871992,2581.6157589152194,3802536,0.0,0.0,0.0,,,0.0,,0,0,,0.0,0.0,,,
2021-04-05,2601.9028019991174,2615.8551615247793,2601.9028019991174,2603.5762474349044,1705607,0.0,0.0,0.0,,,0.0,,0,0,0.0,0.0,0.0,0.0085064899545364,1.0,1.0085064899545364
2021-04-06,2570.007840984276,2576.496860027443,2548.9004252267287,2570.6747988366205,2787076,0.0,0.0,0.0,,,0.0,,0,0,-0.0,0.0,0.0,-0.012637021339666599,1.0,0.9957619719197887
2021-04-07,2540.99593104557,2571.113340998264,2523.0625983053783,2544.2529588737507,4054858,0.0,0.0,0.0,,,0.0,,0,0,-0.0,0.0,0.0,-0.010278172865283208,1.0,0.9855273582397218
2021-04-08,2573.3067276671322,2586.9430400466294,2561.2556415016693,2573.388310112843,4300279,0.0,0.0,0.0,,,0.0,,0,0,0.0,0.0,0.0,0.011451436515962365,1.0,0.9968130622173481
2021-04-09,2636.2908184299285,2655.2800848972383,2593.4849836841345,2637.143972698008,4202243,0.0,0.0,0.0,,,0.0,,0,0,0.0,0.0,0.0,0.02477498725498184,1.0,1.0215090931293824
2021-04-12,2663.9423442268817,2686.5740389527255,2654.315903753402,2664.51989788906,2245278,0.0,0.0,0.0,,,0.0,,0,0,0.0,0.0,0.0,0.010380898985596243,1.0,1.0321132758380265
2021-04-13,2655.7455035810563,2692.0858207926017,2641.788037148204,2664.5269745321993,3646431,0.0,0.0,0.0,,,0.0,,0,0,0.0,0.0,0.0,2.655879261848071e-06,1.0,1.0321160170062718
2021-04-14,2629.0514700185036,2629.0514700185036,2611.849971031976,2623.088358065059,3202648,0.0,0.0,0.0,,58.53358271533306,0.0,,0,0,-0.0,0.0,0.0,-0.01555195982747204,1.0,1.0160645901724998
2021-04-15,2600.9310384842197,2600.9310384842197,2578.101576382586,2599.7140724756778,2458326,0.0,0.0,0.0,,53.397204331041735,0.0,,0,0,-0.0,0.0,0.0,-0.008910979120285267,1.0,1.0070104598246115
2021-04-16,2602.3871699859246,2613.4849772837765,2575.5806181346265,2595.980412420624,1109933,0.0,0.0,0.0,,48.46946952052747,0.0,,0,0,-0.0,0.0,0.0,-0.001436181037977935,1.0,1.0055642104971658
2021-04-19,2580.2940675570635,2604.929026272804,2570.0640271037873,2583.2663815092096,3711403,0.0,0.0,0.0,,52.761839541603926,0.0,,0,0,-0.0,0.0,0.0,-0.004897583529745897,1.0,1.000639375781733
2021-04-20,2592.9829368795567,2605.3353297743865,2585.14532317872,2605.3353297743865,3796956,0.0,0.0,0.0,,63.65863131488983,0.0,,0,0,0.0,0.0,0.0,0.008543040091856025,1.0,1.009187878086526
2021-04-21,2552.613710254116,2564.2167335597073,2551.8001070683817,2551.8001070683817,2075434,50.0,50.0,50.0,,45.64759987743706,0.0,,0,0,-0.0,0.0,0.0,-0.020548304125841965,1.0,0.988450778647491
2021-04-22,2506.771957519021,2518.196915749314,2496.581475861216,2509.2481824707293,3529026,35.49299660730623,45.1643322024354,16.150325417047895,,21.8042405642084,-29.014006785387508,,0,0,-0.0,0.0,0.0,-0.016675257783627107,1.0,0.9719681071071171
2021-04-23,2527.753429291662,2527.753429291662,2526.9035175763065,2526.9035175763065,1225142,28.83188142642131,39.72018194376404,7.055280391735849,,18.302710832855624,-32.66490155202819,,0,0,0.0,0.0,0.0,0.0070361055669643235,1.0,0.9788069773164453
2021-04-26,2540.408118255501,2559.5468675803877,2540.408118255501,2542.8046103394004,2423737,27.102261480379575,35.51420845596922,10.278367529200281,,23.8763068370081,-25.235840926768937,,0,0,0.0,0.0,0.0,0.00629271859906444,1.0,0.9849663341874986
2021-04-27,2494.9564762267923,2494.9564762267923,2491.5991109730644,2491.5991109730644,1303099,18.06817432025305,29.698863744063825,-5.193204527368501,,22.915620120531813,-34.89206827143232,,0,0,-0.0,0.0,0.0,-0.020137410148670987,1.0,0.965131663133332
2021-04-28,2506.962341894039,2513.9094842804966,2497.081747651036,2505.6777350005277,2481365,14.3861905765252,24.594639354884283,-6.030706980192967,,29.85893803159803,-30.62534633507725,,0,0,0.0,0.0,0.0,0.005650437088960514,1.0,0.9705850788784307
2021-04-29,2561.7838680181867,2576.105402438184,2532.6681065594,2561.2012578421054,4895075,21.16299002131734,23.4507562436953,16.587457576561427,2576.815899740404,43.903403850717396,-6.863298667133872,,0,0,0.0,0.0,0.0,0.022159083774420774,1.0,0.9920923549515006
2021-04-30,2541.295513527584,2547.458686247075,2512.463467250738,2541.5363257151153,4973406,22.411324196956393,23.10427889478233,21.025414801304514,2574.8119280803985,42.858969273752244,-2.078864093477815,-2.0039716600053907,0,0,-0.0,0.0,0.0,-0.0076780112717727,1.0,0.9844750586675435
2021-05-03,2536.8818907032564,2549.489532059117,2534.9364598872717,2549.489532059117,3415173,28.9797884687751,25.062782086113252,36.813801234098804,2572.107592311609,39.95829714218945,11.751019147985552,-2.704335768789406,0,0,0.0,0.0,0.0,0.0031292908401630015,1.0,0.9875557674510007
2021-05-04,2602.5243216550743,2618.0446904070095,2577.3425330753835,2600.9599501260077,4208700,48.14934690131704,32.75830369118118,78.93143332158874,2573.6218498760786,58.90562168710463,46.17312963040756,1.514257564469517,0,0,0.0,0.0,0.0,0.02018851908182584,1.0,1.0074930559065525
2021-05-05,2542.569570198912,2542.569570198912,2530.62899400647,2541.2713671821966,4018084,45.194066449419886,36.90355794392742,61.775083460404815,2573.472770291501,55.46207480001798,24.871525516477398,-0.14907958457752102,0,0,-0.0,0.0,0.0,-0.022948674369599353,1.0,0.9843724258369204
2021-05-06,2608.1158929447006,2622.2001785721623,2608.1158929447006,2609.8238020001077,3728904,60.303886208418575,44.703667365424465,91.50432389440678,2575.294544885864,62.05102472874276,46.800656528982316,1.821774594362978,0,0,0.0,0.0,0.0,0.026975645223564992,1.0,1.0109265071641573
