date,open,high,low,close,volume,k,d,j,ma,rsi,kdj_momentum,ma_slope,signal,position,strategy_returns,stop_loss_level,take_profit_level,returns,cumulative_returns,benchmark_returns
2021-04-02,1560.5101932018943,1579.0097609298857,1560.438896735278,1560.438896735278,3512425,0.0,0.0,0.0,,,0.0,,0,0,,0.0,0.0,,,
2021-04-05,1600.5564986610993,1603.01468093309,1592.7350595994371,1602.9174076853399,2104370,0.0,0.0,0.0,,,0.0,,0,0,0.0,0.0,0.0,0.02722215591968058,1.0,1.0272221559196806
2021-04-06,1584.153402914773,1594.1255831779802,1572.3287494389594,1581.0109742960067,4833147,0.0,0.0,0.0,,,0.0,,0,0,-0.0,0.0,0.0,-0.013666601463244943,1.0,1.013183520100511
2021-04-07,1556.839958233343,1563.2366728765826,1551.4854108698125,1555.3034294482359,1388282,0.0,0.0,0.0,,,0.0,,0,0,-0.0,0.0,0.0,-0.016260193803662837,1.0,0.9967089597049994
2021-04-08,1536.4204990719982,1552.1719128551654,1536.4204990719982,1540.0395939491116,2006289,0.0,0.0,0.0,,,0.0,,0,0,-0.0,0.0,0.0,-0.009814056350752942,1.0,0.9869272018091542
2021-04-09,1488.592646021748,1495.0657204527042,1471.3655266193152,1486.3906582361626,3664432,0.0,0.0,0.0,,,0.0,,0,0,-0.0,0.0,0.0,-0.03483607559424973,1.0,0.9525465312009092
2021-04-12,1511.4901789238859,1515.1175440059335,1509.2995319197848,1513.5079639972776,2788657,0.0,0.0,0.0,,,0.0,,0,0,0.0,0.0,0.0,0.01824372725357004,1.0,0.9699245303124728
2021-04-13,1544.0855997407398,1545.8259911656044,1536.2077563995206,1545.8259911656044,3758303,0.0,0.0,0.0,,,0.0,,0,0,0.0,0.0,0.0,0.02135306053030117,1.0,0.990635387518059
2021-04-14,1542.6951505726674,1549.4139818785018,1533.1375807981863,1545.5392214235417,3394163,0.0,0.0,0.0,,46.59400746606239,0.0,,0,0,-0.0,0.0,0.0,-0.0001855123045553242,1.0,0.9904516124643464
2021-04-15,1509.8000942369629,1520.969986128932,1505.3719072675065,1513.2550989506153,2474174,0.0,0.0,0.0,,40.6012671726024,0.0,,0,0,-0.0,0.0,0.0,-0.020888581813660156,1.0,0.9697624829249133
2021-04-16,1486.2859263486766,1489.9621081519929,1486.2859263486766,1489.9621081519929,2444046,0.0,0.0,0.0,,25.637910243954792,0.0,,0,0,-0.0,0.0,0.0,-0.01539263988918671,1.0,0.9548352782472065
2021-04-19,1504.590894336532,1529.1584898297906,1504.590894336532,1507.445272671759,1587110,0.0,0.0,0.0,,33.82479567103201,0.0,,0,0,0.0,0.0,0.0,0.01173396586672304,1.0,0.9660392828105022
2021-04-20,1529.7325452519005,1537.8097607940433,1527.23668353152,1530.389242810395,2745637,0.0,0.0,0.0,,44.45461982830356,0.0,,0,0,0.0,0.0,0.0,0.015220433241978082,1.0,0.9807428192236478
2021-04-21,1551.553007242051,1573.3236198689754,1551.553007242051,1555.088783592688,2894181,50.0,50.0,50.0,,53.21461086402076,0.0,,0,0,0.0,0.0,0.0,0.01613938473387,1.0,0.9965714049080786
